,x
1,NA
2,NA
3,11
4,18
5,19
6,15
7,19
8,21
9,11
10,19
11,24
12,29
13,28
14,20
15,20
16,12
17,8
18,12
19,22
20,30
21,18
22,22
23,16
24,19
25,22
26,23
27,21
28,9
29,18
30,15
31,29
32,15
33,20
34,16
35,17
36,17
37,14
38,19
39,27
40,25
41,27
42,16
43,36
44,40
45,40
46,18
47,32
48,17
49,29
50,27
51,22
52,19
53,29
54,17
55,27
56,19
57,51
58,44
59,19
60,35
61,33
62,41
63,44
64,45
65,57
66,29
67,30
68,52
69,8
70,36
71,43
72,34
73,6
74,53
75,18
76,24
77,71
78,50
79,21
80,39
81,37
82,30
83,55
84,21
85,5
86,35
87,51
88,43
89,38
90,28
91,43
92,58
93,40
94,19
95,64
96,41
97,50
98,58
99,40
100,40
101,37
102,72
103,48
104,16
105,36
106,28
107,30
108,51
109,44
110,7
111,34
112,30
113,52
114,30
115,48
116,32
117,40
118,41
119,47
120,40
121,44
122,50
123,2
124,54
125,53
126,53
127,34
128,42
129,53
130,60
131,43
132,21
133,53
134,39
135,45
136,47
137,48
138,58
139,55
140,58
141,28
142,59
143,67
144,63
145,92
146,50
147,57
148,58
149,75
150,36
151,24
152,113
153,64
154,45
155,69
156,16
157,55
158,71
159,53
160,59
161,60
162,54
163,65
164,31
165,48
166,77
167,53
168,53
169,70
170,50
171,57
172,25
173,78
174,55
175,53
176,65
177,60
178,66
179,42
180,36
181,44
182,50
183,67
184,16
185,12
186,40
187,69
188,71
189,100
190,59
191,NA
192,23
193,NA
194,35
195,79
196,55
197,62
198,35
199,40
200,31
201,31
202,63
203,51
204,79
205,40
206,41
207,42
208,52
209,57
210,NA
211,NA
212,57
213,77
214,120
215,16
216,59
217,61
218,63
219,60
220,73
221,61
222,24
223,61
224,87
225,25
226,27
227,77
228,95
229,70
230,41
231,63
232,30
233,24
234,101
235,55
236,74
237,32
238,40
239,86
240,63
241,62
242,66
243,92
244,78
245,42
246,47
247,14
248,80
249,65
250,28
251,64
252,22
253,89
254,63
255,NA
256,53
257,72
258,69
259,41
260,52
261,91
262,44
263,43
264,25
265,65
266,96
267,63
268,74
269,43
270,34
271,63
272,83
273,83
274,83
275,30
276,39
277,48
278,49
279,42
280,34
281,68
282,78
283,46
284,45
285,68
286,77
287,42
288,10
289,89
290,39
291,46
292,22
293,31
294,24
295,60
296,82
297,50
298,30
299,52
300,64
301,22
302,63
303,61
304,32
305,66
306,71
307,35
308,NA
309,39
310,41
311,47
312,39
313,46
314,79
315,41
316,23
317,NA
318,42
319,NA
320,57
321,83
322,38
323,71
324,42
325,30
326,37
327,38
328,41
329,55
330,48
331,36
332,32
333,32
334,44
335,39
336,36
337,44
338,29
339,NA
340,32
341,33
342,25
343,55
344,11
345,25
346,21
347,38
348,36
349,27
350,26
351,NA
352,NA
353,28
354,42
355,42
356,32
357,44
358,20
359,27
360,22
361,31
362,33
363,41
364,32
365,37
366,27
367,25
368,37
369,NA
370,23
371,NA
372,27
373,32
374,22
375,45
376,31
377,20
378,16
379,17
380,17
381,28
382,23
383,16
384,26
385,24
386,16
387,16
388,4
389,45
390,34
391,16
392,NA
393,16
394,26
395,28
396,24
397,18
398,3
399,12
400,20
401,29
402,26
403,26
404,10
405,25
406,13
407,11
408,23
409,21
410,33
411,NA
412,NA
413,20
414,9
415,NA
416,9
417,14
418,19
419,11
420,16
421,28
422,6
423,13
424,21
425,14
426,26
427,14
428,13
429,13
430,7
431,27
432,17
433,18
434,13
435,15
436,16
437,6
438,28
439,17
440,8
441,12
442,15
443,11
444,10
445,7
446,20
447,27
448,10
449,15
450,5
451,17
452,21
453,6
454,20
455,26
456,8
457,22
458,20
459,8
460,13
461,NA
462,19
463,18
464,12
465,30
466,30
467,NA
468,NA
469,13
470,NA
471,20
472,7
473,17
474,15
475,6
476,9
477,10
478,19
479,25
480,27
481,22
482,9
483,18
484,17
485,22
486,10
487,14
488,11
489,24
490,13
491,10
492,26
493,9
494,29
495,20
496,16
497,21
498,20
499,23
500,18
501,15
502,NA
503,8
504,12
505,8
506,23
507,24
508,17
509,11
510,24
511,10
512,23
513,12
514,25
515,35
516,24
517,16
518,19
519,NA
520,23
521,14
522,31
523,26
524,9
525,8
526,14
527,7
528,NA
529,32
530,17
531,11
532,18
533,6
534,8
535,11
536,28
537,38
538,27
539,22
540,16
541,20
542,19
543,17
544,14
545,20
546,20
547,25
548,18
549,30
550,20
551,22
552,12
553,18
554,39
555,15
556,21
557,25
558,23
559,20
560,18
561,5
562,17
563,14
564,21
565,6
566,10
567,22
568,11
569,17
570,24
571,50
572,37
573,14
574,8
575,17
576,22
577,29
578,17
579,31
580,19
581,13
582,NA
583,14
584,7
585,16
586,10
587,16
588,5
589,9
590,16
591,10
592,8
593,12
594,18
595,16
596,9
597,5
598,21
599,9
600,13
601,10
602,19
603,10
604,11
605,13
606,15
607,13
608,10
609,17
610,12
611,4
612,6
613,4
614,4
615,9
616,6
617,7
618,9
619,NA
620,15
621,15
622,6
623,7
624,15
625,15
626,2
627,13
628,13
629,11
630,16
631,16
632,10
633,8
634,3
635,18
636,5
637,9
638,10
639,1
640,9
641,10
642,12
643,9
644,18
645,8
646,8
647,13
648,18
649,8
650,13
651,5
652,20
653,9
654,NA
655,10
656,22
657,19
658,9
659,11
660,NA
661,12
662,2
663,5
664,3
665,8
666,9
667,8
668,24
669,3
670,9
671,4
672,6
673,8
674,NA
675,8
676,11
677,13
678,8
679,15
680,9
681,6
682,5
683,7
684,13
685,11
686,11
687,13
688,12
689,5
690,5
691,3
692,4
693,7
694,9
695,10
696,13
697,7
698,9
699,3
700,3
701,6
702,5
703,6
704,6
705,17
706,17
707,7
708,8
709,6
710,6
711,8
712,8
713,15
714,7
715,6
716,3
717,4
718,15
719,7
720,8
721,2
722,13
723,12
724,7
725,10
726,6
727,9
728,4
729,NA
730,2
731,4
732,7
733,8
734,10
735,5
736,9
737,NA
738,6
739,8
740,6
741,8
742,6
743,12
744,6
745,3
746,12
747,7
748,NA
749,12
750,15
751,2
752,3
753,5
754,6
755,7
756,5
757,12
758,2
759,1
760,4
761,6
762,7
763,11
764,1
765,1
766,4
767,7
768,1
769,5
770,5
771,14
772,6
773,2
774,NA
775,NA
776,11
777,NA
778,NA
779,NA
780,NA
781,NA
782,NA
783,NA
784,13
785,NA
786,NA
787,NA
788,5
789,NA
790,NA
791,7
792,7
793,20
794,8
795,9
796,2
797,4
798,3
799,11
800,10
801,5
802,7
803,16
804,6
805,6
806,7
807,1
808,6
809,NA
810,NA
811,7
812,11
813,2
814,29
815,NA
816,20
817,17
818,19
819,19
820,5
821,8
822,2
823,6
824,9
825,13
826,12
827,14
828,NA
829,11
830,16
831,11
832,16
833,NA
834,12
835,14
836,29
837,18
838,23
839,37
840,8
841,NA
842,10
843,4
844,NA
845,9
846,8
847,22
848,9
849,4
850,13
851,3
852,18
853,34
854,28
855,26
856,17
857,12
858,22
859,20
860,19
861,6
862,12
863,10
864,9
865,9
866,13
867,11
868,12
869,8
870,NA
871,1
872,25
873,10
874,1
875,22
876,9
877,16
878,8
879,9
880,20
881,13
882,15
883,9
884,25
885,NA
886,17
887,7
888,11
889,8
890,9
891,10
892,12
893,17
894,NA
895,NA
896,19
897,4
898,69
899,24
900,9
901,15
902,38
903,31
904,19
905,47
906,8
907,10
908,12
909,2
910,9
911,52
912,26
913,55
914,13
915,28
916,5
917,42
918,59
919,21
920,20
921,19
922,11
923,3
924,2
925,21
926,NA
927,9
928,28
929,7
930,26
931,18
932,17
933,32
934,12
935,26
936,14
937,23
938,NA
939,15
940,29
941,NA
942,18
943,2
944,23
945,10
946,10
947,NA
948,22
949,99
950,51
951,60
952,33
953,61
954,41
955,26
956,86
957,46
958,36
959,27
960,33
961,48
962,24
963,28
964,42
965,33
966,42
967,NA
968,34
969,41
970,15
971,8
972,13
973,7
974,9
975,8
976,15
977,23
978,17
979,7
980,NA
981,20
982,10
983,NA
984,22
985,19
986,12
987,12
988,17
989,10
990,15
991,13
992,6
993,25
994,23
995,11
996,40
997,28
998,16
999,17
1000,6
1001,14
1002,10
1003,3
1004,14
1005,3
1006,1
1007,4
1008,NA
1009,1
1010,3
1011,2
1012,NA
1013,1
1014,2
1015,NA
1016,NA
1017,4
1018,4
1019,1
1020,1
1021,NA
1022,NA
1023,2
1024,NA
1025,NA
1026,1
1027,2
1028,3
1029,1
1030,NA
1031,1
1032,2
1033,1
1034,2
1035,NA
1036,NA
1037,1
1038,NA
1039,NA
1040,NA
1041,NA
1042,NA
1043,1
1044,NA
1045,NA
1046,NA
1047,1
1048,NA
1049,NA
1050,NA
1051,NA
1052,1
1053,NA
1054,1
1055,NA
1056,1
1057,NA
1058,NA
1059,1
1060,4
1061,1
1062,3
1063,NA
1064,NA
1065,3
1066,1
1067,2
1068,NA
1069,1
1070,5
1071,NA
1072,NA
1073,2
1074,1
1075,NA
1076,NA
1077,NA
1078,NA
1079,1
1080,2
1081,NA
1082,NA
1083,2
1084,3
1085,NA
1086,NA
1087,NA
1088,NA
1089,NA
1090,NA
1091,NA
1092,1
1093,NA
1094,NA
1095,NA
1096,NA
1097,NA
1098,NA
1099,NA
1100,NA
1101,NA
1102,NA
1103,NA
1104,1
1105,2
1106,1
1107,NA
1108,1
1109,NA
1110,2
1111,NA
1112,1
1113,NA
1114,2
1115,NA
1116,NA
1117,2
1118,6
1119,NA
1120,1
1121,3
1122,1
1123,NA
1124,NA
1125,5
1126,4
1127,2
1128,NA
1129,4
1130,10
1131,1
1132,5
1133,5
1134,3
1135,8
1136,1
1137,3
1138,1
1139,2
1140,7
1141,8
1142,11
1143,10
1144,3
1145,13
1146,15
1147,7
1148,1
1149,14
1150,7
1151,3
1152,12
1153,6
1154,6
1155,NA
1156,NA
1157,NA
1158,NA
