,x
1,8
2,8
3,14
4,13
5,11
6,9
7,13
8,7
9,8
10,11
11,8
12,10
13,13
14,2
15,5
16,4
17,12
18,8
19,10
20,4
21,7
22,11
23,1
24,5
25,6
26,7
27,7
28,3
29,5
30,4
31,8
32,12
33,8
34,8
35,7
36,8
37,12
38,4
39,10
40,4
41,8
42,5
43,9
44,11
45,12
46,8
47,6
48,6
49,4
50,5
51,7
52,3
53,8
54,3
55,2
56,6
57,5
58,6
59,7
60,14
61,19
62,11
63,7
64,10
65,7
66,5
67,7
68,9
69,11
70,4
71,3
72,8
73,2
74,10
75,6
76,1
77,5
78,9
79,8
80,6
81,3
82,8
83,14
84,5
85,8
86,4
87,3
88,9
89,2
90,11
91,7
92,6
93,8
94,5
95,7
96,2
97,8
98,9
99,5
100,1
101,3
102,12
103,1
104,2
105,5
106,2
107,6
108,4
109,5
110,6
111,3
112,6
113,11
114,7
115,5
116,10
117,2
118,10
119,NA
120,6
121,1
122,13
123,12
124,3
125,16
126,5
127,5
128,NA
129,6
130,3
131,5
132,11
133,6
134,6
135,2
136,8
137,14
138,3
139,7
140,16
141,8
142,3
143,19
144,3
145,7
146,7
147,3
148,18
149,13
150,2
151,6
152,2
153,7
154,13
155,16
156,13
157,6
158,11
159,14
160,5
161,13
162,7
163,7
164,17
165,6
166,22
167,11
168,16
169,12
170,9
171,11
172,13
173,12
174,8
175,3
176,9
177,10
178,9
179,20
180,9
181,12
182,2
183,12
184,12
185,3
186,8
187,14
188,16
189,11
190,2
191,NA
192,10
193,NA
194,14
195,7
196,4
197,37
198,5
199,28
200,25
201,25
202,23
203,10
204,28
205,24
206,8
207,22
208,15
209,25
210,4
211,NA
212,4
213,13
214,25
215,6
216,22
217,30
218,24
219,22
220,24
221,31
222,26
223,11
224,8
225,34
226,12
227,13
228,28
229,31
230,31
231,34
232,19
233,33
234,21
235,19
236,14
237,14
238,18
239,10
240,24
241,27
242,5
243,11
244,12
245,22
246,14
247,15
248,20
249,20
250,27
251,11
252,18
253,9
254,22
255,NA
256,11
257,19
258,20
259,13
260,19
261,15
262,6
263,19
264,6
265,18
266,14
267,26
268,31
269,27
270,17
271,21
272,16
273,16
274,16
275,18
276,31
277,8
278,23
279,24
280,10
281,26
282,29
283,23
284,9
285,28
286,15
287,11
288,15
289,43
290,7
291,12
292,9
293,36
294,22
295,24
296,20
297,30
298,28
299,22
300,21
301,38
302,44
303,21
304,49
305,46
306,21
307,33
308,47
309,53
310,31
311,24
312,44
313,25
314,34
315,31
316,27
317,NA
318,13
319,NA
320,30
321,39
322,43
323,26
324,32
325,32
326,31
327,48
328,35
329,27
330,26
331,28
332,36
333,29
334,46
335,33
336,21
337,42
338,20
339,NA
340,25
341,36
342,31
343,103
344,48
345,35
346,55
347,49
348,23
349,29
350,17
351,NA
352,NA
353,22
354,30
355,28
356,33
357,12
358,15
359,42
360,24
361,26
362,20
363,37
364,21
365,17
366,42
367,18
368,24
369,NA
370,31
371,NA
372,20
373,20
374,31
375,18
376,41
377,44
378,18
379,38
380,22
381,17
382,23
383,28
384,19
385,19
386,26
387,26
388,12
389,28
390,57
391,28
392,21
393,16
394,24
395,46
396,22
397,18
398,28
399,37
400,34
401,31
402,23
403,23
404,15
405,28
406,37
407,13
408,29
409,37
410,20
411,9
412,37
413,19
414,20
415,16
416,16
417,22
418,11
419,45
420,21
421,29
422,13
423,7
424,17
425,23
426,21
427,17
428,16
429,15
430,19
431,13
432,29
433,19
434,21
435,31
436,21
437,13
438,22
439,14
440,13
441,20
442,12
443,7
444,18
445,21
446,8
447,25
448,30
449,23
450,2
451,17
452,10
453,14
454,30
455,15
456,18
457,16
458,23
459,13
460,13
461,NA
462,26
463,10
464,28
465,18
466,13
467,11
468,NA
469,12
470,NA
471,20
472,5
473,18
474,19
475,7
476,9
477,17
478,8
479,21
480,19
481,24
482,11
483,11
484,16
485,11
486,6
487,13
488,20
489,13
490,15
491,12
492,13
493,5
494,27
495,5
496,19
497,11
498,21
499,15
500,7
501,17
502,NA
503,4
504,13
505,10
506,12
507,21
508,9
509,6
510,6
511,10
512,21
513,16
514,10
515,8
516,13
517,5
518,19
519,7
520,11
521,11
522,11
523,19
524,8
525,12
526,4
527,2
528,NA
529,7
530,15
531,9
532,22
533,9
534,6
535,13
536,11
537,10
538,12
539,8
540,6
541,18
542,7
543,10
544,7
545,12
546,12
547,9
548,9
549,13
550,10
551,10
552,5
553,10
554,10
555,5
556,9
557,10
558,10
559,8
560,7
561,6
562,17
563,9
564,8
565,1
566,11
567,7
568,10
569,11
570,3
571,11
572,8
573,5
574,10
575,9
576,14
577,8
578,15
579,13
580,9
581,4
582,NA
583,9
584,8
585,10
586,6
587,14
588,17
589,7
590,11
591,8
592,9
593,4
594,9
595,2
596,3
597,7
598,4
599,9
600,9
601,15
602,7
603,6
604,6
605,4
606,6
607,9
608,5
609,4
610,16
611,10
612,6
613,6
614,11
615,6
616,13
617,8
618,NA
619,25
620,16
621,4
622,11
623,5
624,2
625,11
626,14
627,8
628,7
629,9
630,4
631,14
632,7
633,11
634,4
635,3
636,7
637,6
638,6
639,11
640,8
641,2
642,9
643,11
644,4
645,9
646,6
647,6
648,3
649,2
650,8
651,7
652,3
653,15
654,1
655,3
656,6
657,11
658,9
659,14
660,NA
661,7
662,3
663,5
664,3
665,NA
666,16
667,5
668,9
669,2
670,8
671,5
672,3
673,17
674,NA
675,13
676,7
677,7
678,NA
679,2
680,16
681,2
682,5
683,6
684,7
685,7
686,1
687,17
688,2
689,12
690,3
691,7
692,9
693,4
694,13
695,NA
696,10
697,42
698,11
699,5
700,17
701,6
702,4
703,14
704,14
705,9
706,17
707,4
708,5
709,11
710,6
711,8
712,1
713,11
714,9
715,4
716,6
717,18
718,11
719,11
720,6
721,4
722,10
723,3
724,6
725,9
726,12
727,6
728,9
729,8
730,8
731,5
732,4
733,13
734,9
735,10
736,8
737,NA
738,NA
739,4
740,6
741,7
742,12
743,6
744,4
745,9
746,7
747,7
748,NA
749,8
750,6
751,4
752,7
753,6
754,6
755,6
756,1
757,6
758,5
759,7
760,10
761,5
762,2
763,5
764,7
765,8
766,4
767,16
768,31
769,4
770,14
771,5
772,11
773,5
774,NA
775,NA
776,7
777,NA
778,NA
779,NA
780,NA
781,NA
782,NA
783,NA
784,3
785,NA
786,NA
787,NA
788,2
789,NA
790,NA
791,1
792,3
793,4
794,8
795,4
796,5
797,10
798,4
799,4
800,4
801,6
802,8
803,7
804,3
805,5
806,2
807,NA
808,9
809,7
810,5
811,5
812,5
813,7
814,2
815,NA
816,6
817,3
818,6
819,6
820,1
821,10
822,1
823,3
824,5
825,4
826,4
827,9
828,NA
829,5
830,4
831,5
832,3
833,3
834,1
835,11
836,4
837,2
838,5
839,8
840,4
841,NA
842,5
843,1
844,NA
845,3
846,1
847,5
848,2
849,2
850,1
851,1
852,1
853,4
854,4
855,2
856,4
857,1
858,3
859,7
860,5
861,6
862,3
863,2
864,2
865,9
866,1
867,2
868,4
869,3
870,3
871,3
872,2
873,NA
874,4
875,7
876,5
877,5
878,6
879,2
880,1
881,2
882,2
883,1
884,4
885,4
886,4
887,4
888,2
889,3
890,2
891,1
892,NA
893,1
894,NA
895,NA
896,3
897,4
898,1
899,1
900,6
901,2
902,2
903,3
904,4
905,1
906,5
907,3
908,2
909,4
910,4
911,2
912,3
913,4
914,1
915,2
916,NA
917,1
918,NA
919,8
920,4
921,1
922,3
923,4
924,5
925,NA
926,3
927,5
928,6
929,NA
930,1
931,1
932,3
933,2
934,6
935,2
936,2
937,1
938,2
939,NA
940,1
941,NA
942,NA
943,NA
944,2
945,2
946,4
947,1
948,2
949,1
950,1
951,1
952,4
953,1
954,1
955,3
956,2
957,3
958,3
959,4
960,NA
961,NA
962,3
963,3
964,3
965,1
966,1
967,NA
968,1
969,16
970,4
971,3
972,8
973,1
974,NA
975,7
976,1
977,NA
978,2
979,NA
980,NA
981,3
982,NA
983,NA
984,1
985,2
986,1
987,2
988,1
989,3
990,3
991,1
992,NA
993,2
994,NA
995,1
996,1
997,2
998,1
999,NA
1000,NA
1001,NA
1002,1
1003,1
1004,2
1005,1
1006,5
1007,1
1008,3
1009,2
1010,3
1011,4
1012,4
1013,2
1014,3
1015,3
1016,1
1017,2
1018,1
1019,1
1020,1
1021,NA
1022,NA
1023,4
1024,1
1025,1
1026,1
1027,1
1028,2
1029,4
1030,1
1031,3
1032,4
1033,2
1034,1
1035,1
1036,3
1037,3
1038,NA
1039,NA
1040,NA
1041,NA
1042,NA
1043,4
1044,NA
1045,NA
1046,NA
1047,2
1048,3
1049,1
1050,NA
1051,3
1052,1
1053,3
1054,NA
1055,1
1056,1
1057,3
1058,NA
1059,2
1060,1
1061,1
1062,4
1063,2
1064,2
1065,4
1066,1
1067,2
1068,NA
1069,2
1070,NA
1071,2
1072,NA
1073,1
1074,1
1075,1
1076,NA
1077,1
1078,6
1079,NA
1080,NA
1081,NA
1082,1
1083,6
1084,2
1085,NA
1086,NA
1087,NA
1088,1
1089,NA
1090,NA
1091,NA
1092,NA
1093,NA
1094,NA
1095,6
1096,NA
1097,NA
1098,1
1099,6
1100,NA
1101,NA
1102,3
1103,NA
1104,1
1105,2
1106,NA
1107,3
1108,2
1109,NA
1110,2
1111,2
1112,1
1113,2
1114,4
1115,9
1116,3
1117,1
1118,2
1119,2
1120,4
1121,1
1122,5
1123,4
1124,2
1125,6
1126,1
1127,2
1128,4
1129,5
1130,3
1131,8
1132,3
1133,3
1134,4
1135,1
1136,7
1137,5
1138,5
1139,1
1140,4
1141,2
1142,1
1143,3
1144,8
1145,2
1146,1
1147,7
1148,6
1149,3
1150,6
1151,NA
1152,1
1153,2
1154,7
1155,7
1156,NA
1157,NA
1158,NA
1159,NA
1160,NA
1161,NA
1162,NA
1163,NA
1164,NA
1165,NA
1166,NA
1167,NA
1168,NA
1169,NA
1170,NA
1171,NA
1172,NA
1173,NA
1174,NA
1175,NA
1176,NA
1177,NA
1178,NA
1179,NA
1180,NA
1181,NA
1182,NA
1183,NA
1184,NA
1185,NA
1186,NA
1187,NA
1188,NA
1189,NA
1190,NA
1191,NA
1192,NA
1193,NA
1194,NA
1195,NA
1196,NA
1197,NA
1198,NA
1199,NA
1200,NA
1201,NA
1202,NA
1203,NA
1204,NA
1205,NA
1206,NA
1207,NA
1208,NA
1209,NA
1210,NA
1211,NA
1212,NA
1213,NA
1214,NA
1215,NA
1216,NA
1217,NA
1218,NA
1219,NA
1220,NA
1221,NA
