,x
1,NA
2,NA
3,4
4,6
5,10
6,20
7,9
8,8
9,21
10,12
11,26
12,6
13,26
14,39
15,18
16,42
17,29
18,22
19,24
20,20
21,22
22,21
23,36
24,12
25,27
26,32
27,20
28,14
29,37
30,15
31,16
32,32
33,22
34,21
35,36
36,18
37,15
38,19
39,27
40,19
41,16
42,31
43,18
44,24
45,12
46,33
47,16
48,23
49,23
50,28
51,14
52,NA
53,17
54,NA
55,NA
56,2
57,4
58,13
59,8
60,35
61,19
62,25
63,11
64,21
65,16
66,26
67,20
68,35
69,29
70,29
71,9
72,16
73,20
74,13
75,14
76,31
77,19
78,23
79,25
80,8
81,24
82,7
83,19
84,18
85,16
86,17
87,33
88,36
89,14
90,14
91,49
92,30
93,11
94,11
95,31
96,14
97,17
98,15
99,23
100,25
101,22
102,9
103,28
104,15
105,16
106,NA
107,NA
108,3
109,3
110,2
111,10
112,7
113,19
114,7
115,12
116,26
117,16
118,17
119,11
120,26
121,17
122,24
123,9
124,18
125,29
126,24
127,18
128,15
129,21
130,24
131,50
132,25
133,11
134,16
135,NA
136,32
137,16
138,33
139,22
140,27
141,30
142,26
143,21
144,21
145,22
146,35
147,21
148,29
149,23
150,27
151,NA
152,20
153,46
154,38
155,8
156,23
157,17
158,NA
159,NA
160,1
161,2
162,20
163,9
164,13
165,27
166,29
167,18
168,18
169,27
170,79
171,12
172,28
173,23
174,29
175,29
176,33
177,29
178,19
179,NA
180,23
181,16
182,30
183,20
184,28
185,40
186,20
187,10
188,13
189,13
190,43
191,NA
192,32
193,NA
194,29
195,37
196,42
197,6
198,30
199,16
200,28
201,28
202,18
203,30
204,18
205,10
206,17
207,15
208,21
209,NA
210,NA
211,NA
212,NA
213,4
214,7
215,5
216,NA
217,36
218,13
219,NA
220,NA
221,24
222,25
223,NA
224,22
225,27
226,50
227,18
228,18
229,17
230,26
231,33
232,18
233,22
234,24
235,17
236,15
237,20
238,41
239,10
240,7
241,3
242,21
243,9
244,26
245,38
246,14
247,20
248,24
249,20
250,50
251,NA
252,14
253,14
254,23
255,NA
256,14
257,NA
258,16
259,23
260,9
261,9
262,NA
263,NA
264,35
265,2
266,14
267,4
268,5
269,11
270,7
271,12
272,14
273,14
274,14
275,23
276,22
277,6
278,NA
279,8
280,33
281,19
282,25
283,18
284,18
285,NA
286,29
287,13
288,19
289,16
290,26
291,NA
292,29
293,38
294,21
295,18
296,NA
297,8
298,19
299,57
300,NA
301,NA
302,NA
303,23
304,NA
305,20
306,33
307,31
308,24
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,20
316,NA
317,NA
318,NA
319,NA
320,NA
321,7
322,7
323,22
324,7
325,19
326,6
327,10
328,30
329,14
330,27
331,11
332,18
333,13
334,32
335,5
336,24
337,14
338,12
339,NA
340,10
341,20
342,4
343,14
344,18
345,7
346,12
347,NA
348,46
349,8
350,18
351,NA
352,NA
353,6
354,7
355,10
356,15
357,28
358,19
359,10
360,18
361,15
362,31
363,24
364,5
365,7
366,5
367,11
368,17
369,NA
370,9
371,NA
372,2
373,13
374,8
375,4
376,33
377,3
378,20
379,20
380,11
381,9
382,7
383,19
384,22
385,6
386,36
387,36
388,12
389,18
390,12
391,16
392,9
393,36
394,10
395,14
396,7
397,NA
398,34
399,10
400,8
401,7
402,4
403,4
404,24
405,15
406,18
407,8
408,9
409,11
410,26
411,1
412,22
413,16
414,12
415,8
416,18
417,13
418,12
419,7
420,17
421,7
422,12
423,NA
424,1
425,1
426,NA
427,NA
428,NA
429,NA
430,6
431,NA
432,2
433,4
434,NA
435,NA
436,NA
437,NA
438,NA
439,NA
440,NA
441,NA
442,NA
443,2
444,NA
445,NA
446,NA
447,NA
448,NA
449,17
450,8
451,1
452,1
453,NA
454,NA
455,NA
456,NA
457,NA
458,NA
459,NA
460,NA
461,NA
462,NA
463,NA
464,NA
465,NA
466,NA
467,NA
468,NA
469,NA
470,NA
471,NA
472,NA
473,NA
474,NA
475,NA
476,NA
477,NA
478,NA
479,18
480,NA
481,NA
482,116
483,8
484,5
485,9
486,11
487,6
488,15
489,15
490,7
491,12
492,11
493,9
494,6
495,3
496,18
497,6
498,6
499,7
500,6
501,NA
502,NA
503,NA
504,NA
505,NA
506,NA
507,NA
508,18
509,5
510,18
511,NA
512,13
513,5
514,5
515,3
516,19
517,NA
518,10
519,6
520,4
521,8
522,13
523,NA
524,NA
525,6
526,12
527,12
528,NA
529,8
530,4
531,5
532,9
533,NA
534,2
535,5
536,NA
537,9
538,6
539,15
540,8
541,4
542,9
543,5
544,4
545,4
546,4
547,3
548,13
549,NA
550,12
551,4
552,8
553,20
554,NA
555,6
556,8
557,19
558,9
559,10
560,21
561,18
562,5
563,14
564,6
565,17
566,10
567,11
568,19
569,8
570,24
571,13
572,NA
573,7
574,NA
575,NA
576,NA
577,2
578,NA
579,8
580,2
581,2
582,NA
583,1
584,14
585,4
586,11
587,14
588,6
589,5
590,10
591,11
592,8
593,13
594,15
595,6
596,NA
597,14
598,NA
599,NA
600,7
601,2
602,1
603,4
604,NA
605,2
606,2
607,1
608,NA
609,1
610,NA
611,1
612,NA
613,8
614,4
615,13
616,10
617,6
618,1
619,6
620,NA
621,NA
622,3
623,10
624,1
625,3
626,1
627,5
628,4
629,3
630,2
631,6
632,1
633,11
634,NA
635,5
636,4
637,10
638,1
639,3
640,13
641,9
642,5
643,1
644,4
645,8
646,6
647,5
648,7
649,3
650,5
651,2
652,4
653,11
654,2
655,3
656,2
657,3
658,2
659,2
660,NA
661,4
662,3
663,1
664,1
665,3
666,1
667,3
668,5
669,3
670,2
671,2
672,4
673,5
674,NA
675,NA
676,1
677,2
678,3
679,1
680,3
681,6
682,3
683,1
684,1
685,2
686,NA
687,NA
688,NA
689,1
690,3
691,3
692,3
693,3
694,2
695,NA
696,2
697,4
698,NA
699,2
700,NA
701,2
702,1
703,2
704,4
705,5
706,2
707,2
708,7
709,1
710,1
711,3
712,1
713,NA
714,3
715,NA
716,1
717,1
718,4
719,NA
720,NA
721,44
722,26
723,3
724,4
725,2
726,1
727,12
728,5
729,5
730,13
731,4
732,11
733,2
734,1
735,9
736,NA
737,NA
738,NA
739,NA
740,2
741,15
742,4
743,1
744,18
745,1
746,3
747,2
748,NA
749,4
750,8
751,4
752,13
753,11
754,NA
755,12
756,3
757,3
758,8
759,5
760,NA
761,9
762,NA
763,NA
764,NA
765,NA
766,NA
767,NA
768,NA
769,NA
770,NA
771,4
772,1
773,7
774,NA
775,NA
776,10
777,NA
778,NA
779,NA
780,NA
781,NA
782,NA
783,NA
784,NA
785,NA
786,NA
787,NA
788,12
789,NA
790,NA
791,NA
792,NA
793,2
794,3
795,NA
796,NA
797,1
798,15
799,5
800,2
801,8
802,7
803,6
804,9
805,8
806,5
807,NA
808,NA
809,10
810,6
811,12
812,9
813,8
814,3
815,NA
816,11
817,4
818,22
819,3
820,NA
821,4
822,7
823,6
824,NA
825,NA
826,8
827,10
828,NA
829,NA
830,16
831,21
832,3
833,4
834,7
835,4
836,NA
837,1
838,11
839,2
840,3
841,NA
842,12
843,NA
844,NA
845,NA
846,NA
847,2
848,1
849,8
850,NA
851,6
852,7
853,3
854,1
855,6
856,2
857,8
858,6
859,2
860,5
861,7
862,2
863,1
864,6
865,6
866,NA
867,NA
868,9
869,7
870,NA
871,NA
872,8
873,6
874,2
875,6
876,8
877,15
878,NA
879,9
880,9
881,NA
882,NA
883,NA
884,1
885,12
886,NA
887,8
888,18
889,6
890,13
891,2
892,2
893,NA
894,NA
895,NA
896,2
897,3
898,2
899,6
900,NA
901,4
902,4
903,4
904,16
905,2
906,9
907,1
908,15
909,7
910,3
911,8
912,3
913,5
914,5
915,8
916,6
917,NA
918,2
919,9
920,29
921,6
922,NA
923,NA
924,NA
925,3
926,4
927,NA
928,1
929,2
930,NA
931,5
932,6
933,19
934,8
935,1
936,7
937,5
938,9
939,1
940,1
941,NA
942,5
943,4
944,1
945,NA
946,10
947,NA
948,1
949,NA
950,5
951,7
952,13
953,8
954,3
955,14
956,9
957,2
958,4
959,1
960,5
961,8
962,2
963,6
964,7
965,NA
966,7
967,NA
968,2
969,1
970,7
971,3
972,1
973,4
974,13
975,1
976,1
977,4
978,6
979,NA
980,NA
981,NA
982,1
983,NA
984,6
985,NA
986,2
987,5
988,10
989,5
990,14
991,11
992,1
993,8
994,7
995,6
996,2
997,NA
998,1
999,NA
1000,1
1001,2
1002,NA
1003,14
1004,NA
1005,NA
1006,4
1007,8
1008,6
1009,17
1010,NA
1011,1
1012,4
1013,3
1014,3
1015,4
1016,2
1017,6
1018,1
1019,2
1020,2
1021,5
1022,10
1023,5
1024,NA
1025,5
1026,NA
1027,1
1028,1
1029,NA
1030,NA
1031,6
1032,3
1033,8
1034,2
1035,4
1036,3
1037,NA
1038,NA
1039,NA
1040,NA
1041,NA
1042,NA
1043,1
1044,NA
1045,NA
1046,NA
1047,NA
1048,NA
1049,NA
1050,NA
1051,NA
1052,1
1053,2
1054,NA
1055,NA
1056,3
1057,NA
1058,NA
1059,2
1060,NA
1061,3
1062,2
1063,2
1064,1
1065,4
1066,5
1067,NA
1068,NA
1069,16
1070,3
1071,2
1072,3
1073,1
1074,1
1075,1
1076,NA
1077,9
1078,4
1079,NA
1080,1
1081,3
1082,2
1083,1
1084,3
1085,NA
1086,NA
1087,NA
1088,7
1089,NA
1090,NA
1091,NA
1092,1
1093,NA
1094,NA
1095,NA
1096,NA
1097,NA
1098,NA
1099,3
1100,1
1101,NA
1102,NA
1103,NA
1104,5
1105,1
1106,NA
1107,2
1108,7
1109,2
1110,5
1111,NA
1112,1
1113,6
1114,4
1115,NA
1116,NA
1117,1
1118,NA
1119,2
1120,NA
1121,1
1122,3
1123,NA
1124,NA
1125,NA
1126,NA
1127,1
1128,NA
