,x
1,4
2,4
3,2
4,1
5,3
6,2
7,1
8,4
9,NA
10,2
11,4
12,1
13,1
14,NA
15,1
16,NA
17,1
18,1
19,1
20,7
21,1
22,NA
23,1
24,NA
25,2
26,2
27,1
28,NA
29,3
30,3
31,2
32,1
33,1
34,1
35,3
36,NA
37,1
38,1
39,1
40,4
41,3
42,NA
43,2
44,4
45,NA
46,4
47,1
48,NA
49,1
50,3
51,2
52,NA
53,NA
54,3
55,1
56,NA
57,5
58,1
59,4
60,NA
61,2
62,2
63,1
64,3
65,1
66,3
67,1
68,1
69,1
70,NA
71,NA
72,1
73,1
74,10
75,1
76,NA
77,NA
78,2
79,NA
80,4
81,3
82,1
83,3
84,2
85,2
86,4
87,NA
88,1
89,3
90,2
91,5
92,NA
93,7
94,4
95,3
96,2
97,1
98,9
99,6
100,NA
101,1
102,4
103,1
104,NA
105,NA
106,NA
107,NA
108,1
109,3
110,NA
111,NA
112,2
113,NA
114,NA
115,NA
116,NA
117,1
118,2
119,1
120,NA
121,1
122,1
123,4
124,4
125,1
126,3
127,NA
128,4
129,2
130,1
131,1
132,3
133,2
134,1
135,1
136,1
137,1
138,4
139,2
140,2
141,5
142,8
143,3
144,7
145,7
146,8
147,10
148,6
149,4
150,8
151,5
152,8
153,7
154,7
155,8
156,5
157,3
158,4
159,10
160,1
161,4
162,8
163,1
164,4
165,10
166,7
167,11
168,6
169,12
170,3
171,9
172,2
173,4
174,9
175,4
176,6
177,3
178,17
179,4
180,10
181,5
182,18
183,8
184,2
185,15
186,5
187,6
188,6
189,7
190,10
191,NA
192,1
193,NA
194,6
195,4
196,8
197,3
198,5
199,4
200,10
201,10
202,9
203,3
204,7
205,5
206,3
207,2
208,5
209,12
210,3
211,NA
212,19
213,7
214,13
215,21
216,6
217,14
218,3
219,5
220,10
221,7
222,4
223,10
224,13
225,13
226,7
227,7
228,8
229,1
230,12
231,5
232,10
233,7
234,4
235,7
236,3
237,NA
238,5
239,2
240,8
241,5
242,4
243,3
244,10
245,3
246,7
247,9
248,5
249,11
250,2
251,5
252,7
253,3
254,13
255,NA
256,4
257,3
258,9
259,11
260,4
261,6
262,7
263,13
264,9
265,NA
266,9
267,4
268,9
269,8
270,12
271,5
272,5
273,5
274,5
275,4
276,3
277,2
278,6
279,6
280,8
281,11
282,12
283,2
284,5
285,7
286,1
287,4
288,9
289,5
290,11
291,5
292,5
293,9
294,10
295,6
296,10
297,9
298,17
299,10
300,NA
301,20
302,3
303,5
304,5
305,11
306,10
307,4
308,5
309,3
310,10
311,8
312,4
313,3
314,5
315,7
316,3
317,NA
318,8
319,NA
320,7
321,8
322,13
323,15
324,NA
325,10
326,9
327,13
328,5
329,6
330,7
331,13
332,8
333,6
334,6
335,8
336,19
337,14
338,12
339,NA
340,9
341,7
342,11
343,5
344,8
345,4
346,10
347,5
348,4
349,7
350,7
351,NA
352,NA
353,7
354,7
355,10
356,8
357,2
358,16
359,8
360,24
361,13
