,x
1,93
2,93
3,32
4,39
5,26
6,19
7,27
8,23
9,19
10,28
11,28
12,14
13,28
14,37
15,16
16,23
17,17
18,8
19,24
20,20
21,16
22,14
23,24
24,15
25,14
26,9
27,11
28,15
29,10
30,26
31,15
32,14
33,8
34,17
35,12
36,14
37,10
38,10
39,14
40,8
41,8
42,20
43,19
44,8
45,10
46,10
47,21
48,11
49,26
50,26
51,12
52,14
53,15
54,11
55,14
56,21
57,25
58,21
59,33
60,20
61,19
62,17
63,18
64,11
65,21
66,18
67,16
68,14
69,17
70,15
71,16
72,15
73,18
74,12
75,14
76,12
77,12
78,18
79,19
80,7
81,11
82,15
83,14
84,9
85,18
86,16
87,21
88,18
89,10
90,13
91,7
92,9
93,18
94,14
95,26
96,13
97,14
98,17
99,11
100,17
101,20
102,26
103,17
104,18
105,12
106,14
107,23
108,18
109,30
110,29
111,18
112,22
113,28
114,31
115,20
116,23
117,15
118,43
119,32
120,16
121,16
122,15
123,14
124,25
125,16
126,9
127,15
128,24
129,21
130,17
131,9
132,14
133,29
134,26
135,25
136,20
137,17
138,19
139,13
140,25
141,15
142,12
143,18
144,24
145,28
146,19
147,18
148,25
149,13
150,14
151,25
152,23
153,12
154,29
155,10
156,17
157,1
158,21
159,20
160,15
161,29
162,18
163,22
164,29
165,20
166,31
167,20
168,16
169,17
170,15
171,14
172,19
173,19
174,21
175,20
176,25
177,18
178,15
179,15
180,19
181,21
182,31
183,15
184,16
185,31
186,8
187,16
188,21
189,20
190,19
191,NA
192,30
193,NA
194,15
195,14
196,29
197,16
198,29
199,14
200,15
201,15
202,19
203,20
204,21
205,32
206,27
207,26
208,26
209,17
210,8
211,NA
212,17
213,18
214,19
215,23
216,36
217,22
218,29
219,35
220,24
221,15
222,28
223,16
224,24
225,26
226,37
227,30
228,19
229,14
230,34
231,32
232,20
233,21
234,16
235,24
236,27
237,16
238,21
239,23
240,29
241,28
242,13
243,17
244,20
245,26
246,14
247,18
248,27
249,42
250,36
251,25
252,19
253,36
254,16
255,NA
256,38
257,18
258,32
259,37
260,15
261,51
262,19
263,25
264,33
265,37
266,25
267,33
268,34
269,25
270,22
271,34
272,24
273,24
274,24
275,23
276,27
277,26
278,23
279,15
280,34
281,22
282,18
283,26
284,23
285,26
286,30
287,5
288,19
289,14
290,50
291,26
292,57
293,32
294,34
295,19
296,46
297,28
298,27
299,17
300,39
301,23
302,31
303,42
304,37
305,32
306,24
307,32
308,20
309,33
310,25
311,18
312,43
313,30
314,14
315,24
316,25
317,NA
318,19
319,NA
320,33
321,29
322,27
323,23
324,24
325,27
326,25
327,32
328,35
329,26
330,38
331,27
332,21
333,19
334,35
335,33
336,39
337,37
338,19
339,NA
340,28
341,32
342,33
343,23
344,19
345,16
346,19
347,27
348,29
349,25
350,20
351,NA
352,NA
353,26
354,14
355,40
356,24
357,33
358,13
359,22
360,26
361,24
362,28
363,32
364,19
365,37
366,37
367,25
368,25
369,NA
370,17
371,NA
372,31
373,39
374,39
375,32
376,35
377,25
378,24
379,33
380,41
381,47
382,33
383,26
384,36
385,34
386,44
387,44
388,29
389,48
390,42
391,44
392,27
393,19
394,33
395,28
396,35
397,27
398,34
399,43
400,31
401,47
402,36
403,36
404,19
405,41
406,43
407,38
408,30
409,39
410,59
411,26
412,26
413,40
414,38
415,34
416,43
417,16
418,31
419,33
420,48
421,36
422,29
423,27
424,28
425,27
426,37
427,34
428,47
429,65
430,48
431,36
