"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",9
"10",10
"11",11
"12",12
"13",13
"14",14
"15",15
"16",16
"17",17
"18",18
"19",19
"20",20
"21",21
"22",22
"23",23
"24",24
"25",25
"26",26
"27",27
"28",28
"29",29
"30",30
"31",31
"32",32
"33",33
"34",34
"35",35
"36",36
"37",37
"38",38
"39",39
"40",40
"41",41
"42",42
"43",43
"44",44
"45",45
"46",46
"47",47
"48",48
"49",49
"50",50
"51",51
"52",52
"53",53
"54",1
"55",2
"56",3
"57",4
"58",5
"59",6
"60",7
"61",8
"62",9
"63",10
"64",11
"65",12
"66",13
"67",14
"68",15
"69",16
"70",17
"71",18
"72",19
"73",20
"74",21
"75",22
"76",23
"77",24
"78",25
"79",26
"80",27
"81",28
"82",29
"83",30
"84",31
"85",32
"86",33
"87",34
"88",35
"89",36
"90",37
"91",38
"92",39
"93",40
"94",41
"95",42
"96",43
"97",44
"98",45
"99",46
"100",47
"101",48
"102",49
"103",50
"104",51
"105",52
"106",1
"107",2
"108",3
"109",4
"110",5
"111",6
"112",7
"113",8
"114",9
"115",10
"116",11
"117",12
"118",13
"119",14
"120",15
"121",16
"122",17
"123",18
"124",19
"125",20
"126",21
"127",22
"128",23
"129",24
"130",25
"131",26
"132",27
"133",28
"134",29
"135",30
"136",31
"137",32
"138",33
"139",34
"140",35
"141",36
"142",37
"143",38
"144",39
"145",40
"146",41
"147",42
"148",43
"149",44
"150",45
"151",46
"152",47
"153",48
"154",49
"155",50
"156",51
"157",52
"158",1
"159",2
"160",3
"161",4
"162",5
"163",6
"164",7
"165",8
"166",9
"167",10
"168",11
"169",12
"170",13
"171",14
"172",15
"173",16
"174",17
"175",18
"176",19
"177",20
"178",21
"179",22
"180",23
"181",24
"182",25
"183",26
"184",27
"185",28
"186",29
"187",30
"188",31
"189",32
"190",33
"191",34
"192",35
"193",36
"194",37
"195",38
"196",39
"197",40
"198",41
"199",42
"200",43
"201",44
"202",45
"203",46
"204",47
"205",48
"206",49
"207",50
"208",51
"209",52
"210",1
"211",2
"212",3
"213",4
"214",5
"215",6
"216",7
"217",8
"218",9
"219",10
"220",11
"221",12
"222",13
"223",14
"224",15
"225",16
"226",17
"227",18
"228",19
"229",20
"230",21
"231",22
"232",23
"233",24
"234",25
"235",26
"236",27
"237",28
"238",29
"239",30
"240",31
"241",32
"242",33
"243",34
"244",35
"245",36
"246",37
"247",38
"248",39
"249",40
"250",41
"251",42
"252",43
"253",44
"254",45
"255",46
"256",47
"257",48
"258",49
"259",50
"260",51
"261",52
"262",1
"263",2
"264",3
"265",4
"266",5
"267",6
"268",7
"269",8
"270",9
"271",10
"272",11
"273",12
"274",13
"275",14
"276",15
"277",16
"278",17
"279",18
"280",19
"281",20
"282",21
"283",22
"284",23
"285",24
"286",25
"287",26
"288",27
"289",28
"290",29
"291",30
"292",31
"293",32
"294",33
"295",34
"296",35
"297",36
"298",37
"299",38
"300",39
"301",40
"302",41
"303",42
"304",43
"305",44
"306",45
"307",46
"308",47
"309",48
"310",49
"311",50
"312",51
"313",52
"314",53
"315",1
"316",2
"317",3
"318",4
"319",5
"320",6
"321",7
"322",8
"323",9
"324",10
"325",11
"326",12
"327",13
"328",14
"329",15
"330",16
"331",17
"332",18
"333",19
"334",20
"335",21
"336",22
"337",23
"338",24
"339",25
"340",26
"341",27
"342",28
"343",29
"344",30
"345",31
"346",32
"347",33
"348",34
"349",35
"350",36
"351",37
"352",38
"353",39
"354",40
"355",41
"356",42
"357",43
"358",44
"359",45
"360",46
"361",47
"362",48
"363",49
"364",50
"365",51
"366",52
"367",1
"368",2
"369",3
"370",4
"371",5
"372",6
"373",7
"374",8
"375",9
"376",10
"377",11
"378",12
"379",13
"380",14
"381",15
"382",16
"383",17
"384",18
"385",19
"386",20
"387",21
"388",22
"389",23
"390",24
"391",25
"392",26
"393",27
"394",28
"395",29
"396",30
"397",31
"398",32
"399",33
"400",34
"401",35
"402",36
"403",37
"404",38
"405",39
"406",40
"407",41
"408",42
"409",43
"410",44
"411",45
"412",46
"413",47
"414",48
"415",49
"416",50
"417",51
"418",52
"419",1
"420",2
"421",3
"422",4
"423",5
"424",6
"425",7
"426",8
"427",9
"428",10
"429",11
"430",12
"431",13
"432",14
"433",15
"434",16
"435",17
"436",18
"437",19
"438",20
"439",21
"440",22
"441",23
"442",24
"443",25
"444",26
"445",27
"446",28
"447",29
"448",30
"449",31
"450",32
"451",33
"452",34
