,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,39
54,14
55,14
56,29
57,69
58,9
59,24
60,47
61,30
62,16
63,22
64,9
65,19
66,9
67,14
68,6
69,17
70,20
71,15
72,10
73,4
74,2
75,18
76,14
77,9
78,7
79,4
80,8
81,11
82,5
83,4
84,5
85,3
86,2
87,NA
88,NA
89,5
90,1
91,2
92,2
93,1
94,3
95,1
96,NA
97,NA
98,NA
99,NA
100,NA
101,1
102,2
103,2
104,NA
105,3
106,12
107,6
108,14
109,28
110,3
111,4
112,4
113,NA
114,2
115,NA
116,26
117,3
118,NA
119,27
120,NA
121,NA
122,NA
123,2
124,NA
125,3
126,1
127,NA
128,4
129,NA
130,1
131,NA
132,NA
133,3
134,1
135,1
136,1
137,11
138,NA
139,2
140,1
141,NA
142,2
143,6
144,2
145,NA
146,5
147,4
148,4
149,5
150,NA
151,12
152,3
153,6
154,7
155,5
156,7
157,4
158,NA
159,5
160,10
161,9
162,6
163,16
164,4
165,13
166,6
167,12
168,5
169,7
170,10
171,4
172,NA
173,25
174,14
175,12
176,6
177,5
178,3
179,8
180,10
181,NA
182,2
183,29
184,NA
185,6
186,2
187,1
188,1
189,7
190,10
191,5
192,3
193,1
194,4
195,1
196,1
197,3
198,2
199,11
200,4
201,9
202,NA
203,7
204,14
205,11
206,26
207,20
208,19
209,NA
210,3
211,29
212,6
213,46
214,26
215,142
216,41
217,11
218,NA
219,42
220,42
221,42
222,48
223,26
224,40
225,6
226,9
227,33
228,17
229,60
230,20
231,52
232,56
233,27
234,30
235,10
236,10
237,20
238,12
239,2
240,8
241,4
242,16
243,10
244,2
245,2
246,2
247,NA
248,NA
249,5
250,NA
251,NA
252,12
253,13
254,8
255,3
256,16
257,20
258,NA
259,39
260,9
261,13
262,13
263,1
264,NA
265,18
266,NA
267,50
268,34
269,21
270,18
271,1
272,29
273,19
274,9
275,NA
276,32
277,15
278,17
279,3
280,34
281,41
282,10
283,30
284,19
285,16
286,4
287,22
288,1
289,8
290,NA
291,16
292,NA
293,13
294,4
295,NA
296,7
297,NA
298,NA
299,2
300,1
301,1
302,7
303,10
304,1
305,13
306,2
307,5
308,27
309,3
310,33
311,18
312,129
313,41
314,36
315,1
316,NA
317,NA
318,35
319,37
320,NA
321,13
322,26
323,19
324,20
325,20
326,5
327,11
328,13
329,12
330,20
331,4
332,NA
333,21
334,21
335,14
336,66
337,9
338,8
339,NA
340,12
341,90
342,8
343,14
344,3
345,96
346,5
347,3
348,21
349,9
350,9
351,20
352,8
353,6
354,2
355,2
356,NA
357,NA
358,2
359,11
360,3
361,9
362,19
363,5
364,6
365,7
366,NA
367,18
368,8
369,1
370,14
371,17
372,5
373,20
374,19
375,19
376,20
377,11
378,11
379,23
380,8
381,12
382,43
383,22
384,18
385,14
386,5
387,41
388,13
389,11
390,45
391,17
392,2
393,NA
394,9
395,12
396,3
397,22
398,8
399,1
400,2
401,2
402,9
403,4
404,7
405,1
406,7
407,6
408,NA
409,4
410,4
411,4
412,6
413,1
414,2
415,12
416,7
417,2
418,10
419,26
420,20
421,NA
422,3
423,5
424,3
425,1
426,17
427,18
428,2
429,20
430,16
431,13
432,13
433,7
434,8
435,19
436,28
437,1
438,44
439,3
440,19
441,21
442,23
443,17
444,1
445,26
446,7
447,5
448,7
449,5
450,5
451,3
452,3
453,1
454,4
455,NA
456,2
457,4
458,1
459,2
460,3
461,NA
462,6
463,4
464,1
465,10
466,3
467,5
468,NA
469,1
470,19
471,6
472,7
473,4
474,10
475,NA
476,6
477,16
478,10
479,NA
480,10
481,1
482,6
483,2
484,3
485,8
486,3
487,11
488,13
489,4
490,29
491,NA
492,22
493,22
494,22
495,4
496,2
497,5
498,9
499,32
500,4
501,8
502,6
503,5
504,3
505,4
506,2
507,5
508,1
509,3
510,2
511,1
512,1
513,5
514,4
515,2
516,5
517,3
518,4
519,4
520,3
521,11
522,15
523,2
524,19
525,4
526,18
527,3
528,24
529,NA
530,NA
531,3
532,NA
533,37
534,4
535,NA
536,29
537,5
538,9
539,3
540,7
541,1
542,11
543,NA
544,1
545,10
546,1
547,19
548,5
549,16
550,2
551,3
552,10
553,1
554,NA
555,2
556,1
557,2
558,NA
559,2
560,2
561,1
562,3
563,6
564,5
565,1
566,1
567,5
568,2
569,1
570,8
571,1
572,2
573,7
574,5
575,10
576,2
577,13
578,8
579,7
580,4
581,5
582,3
583,NA
584,2
585,2
586,8
587,11
588,34
589,7
590,24
591,10
592,5
593,5
594,19
595,9
596,8
597,19
598,9
599,16
600,11
601,39
602,14
603,11
604,20
605,24
606,19
607,9
608,10
609,20
610,NA
611,26
612,5
613,2
614,1
615,4
616,NA
617,4
618,4
619,1
620,2
621,1
622,2
623,3
624,1
625,1
626,NA
627,NA
628,1
629,NA
630,2
631,1
632,3
633,1
634,NA
635,1
636,NA
637,1
638,1
639,NA
640,NA
641,NA
642,NA
643,NA
644,4
645,1
646,NA
647,NA
648,NA
649,NA
650,1
651,1
652,NA
653,NA
654,1
655,2
656,2
657,NA
658,1
659,1
660,NA
661,2
662,NA
663,NA
664,NA
665,1
666,1
667,NA
668,NA
669,NA
670,1
671,NA
672,NA
673,NA
674,NA
675,1
676,NA
677,NA
678,NA
679,2
680,NA
681,NA
682,2
683,NA
684,NA
685,NA
686,NA
687,NA
688,1
689,2
690,1
691,NA
692,NA
693,NA
694,NA
695,NA
696,3
697,1
698,NA
699,1
700,1
701,NA
702,NA
703,NA
704,NA
705,1
706,NA
707,2
708,NA
709,NA
710,NA
711,1
712,NA
713,NA
714,NA
715,NA
716,1
717,NA
718,1
719,2
720,3
721,NA
722,NA
723,NA
724,3
725,NA
726,1
727,NA
728,4
729,NA
730,NA
731,1
732,NA
733,NA
734,NA
735,4
736,NA
737,NA
738,NA
739,NA
740,2
741,NA
742,1
743,NA
744,2
745,NA
746,3
747,NA
748,NA
749,1
750,2
751,NA
752,NA
753,NA
754,1
755,NA
756,NA
757,NA
758,NA
759,NA
760,NA
761,NA
762,NA
763,NA
764,1
765,NA
766,NA
767,2
768,NA
769,NA
770,NA
771,NA
772,NA
773,1
774,NA
775,NA
776,NA
777,NA
778,NA
779,NA
780,2
781,NA
782,1
783,NA
784,NA
785,NA
786,NA
787,NA
788,NA
789,NA
790,NA
791,NA
792,NA
793,NA
794,1
795,NA
796,NA
797,NA
798,1
799,NA
800,NA
801,NA
802,1
803,NA
804,1
805,NA
806,NA
807,NA
808,NA
809,NA
810,NA
811,NA
812,1
813,NA
814,NA
815,NA
816,NA
817,NA
818,NA
819,NA
820,1
821,NA
822,NA
823,NA
824,2
825,NA
826,NA
827,NA
828,NA
829,NA
830,1
831,NA
832,NA
833,NA
834,NA
835,NA
836,NA
837,1
838,NA
839,NA
840,NA
841,NA
842,NA
843,NA
844,NA
845,NA
846,NA
847,NA
848,NA
849,NA
850,NA
851,NA
852,NA
853,NA
854,NA
855,NA
856,NA
857,NA
858,NA
859,NA
860,NA
861,NA
862,NA
863,NA
864,NA
865,1
866,NA
867,NA
868,NA
869,1
870,NA
871,NA
872,NA
873,NA
874,NA
875,NA
876,NA
877,NA
878,NA
879,NA
880,NA
881,NA
882,NA
883,NA
884,NA
885,NA
886,NA
887,NA
888,NA
889,NA
890,NA
891,NA
892,NA
893,NA
894,NA
895,NA
896,1
897,1
898,NA
899,NA
900,1
901,NA
902,NA
903,NA
904,NA
905,NA
906,NA
907,NA
908,NA
909,NA
910,NA
911,NA
912,NA
913,NA
914,NA
915,NA
916,1
917,NA
918,NA
919,NA
920,NA
921,NA
922,NA
923,NA
924,1
925,NA
926,NA
927,NA
928,NA
929,NA
930,NA
931,NA
932,NA
933,NA
934,NA
935,NA
936,NA
937,NA
938,NA
939,NA
940,NA
941,NA
942,NA
943,NA
944,NA
945,NA
946,NA
947,NA
948,NA
949,NA
950,NA
951,NA
952,NA
953,NA
954,NA
955,NA
956,NA
957,NA
958,NA
959,NA
960,NA
961,NA
962,NA
963,NA
964,NA
965,NA
966,NA
967,NA
968,NA
969,NA
970,NA
971,NA
972,NA
973,NA
974,NA
975,NA
976,NA
977,NA
978,NA
979,NA
980,NA
981,NA
982,NA
983,1
984,NA
985,NA
986,NA
987,NA
988,NA
989,NA
990,NA
991,NA
992,NA
993,NA
994,NA
995,NA
996,NA
997,NA
998,NA
999,NA
1000,NA
1001,NA
1002,NA
1003,NA
1004,1
1005,NA
1006,NA
1007,NA
1008,NA
1009,NA
1010,NA
1011,NA
1012,NA
1013,NA
1014,NA
1015,NA
1016,NA
1017,NA
1018,NA
1019,NA
1020,1
1021,NA
1022,NA
1023,NA
1024,NA
1025,NA
1026,NA
1027,NA
1028,NA
1029,NA
1030,NA
1031,NA
1032,NA
1033,1
1034,1
1035,NA
1036,NA
1037,NA
1038,NA
1039,NA
1040,NA
1041,NA
1042,NA
1043,NA
1044,NA
1045,NA
1046,NA
1047,NA
1048,NA
1049,NA
1050,NA
1051,NA
1052,NA
1053,NA
1054,1
1055,NA
1056,NA
1057,NA
1058,NA
1059,NA
1060,NA
1061,NA
1062,6
1063,2
1064,NA
1065,1
1066,NA
1067,3
1068,NA
1069,2
1070,2
1071,NA
1072,14
1073,5
1074,9
1075,5
1076,NA
1077,1
1078,1
1079,1
1080,NA
1081,NA
1082,3
1083,NA
1084,1
1085,NA
1086,2
1087,1
