,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,247
54,480
55,486
56,631
57,523
58,473
59,483
60,399
61,449
62,761
63,584
64,620
65,493
66,529
67,609
68,342
69,508
70,663
71,NA
72,647
73,479
74,488
75,511
76,445
77,489
78,179
79,116
80,121
81,127
82,76
83,108
84,101
85,139
86,94
87,60
88,68
89,53
90,89
91,118
92,140
93,219
94,279
95,204
96,189
97,276
98,28
99,334
100,197
101,353
102,261
103,233
104,394
105,118
106,133
107,257
108,203
109,279
110,267
111,233
112,272
113,255
114,217
115,NA
116,289
117,371
118,179
119,157
120,247
121,235
122,245
123,214
124,248
125,219
126,277
127,234
128,170
129,128
130,132
131,100
132,68
133,68
134,57
135,62
136,59
137,53
138,44
139,29
140,35
141,28
142,42
143,52
144,51
145,82
146,99
147,138
148,138
149,108
150,116
151,115
152,158
153,126
154,162
155,149
156,149
157,111
158,NA
159,66
160,120
161,116
162,189
163,125
164,136
165,127
166,179
167,214
168,186
169,153
170,188
171,137
172,156
173,250
174,163
175,165
176,294
177,166
178,205
179,196
180,220
181,141
182,141
183,90
184,87
185,53
186,48
187,62
188,56
189,55
190,43
191,58
192,39
193,33
194,30
195,41
196,41
197,89
198,NA
199,74
200,127
201,53
202,NA
203,128
204,178
205,140
206,93
207,148
208,191
209,141
210,94
211,111
212,88
213,180
214,172
215,189
216,138
217,149
218,NA
219,196
220,196
221,196
222,209
223,173
224,286
225,210
226,123
227,210
228,192
229,165
230,338
231,220
232,352
233,232
234,218
235,190
236,273
237,144
238,93
239,63
240,70
241,86
242,84
243,59
244,53
245,53
246,54
247,35
248,28
249,55
250,57
251,56
252,86
253,67
254,105
255,123
256,99
257,171
258,150
259,146
260,159
261,274
262,198
263,170
264,NA
265,163
266,NA
267,191
268,199
269,171
270,227
271,151
272,134
273,187
274,199
275,208
276,166
277,172
278,126
279,259
280,195
281,263
282,220
283,270
284,296
285,228
286,241
287,209
288,250
289,75
290,105
291,86
292,56
293,88
294,82
295,61
296,56
297,58
298,NA
299,46
300,27
301,50
302,65
303,55
304,80
305,99
306,56
307,51
308,117
309,134
310,153
311,95
312,153
313,141
314,179
315,114
316,NA
317,56
318,164
319,449
320,137
321,150
322,NA
323,149
324,110
325,156
326,241
327,184
328,126
329,218
330,321
331,198
332,178
333,233
334,233
335,210
336,127
337,176
338,145
339,129
340,190
341,137
342,112
343,109
344,69
345,55
346,56
347,49
348,58
349,45
350,45
351,42
352,43
353,30
354,NA
355,19
356,NA
357,46
358,32
359,46
360,29
361,59
362,56
363,74
364,79
365,48
366,53
367,80
368,86
369,62
370,48
371,36
372,6
373,109
374,63
375,66
376,52
377,71
378,47
379,63
380,77
381,115
382,74
383,54
384,100
385,39
386,44
387,67
388,69
389,77
390,62
391,104
392,54
393,NA
394,52
395,44
396,52
397,26
398,39
399,36
400,19
401,29
402,33
403,18
404,17
405,20
406,NA
407,11
408,NA
409,29
410,22
411,27
412,24
413,29
414,51
415,NA
416,68
417,46
418,33
419,62
420,65
421,111
422,42
423,89
424,69
425,95
426,98
427,94
428,129
429,45
430,83
431,93
432,50
433,135
434,109
435,68
436,99
437,65
438,149
439,118
440,161
441,104
442,46
443,147
444,79
445,104
446,93
447,117
448,86
449,103
450,48
451,51
452,37
453,37
454,28
455,23
456,28
457,37
458,13
459,41
460,16
461,24
462,32
463,61
464,38
465,28
466,70
467,NA
468,NA
469,81
470,82
471,89
472,108
473,47
474,43
475,NA
476,38
477,52
478,59
479,83
480,56
481,NA
482,84
483,30
484,59
485,97
486,38
487,35
488,64
489,76
490,51
491,31
492,35
493,35
494,32
495,77
496,39
497,75
498,52
499,39
500,35
501,23
502,30
503,21
504,30
505,7
506,11
507,26
508,19
509,19
510,17
511,14
512,12
513,14
514,13
515,22
516,21
517,22
518,19
519,23
520,12
521,28
522,26
523,10
524,24
525,13
526,22
527,19
528,14
529,NA
530,31
531,14
532,23
533,13
534,25
535,NA
536,25
537,12
538,28
539,37
540,40
541,23
542,38
543,17
544,27
545,33
546,23
547,22
548,22
549,NA
550,16
551,26
552,22
553,21
554,NA
555,8
556,8
557,8
558,16
559,10
560,9
561,9
562,4
563,NA
564,2
565,8
566,8
567,17
568,NA
569,15
570,8
571,35
572,23
573,17
574,18
575,22
576,15
577,15
578,18
579,NA
580,NA
581,9
582,13
583,16
584,17
585,11
586,NA
587,NA
588,17
589,12
590,15
591,15
592,14
593,17
594,13
595,19
596,12
597,8
598,15
599,15
600,18
601,NA
602,16
603,16
604,13
605,15
606,11
607,10
608,11
609,5
610,6
611,2
612,10
613,3
614,4
615,NA
616,4
617,7
618,5
619,5
620,NA
621,5
622,9
623,10
624,10
625,12
626,14
627,5
628,12
629,9
630,20
631,17
632,5
633,6
634,14
635,9
636,14
637,10
638,NA
639,NA
640,12
641,5
642,15
643,12
644,10
645,15
646,11
647,18
648,6
649,6
650,16
651,11
652,14
653,NA
654,14
655,11
656,4
657,16
658,NA
659,2
660,5
661,12
662,1
663,4
664,1
665,10
666,6
667,NA
668,NA
669,4
670,13
671,9
672,NA
673,11
674,14
675,8
676,9
677,NA
678,14
679,9
680,16
681,14
682,16
683,10
684,12
685,4
686,6
687,6
688,11
689,9
690,NA
691,NA
692,10
693,9
694,8
695,12
696,5
697,18
698,3
699,14
700,7
701,11
702,8
703,11
704,10
705,NA
706,13
707,15
708,23
709,5
710,4
711,10
712,3
713,8
714,6
715,4
716,11
717,10
718,5
719,NA
720,NA
721,6
722,15
723,3
724,9
725,NA
726,7
727,12
728,15
729,5
730,5
731,8
732,8
733,13
734,15
735,7
736,NA
737,6
738,8
739,12
740,12
741,15
742,11
743,NA
744,12
745,8
746,25
747,9
748,16
749,14
750,5
751,5
752,9
753,5
754,7
755,10
756,12
757,NA
758,6
759,5
760,12
761,5
762,NA
763,3
764,11
765,8
766,7
767,7
768,6
769,11
770,13
771,10
772,NA
773,4
774,6
775,NA
776,3
777,NA
778,3
779,2
780,6
781,10
782,8
783,12
784,14
785,8
786,15
787,7
788,NA
789,5
790,8
791,6
792,14
793,8
794,8
795,NA
796,19
797,NA
798,12
799,19
800,8
801,8
802,18
803,6
804,11
805,19
806,12
807,14
808,6
809,11
810,NA
811,4
812,13
813,16
814,19
815,NA
816,6
817,6
818,9
819,10
820,8
821,6
822,8
823,4
824,NA
825,1
826,8
827,5
828,5
829,NA
830,6
831,10
832,5
833,13
834,3
835,10
836,4
837,4
838,5
839,6
840,9
841,NA
842,NA
843,4
844,7
845,6
846,7
847,2
848,NA
849,5
850,12
851,10
852,6
853,11
854,7
855,8
856,12
857,7
858,8
859,13
860,8
861,7
862,NA
863,14
864,5
865,7
866,6
867,NA
868,5
869,6
870,2
871,9
872,6
873,4
874,4
875,4
876,NA
877,4
878,3
879,7
880,7
881,NA
882,5
883,6
884,11
885,8
886,9
887,14
888,NA
889,5
890,3
891,7
892,NA
893,NA
894,10
895,NA
896,8
897,11
898,6
899,NA
900,NA
901,7
902,12
903,8
904,11
905,9
906,16
907,14
908,12
909,8
910,5
911,4
912,9
913,9
914,NA
915,3
916,17
917,10
918,3
919,7
920,11
921,5
922,7
923,4
924,8
925,7
926,8
927,9
928,NA
929,2
930,1
931,5
932,7
933,NA
934,3
935,10
936,4
937,9
938,NA
939,5
940,8
941,7
942,7
943,8
944,5
945,13
946,6
947,4
948,NA
949,4
950,11
951,9
952,NA
953,1
954,2
955,15
956,16
957,14
958,12
959,25
960,5
961,12
962,13
963,13
964,10
965,13
966,NA
967,12
968,13
969,10
970,7
971,6
972,4
973,6
974,1
975,5
976,4
977,1
978,5
979,11
980,NA
981,3
982,7
983,6
984,5
985,8
986,NA
987,12
988,5
989,8
990,NA
991,5
992,8
993,4
994,8
995,11
996,9
997,13
998,2
999,2
1000,NA
1001,4
1002,2
1003,3
1004,NA
1005,7
1006,8
1007,9
1008,6
1009,5
1010,10
1011,11
1012,13
1013,4
1014,5
1015,9
1016,7
1017,7
1018,NA
1019,9
1020,4
1021,5
1022,9
1023,5
1024,9
1025,3
1026,7
1027,5
1028,5
1029,1
1030,5
1031,8
1032,NA
1033,2
1034,9
1035,8
1036,8
1037,11
1038,NA
1039,5
1040,2
1041,8
1042,8
1043,8
1044,7
1045,7
1046,1
1047,8
1048,NA
1049,10
1050,NA
1051,NA
1052,NA
1053,7
1054,6
1055,6
1056,NA
1057,6
1058,8
1059,16
1060,5
1061,13
1062,8
1063,4
1064,13
1065,3
1066,9
1067,6
1068,8
1069,7
1070,NA
1071,3
1072,12
1073,3
1074,11
1075,10
1076,NA
1077,6
1078,8
1079,3
1080,13
1081,6
1082,3
1083,NA
1084,9
1085,NA
1086,8
1087,6
1088,10
1089,4
1090,NA
1091,15
1092,4
1093,15
1094,5
1095,14
1096,4
1097,24
1098,7
1099,5
1100,3
1101,6
1102,5
1103,3
1104,NA
1105,6
1106,14
1107,33
1108,NA
1109,15
1110,11
1111,4
1112,8
1113,11
1114,19
1115,27
1116,18
1117,6
1118,15
1119,12
1120,3
1121,6
1122,14
1123,NA
1124,8
1125,11
1126,11
1127,10
1128,NA
1129,12
1130,4
1131,6
1132,17
1133,8
1134,3
1135,5
1136,6
1137,5
1138,5
1139,3
1140,4
1141,6
1142,NA
1143,4
1144,5
1145,5
1146,9
1147,9
1148,8
1149,3
1150,7
1151,6
1152,13
1153,8
1154,4
