,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,117
58,362
59,41
60,169
61,111
62,136
63,144
64,102
65,114
66,115
67,96
68,81
69,110
70,103
71,75
72,54
73,68
74,94
75,28
76,41
77,16
78,17
79,12
80,36
81,23
82,17
83,38
84,10
85,16
86,17
87,11
88,6
89,31
90,11
91,17
92,32
93,28
94,7
95,15
96,39
97,33
98,31
99,36
100,29
101,27
102,30
103,38
104,26
105,11
106,17
107,39
108,NA
109,34
110,14
111,30
112,45
113,21
114,18
115,NA
116,37
117,17
118,17
119,NA
120,39
121,15
122,20
123,25
124,14
125,26
126,9
127,21
128,19
129,15
130,4
131,7
132,5
133,5
134,18
135,33
136,2
137,4
138,2
139,1
140,NA
141,5
142,3
143,9
144,14
145,10
146,13
147,15
148,15
149,14
150,34
151,14
152,41
153,8
154,8
155,25
156,33
157,29
158,NA
159,35
160,31
161,25
162,15
163,27
164,52
165,72
166,59
167,49
168,41
169,32
170,32
171,48
172,16
173,53
174,NA
175,65
176,60
177,36
178,49
179,30
180,10
181,27
182,20
183,62
184,31
185,31
186,21
187,8
188,2
189,1
190,24
191,12
192,9
193,15
194,6
195,11
196,11
197,17
198,25
199,NA
200,44
201,126
202,NA
203,16
204,33
205,44
206,24
207,16
208,15
209,26
210,21
211,8
212,28
213,23
214,25
215,21
216,45
217,58
218,NA
219,36
220,36
221,36
222,30
223,71
224,81
225,16
226,215
227,18
228,27
229,87
230,56
231,73
232,22
233,52
234,12
235,72
236,27
237,15
238,16
239,17
240,14
241,12
242,4
243,2
244,11
245,10
246,27
247,9
248,1
249,12
250,10
251,9
252,12
253,18
254,29
255,34
256,11
257,26
258,35
259,39
260,22
261,27
262,23
263,3
264,NA
265,13
266,NA
267,35
268,29
269,81
270,27
271,37
272,22
273,15
274,27
275,26
276,42
277,19
278,20
279,48
280,38
281,9
282,54
283,22
284,17
285,23
286,31
287,12
288,25
289,10
290,10
291,8
292,4
293,5
294,3
295,NA
296,2
297,NA
298,NA
299,3
300,2
301,5
302,1
303,1
304,6
305,5
306,2
307,2
308,5
309,1
310,12
311,5
312,7
313,3
314,15
315,31
316,NA
317,2
318,9
319,14
320,3
321,5
322,NA
323,18
324,9
325,5
326,12
327,2
328,39
329,19
330,16
331,14
332,27
333,25
334,25
335,19
336,24
337,21
338,16
339,15
340,23
341,8
342,6
343,6
344,7
345,9
346,13
347,16
348,9
349,8
350,8
351,5
352,5
353,4
354,5
355,5
356,NA
357,8
358,8
359,8
360,11
361,NA
362,18
363,9
364,4
365,15
366,14
367,23
368,16
369,16
370,11
371,3
372,18
373,42
374,19
375,16
376,15
377,16
378,39
379,12
380,21
381,23
382,14
383,22
384,19
385,12
386,13
387,15
388,20
389,14
390,8
391,16
392,17
393,NA
394,16
395,14
396,16
397,9
398,9
399,4
400,3
401,NA
402,3
403,6
404,1
405,3
406,3
407,2
408,NA
409,4
410,8
411,6
412,NA
413,6
414,17
415,9
416,12
417,11
418,1
419,14
420,8
421,5
422,5
423,1
424,4
425,8
426,9
427,13
428,10
429,4
430,5
431,2
432,7
433,17
434,15
435,12
436,26
437,33
438,14
439,75
440,40
441,27
442,34
443,41
444,12
445,48
446,32
447,18
448,15
449,30
450,NA
451,12
452,13
453,4
454,6
455,3
456,1
457,3
458,1
459,NA
460,3
461,1
462,3
463,4
464,5
465,1
466,9
467,3
468,4
469,4
470,4
471,12
472,19
473,3
474,5
475,NA
476,NA
477,3
478,3
479,5
480,2
481,7
482,10
483,9
484,10
485,34
486,3
487,6
488,3
489,6
490,7
491,9
492,13
493,13
494,12
495,8
496,13
497,7
498,18
499,3
500,2
501,5
502,3
503,5
504,NA
505,3
506,4
507,3
508,4
509,1
510,NA
511,NA
512,NA
513,2
514,NA
515,2
516,1
517,NA
518,9
519,5
520,4
521,6
522,4
523,3
524,2
525,1
526,13
527,7
528,2
529,NA
530,3
531,3
532,1
533,5
534,9
535,3
536,5
537,16
538,10
539,24
540,20
541,1
542,55
543,2
544,23
545,25
546,1
547,13
548,4
549,13
550,2
551,3
552,4
553,NA
554,NA
555,2
556,2
557,NA
558,2
559,1
560,NA
561,4
562,1
563,4
564,1
565,1
566,1
567,1
568,NA
569,1
570,1
571,NA
572,3
573,2
574,1
575,3
576,14
577,5
578,3
579,3
580,6
581,1
582,2
583,3
584,2
585,1
586,4
587,1
588,2
589,5
590,NA
591,3
592,3
593,1
594,2
595,2
596,NA
597,1
598,NA
599,7
600,4
601,11
602,NA
603,9
604,1
605,NA
606,8
607,1
608,NA
609,NA
610,NA
611,2
612,1
613,NA
614,9
615,1
616,1
617,1
618,3
619,NA
620,2
621,1
622,NA
623,5
624,1
625,NA
626,1
627,2
628,5
629,NA
630,1
631,2
632,3
633,NA
634,3
635,4
636,NA
637,23
638,2
639,3
640,3
641,1
642,7
643,NA
644,NA
645,2
646,2
647,1
648,NA
649,2
650,2
651,2
652,2
653,NA
654,5
655,1
656,1
657,NA
658,1
659,1
660,NA
661,1
662,NA
663,1
664,NA
665,1
666,NA
667,1
668,3
669,NA
670,2
671,NA
672,2
673,1
674,11
675,2
676,6
677,1
678,11
679,NA
680,3
681,3
682,NA
683,1
684,NA
685,1
686,3
687,4
688,NA
689,NA
690,1
691,1
692,2
693,1
694,3
695,1
696,1
697,NA
698,1
699,2
700,NA
701,NA
702,2
703,2
704,NA
705,2
706,2
707,5
708,1
709,3
710,1
711,1
712,3
713,NA
714,2
715,NA
716,NA
717,1
718,1
719,3
720,NA
721,1
722,1
723,NA
724,NA
725,NA
726,3
727,1
728,1
729,1
730,2
731,1
732,1
733,1
734,NA
735,2
736,NA
737,NA
738,NA
739,4
740,1
741,2
742,NA
743,2
744,NA
745,1
746,NA
747,1
748,1
749,1
750,4
751,3
752,2
753,7
754,3
755,NA
756,1
757,NA
758,1
759,1
760,NA
761,NA
762,NA
763,1
764,NA
765,1
766,1
767,NA
768,NA
769,NA
770,NA
771,NA
772,NA
773,NA
774,NA
775,NA
776,NA
777,NA
778,NA
779,NA
780,NA
781,1
782,1
783,NA
784,NA
785,NA
786,1
787,NA
788,NA
789,1
790,NA
791,NA
792,NA
793,NA
794,1
795,NA
796,NA
797,2
798,NA
799,NA
800,2
801,NA
802,NA
803,1
804,NA
805,NA
806,1
807,NA
808,NA
809,NA
810,NA
811,1
812,NA
813,NA
814,NA
815,NA
816,NA
817,NA
818,NA
819,NA
820,1
821,NA
822,1
823,NA
824,NA
825,NA
826,NA
827,NA
828,1
829,NA
830,NA
831,NA
832,NA
833,1
834,NA
835,NA
836,1
837,NA
838,1
839,NA
840,2
841,NA
842,NA
843,NA
844,1
845,NA
846,NA
847,NA
848,NA
849,NA
850,1
851,1
852,NA
853,NA
854,NA
855,1
856,1
857,NA
858,4
859,NA
860,NA
861,1
862,NA
863,NA
864,NA
865,NA
866,NA
867,NA
868,NA
869,NA
870,NA
871,NA
872,NA
873,NA
874,NA
875,2
876,NA
877,NA
878,NA
879,2
880,14
881,NA
882,2
883,2
884,1
885,9
886,1
887,3
888,NA
889,NA
890,2
891,NA
892,NA
893,1
894,NA
895,NA
896,NA
897,NA
898,NA
899,NA
900,1
901,2
902,NA
903,NA
904,3
905,NA
906,2
907,NA
908,NA
909,NA
910,NA
911,1
912,2
913,NA
914,NA
915,1
916,NA
917,NA
918,1
919,NA
920,NA
921,NA
922,NA
923,1
924,NA
925,1
926,1
927,NA
928,NA
929,NA
930,NA
931,1
932,1
933,1
934,NA
935,2
936,2
937,NA
938,2
939,1
940,1
941,1
942,NA
943,NA
944,1
945,2
946,NA
947,NA
948,2
949,NA
950,1
951,1
952,3
953,NA
954,1
955,NA
956,1
957,NA
958,NA
959,NA
960,1
961,NA
962,3
963,NA
964,NA
965,NA
966,NA
967,1
968,NA
969,NA
970,1
971,NA
972,NA
973,NA
974,NA
975,NA
976,NA
977,NA
978,NA
979,NA
980,NA
981,NA
982,1
983,1
984,NA
985,1
986,NA
987,1
988,2
989,1
990,NA
991,NA
992,1
993,1
994,NA
995,1
996,NA
997,NA
998,NA
999,NA
1000,NA
1001,1
1002,NA
1003,2
1004,NA
1005,NA
1006,1
1007,NA
1008,NA
1009,NA
1010,NA
1011,NA
1012,1
1013,1
1014,NA
1015,NA
1016,NA
1017,NA
1018,1
1019,1
1020,1
1021,NA
1022,NA
1023,2
1024,NA
1025,NA
1026,NA
1027,NA
1028,NA
1029,NA
1030,NA
1031,NA
1032,1
1033,NA
1034,NA
1035,NA
1036,NA
1037,NA
1038,NA
1039,1
1040,1
1041,NA
1042,NA
1043,1
1044,1
1045,1
1046,NA
1047,NA
1048,NA
1049,1
1050,NA
1051,NA
1052,1
1053,NA
1054,NA
1055,1
1056,NA
1057,1
1058,2
1059,2
1060,NA
1061,1
1062,NA
1063,NA
1064,NA
1065,NA
1066,13
1067,1
1068,NA
1069,NA
1070,1
1071,NA
1072,NA
1073,2
1074,NA
1075,1
1076,2
1077,NA
1078,NA
1079,NA
1080,NA
1081,NA
1082,NA
1083,NA
1084,NA
1085,NA
1086,NA
1087,NA
1088,NA
1089,NA
1090,NA
1091,NA
1092,NA
1093,NA
1094,1
1095,NA
1096,1
1097,NA
1098,NA
1099,1
1100,2
1101,1
1102,1
1103,NA
1104,2
1105,NA
1106,NA
1107,NA
1108,NA
1109,1
