,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,144
55,124
56,93
57,145
58,68
59,209
60,92
61,79
62,120
63,95
64,230
65,107
66,132
67,218
68,106
69,94
70,80
71,191
72,106
73,95
74,79
75,61
76,105
77,71
78,72
79,25
80,29
81,12
82,16
83,26
84,17
85,21
86,12
87,20
88,17
89,12
90,16
91,10
92,25
93,13
94,NA
95,38
96,34
97,77
98,37
99,61
100,65
101,57
102,87
103,135
104,57
105,57
106,69
107,86
108,120
109,97
110,105
111,66
112,129
113,149
114,69
115,NA
116,86
117,94
118,103
119,143
120,146
121,104
122,68
123,172
124,110
125,78
126,112
127,77
128,131
129,90
130,114
131,81
132,44
133,66
134,37
135,44
136,26
137,38
138,21
139,22
140,38
141,19
142,38
143,36
144,27
145,40
146,52
147,63
148,63
149,58
150,53
151,96
152,56
153,115
154,68
155,73
156,155
157,44
158,NA
159,71
160,125
161,184
162,114
163,142
164,107
165,181
166,106
167,41
168,102
169,129
170,77
171,126
172,123
173,114
174,124
175,129
176,99
177,153
178,142
179,91
180,75
181,89
182,88
183,69
184,60
185,20
186,18
187,21
188,10
189,16
190,11
191,7
192,14
193,6
194,7
195,4
196,11
197,11
198,15
199,20
200,18
201,113
202,NA
203,32
204,39
205,85
206,99
207,55
208,72
209,83
210,1
211,25
212,43
213,99
214,41
215,49
216,28
217,28
218,NA
219,72
220,72
221,72
222,67
223,46
224,52
225,47
226,28
227,57
228,38
229,30
230,39
231,30
232,41
233,61
234,28
235,27
236,38
237,41
238,9
239,7
240,15
241,14
242,14
243,6
244,5
245,25
246,5
247,4
248,3
249,11
250,8
251,6
252,11
253,15
254,15
255,27
256,38
257,22
258,38
259,39
260,31
261,41
262,34
263,36
264,NA
265,28
266,NA
267,48
268,26
269,21
270,21
271,37
272,16
273,14
274,52
275,21
276,37
277,20
278,13
279,23
280,60
281,8
282,6
283,68
284,32
285,17
286,36
287,37
288,59
289,33
290,20
291,14
292,10
293,9
294,7
295,4
296,3
297,8
298,NA
299,4
300,9
301,9
302,8
303,8
304,8
305,14
306,9
307,36
308,22
309,47
310,29
311,16
312,13
313,29
314,10
315,22
316,NA
317,28
318,14
319,12
320,14
321,13
322,18
323,21
324,12
325,10
326,34
327,24
328,25
329,32
330,36
331,37
332,32
333,44
334,44
335,30
336,36
337,77
338,22
339,17
340,21
341,45
342,34
343,91
344,62
345,2
346,22
347,5
348,5
349,12
350,12
351,2
352,11
353,7
354,6
355,12
356,NA
357,9
358,9
359,13
360,19
361,24
362,18
363,84
364,59
365,59
366,74
367,92
368,100
369,46
370,52
371,33
372,43
373,51
374,125
375,33
376,93
377,131
378,98
379,32
380,60
381,129
382,45
383,47
384,52
385,86
386,17
387,13
388,34
389,24
390,61
391,10
392,7
393,NA
394,25
395,55
396,36
397,8
398,6
399,6
400,4
401,7
402,1
403,4
404,3
405,NA
406,1
407,2
408,NA
409,3
410,6
411,29
412,1
413,19
414,16
415,47
416,1
417,15
418,18
419,13
420,43
421,35
422,18
423,13
424,18
425,25
426,19
427,37
428,17
429,22
430,18
431,20
432,20
433,10
434,15
435,17
436,19
437,23
438,27
439,8
440,21
441,58
442,30
443,37
444,14
445,27
446,20
447,10
448,6
449,22
450,13
451,4
452,13
453,11
454,9
455,3
456,4
457,4
458,5
459,6
460,1
461,6
462,1
463,NA
464,12
465,7
466,4
467,15
468,9
469,6
470,11
471,5
472,7
473,62
474,21
475,NA
476,11
477,15
478,11
479,21
480,25
481,28
482,10
483,24
484,13
485,29
486,18
487,13
488,12
489,22
490,15
491,17
492,12
493,12
494,11
495,34
496,14
497,20
498,10
499,17
500,22
501,16
502,11
503,13
504,26
505,7
506,12
507,2
508,5
509,4
510,2
511,NA
512,NA
513,6
514,4
515,4
516,5
517,8
518,7
519,14
520,13
521,11
522,45
523,7
524,18
525,22
526,16
527,26
528,17
529,NA
530,24
531,25
532,19
533,9
534,15
535,19
536,8
537,7
538,23
539,11
540,12
541,17
542,6
543,13
544,4
545,4
546,5
547,13
548,1
549,5
550,12
551,12
552,15
553,13
554,2
555,4
556,2
557,2
558,1
559,NA
560,NA
561,NA
562,NA
563,NA
564,2
565,1
566,3
567,1
568,2
569,NA
570,4
571,4
572,3
573,15
574,8
575,2
576,NA
577,1
578,5
579,6
580,4
581,6
582,3
583,2
584,3
585,NA
586,4
587,3
588,2
589,2
590,6
591,5
592,6
593,3
594,3
595,4
596,2
597,5
598,1
599,3
600,4
601,5
602,1
603,5
604,5
605,3
606,6
607,NA
608,2
609,NA
610,3
611,NA
612,NA
613,NA
614,1
615,NA
616,NA
617,1
618,3
619,2
620,3
621,2
622,NA
623,1
624,2
625,4
626,7
627,4
628,2
629,2
630,3
631,1
632,4
633,3
634,3
635,4
636,2
637,4
638,3
639,14
640,11
641,9
642,27
643,7
644,7
645,5
646,7
647,4
648,14
649,4
650,3
651,18
652,1
653,4
654,5
655,1
656,3
657,NA
658,2
659,NA
660,5
661,2
662,1
663,NA
664,3
665,NA
666,1
667,NA
668,NA
669,1
670,2
671,1
672,1
673,2
674,5
675,1
676,NA
677,1
678,NA
679,1
680,NA
681,7
682,2
683,2
684,1
685,NA
686,3
687,21
688,22
689,19
690,2
691,3
692,NA
693,3
694,4
695,NA
696,NA
697,1
698,1
699,2
700,1
701,NA
702,1
703,3
704,2
705,1
706,NA
707,NA
708,NA
709,1
710,NA
711,NA
712,2
713,1
714,1
715,NA
716,NA
717,NA
718,NA
719,NA
720,1
721,1
722,NA
723,NA
724,NA
725,NA
726,NA
727,1
728,1
729,NA
730,1
731,1
732,NA
733,NA
734,NA
735,NA
736,NA
737,2
738,2
739,NA
740,2
741,NA
742,NA
743,1
744,NA
745,NA
746,1
747,1
748,NA
749,1
750,1
751,5
752,3
753,NA
754,2
755,1
756,NA
757,1
758,NA
759,NA
760,3
761,2
762,NA
763,1
764,1
765,2
766,NA
767,2
768,NA
769,2
770,NA
771,1
772,NA
773,4
774,NA
775,NA
776,1
777,2
778,NA
779,1
780,NA
781,NA
782,NA
783,1
784,NA
785,2
786,4
787,1
788,NA
789,NA
790,NA
791,NA
792,2
793,NA
794,NA
795,1
796,1
797,1
798,NA
799,2
800,1
801,1
802,NA
803,NA
804,1
805,NA
806,NA
807,NA
808,1
809,1
810,NA
811,NA
812,NA
813,NA
814,1
815,NA
816,NA
817,2
818,1
819,NA
820,NA
821,NA
822,NA
823,1
824,NA
825,NA
826,NA
827,NA
828,NA
829,NA
830,NA
831,1
832,1
833,1
834,NA
835,1
836,1
837,1
838,1
839,NA
840,1
841,NA
842,NA
843,NA
844,2
845,2
846,1
847,NA
848,NA
849,NA
850,1
851,NA
852,1
853,1
854,NA
855,NA
856,1
857,NA
858,1
859,NA
860,NA
861,NA
862,NA
863,NA
864,1
865,NA
866,NA
867,NA
868,NA
869,1
870,NA
871,NA
872,NA
873,NA
874,1
875,NA
876,NA
877,1
878,NA
879,1
880,1
881,NA
882,1
883,NA
884,NA
885,NA
886,NA
887,2
888,NA
889,NA
890,3
891,NA
892,NA
893,NA
894,NA
895,NA
896,NA
897,NA
898,NA
899,NA
900,NA
901,2
902,1
903,NA
904,NA
905,NA
906,1
907,NA
908,NA
909,NA
910,NA
911,3
912,NA
913,NA
914,NA
915,1
916,NA
917,1
918,NA
919,NA
920,NA
921,NA
922,NA
923,NA
924,NA
925,NA
926,NA
927,NA
928,NA
929,NA
930,NA
931,NA
932,NA
933,NA
934,NA
935,NA
936,NA
937,NA
938,NA
939,NA
940,NA
941,NA
942,NA
943,NA
944,1
945,NA
946,NA
947,NA
948,NA
949,1
950,NA
951,NA
952,NA
953,NA
954,NA
955,NA
956,NA
957,NA
958,NA
959,NA
960,NA
961,NA
962,NA
963,1
964,NA
965,NA
966,2
967,NA
968,NA
969,NA
970,NA
971,NA
972,1
973,NA
974,NA
975,NA
976,NA
977,NA
978,NA
979,NA
980,NA
981,2
982,NA
983,NA
984,NA
985,NA
986,NA
987,NA
988,NA
989,NA
990,NA
991,NA
992,NA
993,1
994,NA
995,NA
996,NA
997,NA
998,NA
999,NA
1000,NA
1001,NA
1002,NA
1003,NA
1004,NA
1005,NA
1006,NA
1007,1
1008,NA
1009,1
1010,2
1011,11
1012,NA
1013,3
1014,NA
1015,NA
1016,NA
1017,NA
1018,NA
1019,1
1020,NA
1021,NA
1022,NA
1023,NA
1024,NA
1025,NA
1026,NA
1027,NA
1028,NA
1029,NA
1030,NA
1031,NA
1032,NA
1033,NA
1034,NA
1035,NA
1036,NA
1037,NA
1038,1
1039,NA
1040,1
1041,NA
1042,NA
1043,NA
1044,NA
1045,NA
1046,1
1047,NA
1048,NA
1049,NA
1050,NA
1051,NA
1052,NA
1053,NA
1054,NA
1055,1
1056,NA
1057,NA
1058,NA
1059,NA
1060,NA
1061,NA
1062,1
1063,NA
1064,1
1065,NA
1066,1
1067,1
1068,NA
1069,NA
1070,NA
1071,2
1072,NA
1073,NA
1074,1
1075,NA
1076,NA
1077,NA
1078,3
1079,1
1080,NA
1081,NA
1082,NA
1083,NA
1084,1
1085,NA
1086,1
1087,NA
1088,2
1089,NA
1090,NA
1091,NA
1092,NA
1093,NA
1094,NA
1095,NA
1096,NA
1097,NA
1098,NA
1099,NA
1100,NA
1101,NA
1102,NA
1103,NA
1104,NA
1105,NA
1106,NA
1107,NA
