,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,36
54,30
55,80
56,46
57,81
58,18
59,76
60,80
61,60
62,55
63,47
64,124
65,86
66,86
67,140
68,36
69,117
70,66
71,44
72,63
73,129
74,29
75,35
76,60
77,54
78,26
79,26
80,16
81,19
82,30
83,22
84,19
85,16
86,5
87,17
88,19
89,5
90,13
91,22
92,19
93,27
94,12
95,41
96,7
97,36
98,30
99,39
100,21
101,27
102,9
103,NA
104,33
105,29
106,11
107,21
108,16
109,39
110,61
111,44
112,8
113,83
114,12
115,NA
116,75
117,113
118,28
119,52
120,88
121,35
122,73
123,17
124,64
125,44
126,96
127,39
128,17
129,40
130,33
131,13
132,4
133,NA
134,27
135,14
136,8
137,2
138,11
139,5
140,7
141,9
142,10
143,5
144,17
145,1
146,22
147,24
148,24
149,46
150,15
151,19
152,8
153,40
154,39
155,42
156,11
157,60
158,NA
159,29
160,63
161,83
162,89
163,58
164,44
165,67
166,35
167,90
168,102
169,56
170,64
171,190
172,86
173,78
174,48
175,103
176,95
177,76
178,73
179,122
180,90
181,75
182,41
183,93
184,45
185,59
186,41
187,24
188,24
189,83
190,19
191,16
192,14
193,13
194,22
195,4
196,40
197,17
198,20
199,33
200,27
201,38
202,NA
203,29
204,22
205,72
206,133
207,49
208,52
209,NA
210,61
211,53
212,75
213,91
214,108
215,32
216,103
217,81
218,NA
219,69
220,69
221,69
222,84
223,112
224,112
225,46
226,55
227,186
228,100
229,339
230,58
231,155
232,60
233,73
234,32
235,48
236,126
237,46
238,36
239,12
240,36
241,52
242,9
243,6
244,44
245,11
246,18
247,8
248,13
249,7
250,12
251,10
252,29
253,6
254,5
255,30
256,12
257,48
258,33
259,23
260,38
261,48
262,58
263,NA
264,NA
265,NA
266,NA
267,66
268,29
269,58
270,37
271,39
272,34
273,31
274,43
275,40
276,33
277,45
278,44
279,83
280,39
281,39
282,39
283,30
284,77
285,46
286,25
287,37
288,48
289,28
290,32
291,25
292,16
293,15
294,15
295,25
296,7
297,3
298,NA
299,9
300,13
301,9
302,16
303,9
304,16
305,10
306,19
307,12
308,28
309,10
310,13
311,20
312,27
313,7
314,20
315,NA
316,NA
317,9
318,49
319,56
320,44
321,88
322,52
323,64
324,127
325,28
326,117
327,93
328,192
329,91
330,70
331,63
332,88
333,69
334,69
335,150
336,72
337,141
338,61
339,31
340,93
341,73
342,31
343,37
344,25
345,40
346,23
347,13
348,9
349,23
350,23
351,16
352,9
353,16
354,38
355,17
356,NA
357,19
358,12
359,18
360,54
361,18
362,38
363,NA
364,40
365,30
366,20
367,37
368,32
369,65
370,NA
371,18
372,13
373,41
374,79
375,45
376,48
377,104
378,29
379,30
380,76
381,66
382,64
383,60
384,143
385,66
386,33
387,53
388,56
389,36
390,61
391,25
392,29
393,NA
394,35
395,18
396,17
397,11
398,28
399,3
400,31
401,5
402,29
403,8
404,150
405,8
406,7
407,10
408,NA
409,9
410,17
411,12
412,13
413,6
414,40
415,25
416,16
417,17
418,19
419,18
420,47
421,51
422,13
423,13
424,21
425,31
426,19
427,43
428,44
429,18
430,32
431,28
432,23
433,33
434,22
435,17
436,16
437,49
438,23
439,50
440,36
441,43
442,53
443,NA
444,30
445,9
446,27
447,18
448,9
449,13
450,12
451,11
452,NA
453,6
454,7
455,3
456,16
457,18
458,18
459,6
460,6
461,2
462,4
463,8
464,2
465,NA
466,13
467,NA
468,8
469,5
470,18
471,27
472,4
473,4
474,24
475,NA
476,6
477,13
478,15
479,6
480,5
481,29
482,15
483,20
484,5
485,4
486,7
487,14
488,14
489,8
490,8
491,7
492,14
493,14
494,12
495,3
496,19
497,4
498,8
499,12
500,6
501,8
502,NA
503,1
504,1
505,3
506,2
507,2
508,1
509,1
510,1
511,4
512,4
513,4
514,NA
515,NA
516,16
517,7
518,9
519,7
520,5
521,10
522,2
523,1
524,1
525,7
526,4
527,1
528,5
529,NA
530,6
531,NA
532,2
533,12
534,3
535,6
536,7
537,4
538,8
539,9
540,15
541,9
542,3
543,8
544,6
545,4
546,5
547,17
548,3
549,1
550,17
551,17
552,7
553,9
554,NA
555,7
556,1
557,1
558,NA
559,NA
560,6
561,NA
562,2
563,3
564,2
565,2
566,3
567,3
568,4
569,2
570,8
571,6
572,4
573,6
574,2
575,4
576,1
577,8
578,2
579,7
580,1
581,NA
582,2
583,4
584,4
585,5
586,8
587,11
588,12
589,7
590,4
591,7
592,6
593,5
594,1
595,6
596,6
597,3
598,2
599,2
600,3
601,3
602,7
603,12
604,5
605,1
606,7
607,4
608,4
609,7
610,5
611,9
612,5
613,4
614,5
615,2
616,3
617,NA
618,3
619,4
620,NA
621,2
622,18
623,7
624,8
625,9
626,13
627,9
628,13
629,14
630,6
631,18
632,4
633,NA
634,1
635,NA
636,1
637,4
638,NA
639,NA
640,NA
641,1
642,3
643,NA
644,NA
645,3
646,1
647,1
648,NA
649,1
650,1
651,3
652,2
653,1
654,1
655,6
656,5
657,1
658,1
659,1
660,2
661,NA
662,1
663,3
664,NA
665,5
666,3
667,1
668,NA
669,1
670,NA
671,2
672,3
673,6
674,3
675,3
676,NA
677,1
678,17
679,11
680,2
681,12
682,6
683,7
684,3
685,NA
686,5
687,3
688,5
689,5
690,8
691,5
692,2
693,6
694,7
695,5
696,4
697,15
698,3
699,6
700,2
701,2
702,3
703,12
704,2
705,1
706,5
707,3
708,NA
709,3
710,3
711,3
712,1
713,2
714,2
715,5
716,2
717,16
718,NA
719,3
720,1
721,2
722,NA
723,2
724,1
725,1
726,5
727,NA
728,3
729,1
730,4
731,1
732,2
733,5
734,3
735,2
736,NA
737,NA
738,NA
739,3
740,3
741,1
742,4
743,4
744,4
745,3
746,10
747,5
748,NA
749,8
750,1
751,1
752,2
753,3
754,NA
755,2
756,4
757,1
758,2
759,3
760,4
761,2
762,NA
763,NA
764,4
765,1
766,1
767,3
768,2
769,5
770,2
771,1
772,NA
773,3
774,1
775,NA
776,3
777,2
778,4
779,8
780,2
781,NA
782,6
783,3
784,4
785,3
786,NA
787,1
788,NA
789,NA
790,NA
791,NA
792,1
793,3
794,1
795,5
796,2
797,1
798,4
799,NA
800,2
801,1
802,2
803,3
804,NA
805,1
806,1
807,1
808,2
809,1
810,NA
811,2
812,NA
813,1
814,1
815,NA
816,1
817,1
818,NA
819,NA
820,1
821,NA
822,1
823,NA
824,NA
825,NA
826,NA
827,NA
828,NA
829,1
830,NA
831,NA
832,NA
833,NA
834,NA
835,NA
836,NA
837,NA
838,NA
839,NA
840,NA
841,NA
842,NA
843,NA
844,NA
845,NA
846,NA
847,NA
848,NA
849,NA
850,NA
851,NA
852,NA
853,NA
854,NA
855,NA
856,NA
857,NA
858,NA
859,NA
860,NA
861,NA
862,NA
863,NA
864,NA
865,NA
866,NA
867,NA
868,NA
869,NA
870,NA
871,NA
872,NA
873,NA
874,NA
875,NA
876,NA
877,NA
878,NA
879,NA
880,NA
881,NA
882,NA
883,NA
884,NA
885,NA
886,NA
887,NA
888,NA
889,NA
890,NA
891,NA
892,NA
893,NA
894,NA
895,NA
896,NA
897,NA
898,NA
899,NA
900,1
901,1
902,1
903,NA
904,1
905,NA
906,2
907,1
908,NA
909,1
910,NA
911,1
912,3
913,2
914,NA
915,1
916,NA
917,1
918,NA
919,2
920,1
921,1
922,1
923,NA
924,NA
925,NA
926,3
927,1
928,1
929,1
930,NA
931,NA
932,NA
933,NA
934,1
935,NA
936,NA
937,1
938,NA
939,1
940,1
941,3
942,NA
943,2
944,NA
945,2
946,NA
947,NA
948,2
949,NA
950,1
951,1
952,2
953,2
954,2
955,NA
956,NA
957,3
958,1
959,1
960,NA
961,3
962,1
963,2
964,1
965,NA
966,NA
967,1
968,NA
969,1
970,2
971,3
972,NA
973,NA
974,NA
975,NA
976,NA
977,1
978,1
979,NA
980,NA
981,1
982,2
983,1
984,NA
985,1
986,2
987,NA
988,1
989,3
990,5
991,NA
992,3
993,2
994,3
995,1
996,NA
997,NA
998,NA
999,NA
1000,NA
1001,1
1002,NA
1003,3
1004,3
1005,2
1006,NA
1007,NA
1008,1
1009,1
1010,NA
1011,1
1012,NA
1013,1
1014,NA
1015,4
1016,1
1017,NA
1018,1
1019,NA
1020,2
1021,1
1022,NA
1023,3
1024,NA
1025,NA
1026,2
1027,NA
1028,NA
1029,NA
1030,NA
1031,NA
1032,3
1033,NA
1034,NA
1035,1
1036,5
1037,2
1038,2
1039,NA
1040,NA
1041,1
1042,NA
1043,1
1044,1
1045,3
1046,NA
1047,1
1048,NA
1049,3
1050,NA
1051,NA
1052,NA
1053,1
1054,1
1055,NA
1056,NA
1057,3
1058,1
1059,2
1060,1
1061,1
1062,3
1063,4
1064,1
1065,1
1066,2
1067,2
1068,2
1069,1
1070,NA
1071,1
1072,NA
1073,1
1074,NA
1075,3
1076,NA
1077,2
1078,NA
1079,NA
1080,NA
1081,2
1082,NA
1083,NA
1084,2
1085,NA
1086,NA
1087,NA
1088,NA
1089,NA
1090,3
1091,1
1092,2
1093,5
1094,1
1095,1
1096,2
1097,1
1098,NA
1099,NA
1100,5
1101,NA
1102,NA
1103,NA
1104,NA
1105,NA
1106,2
1107,1
1108,NA
1109,NA
1110,2
1111,NA
1112,NA
1113,NA
1114,NA
1115,1
1116,2
1117,NA
1118,NA
1119,2
1120,NA
1121,2
1122,2
1123,NA
1124,1
