,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,72
54,68
55,237
56,176
57,146
58,171
59,241
60,439
61,213
62,141
63,264
64,300
65,194
66,135
67,241
68,277
69,107
70,159
71,193
72,89
73,186
74,66
75,74
76,136
77,62
78,72
79,24
80,24
81,21
82,26
83,14
84,9
85,18
86,6
87,NA
88,11
89,15
90,11
91,11
92,9
93,50
94,42
95,14
96,29
97,32
98,69
99,97
100,16
101,82
102,57
103,NA
104,20
105,14
106,15
107,150
108,35
109,42
110,65
111,101
112,67
113,68
114,61
115,NA
116,105
117,44
118,86
119,41
120,38
121,142
122,66
123,62
124,73
125,91
126,99
127,65
128,NA
129,30
130,38
131,NA
132,18
133,18
134,19
135,15
136,36
137,18
138,17
139,NA
140,11
141,17
142,27
143,18
144,34
145,31
146,72
147,45
148,45
149,62
150,72
151,67
152,187
153,48
154,96
155,78
156,85
157,80
158,NA
159,50
160,50
161,84
162,75
163,47
164,54
165,68
166,41
167,70
168,56
169,102
170,38
171,38
172,57
173,63
174,77
175,108
176,63
177,62
178,62
179,82
180,88
181,81
182,32
183,28
184,22
185,21
186,13
187,16
188,17
189,18
190,13
191,13
192,12
193,9
194,9
195,15
196,4
197,4
198,5
199,15
200,7
201,5
202,NA
203,48
204,39
205,29
206,65
207,49
208,121
209,47
210,29
211,9
212,90
213,87
214,93
215,112
216,175
217,129
218,NA
219,195
220,195
221,195
222,238
223,251
224,249
225,128
226,271
227,203
228,39
229,159
230,152
231,238
232,220
233,100
234,136
235,319
236,79
237,81
238,24
239,88
240,32
241,20
242,3
243,35
244,41
245,20
246,6
247,18
248,18
249,44
250,28
251,19
252,38
253,43
254,26
255,16
256,126
257,89
258,67
259,30
260,41
261,180
262,122
263,102
264,NA
265,48
266,NA
267,145
268,123
269,133
270,126
271,79
272,113
273,88
274,179
275,122
276,76
277,103
278,102
279,101
280,94
281,89
282,144
283,93
284,99
285,95
286,38
287,130
288,53
289,95
290,23
291,22
292,25
293,14
294,10
295,14
296,14
297,7
298,NA
299,12
300,9
301,6
302,12
303,11
304,19
305,20
306,22
307,11
308,97
309,24
310,26
311,49
312,22
313,104
314,62
315,95
316,NA
317,28
318,131
319,70
320,108
321,104
322,132
323,105
324,65
325,122
326,96
327,150
328,146
329,80
330,93
331,102
332,113
333,74
334,74
335,40
336,121
337,NA
338,97
339,79
340,71
341,24
342,55
343,35
344,19
345,16
346,18
347,22
348,21
349,18
350,18
351,20
352,6
353,2
354,3
355,8
356,NA
357,18
358,7
359,12
360,55
361,16
362,19
363,26
364,54
365,40
366,34
367,64
368,50
369,68
370,NA
371,14
372,25
373,77
374,62
375,64
376,47
377,52
378,28
379,29
380,86
381,21
382,26
383,17
384,29
385,44
386,49
387,19
388,33
389,25
390,66
391,25
392,20
393,NA
394,36
395,53
396,20
397,21
398,7
399,17
400,19
401,1
402,7
403,7
404,5
405,12
406,8
407,4
408,NA
409,11
410,11
411,39
412,20
413,22
414,11
415,54
416,39
417,37
418,34
419,57
420,56
421,78
422,47
423,23
424,NA
425,43
426,95
427,34
428,76
429,29
430,68
431,61
432,80
433,87
434,122
435,96
436,113
437,67
438,131
439,88
440,81
441,80
442,156
443,119
444,57
445,36
446,182
447,85
448,34
449,39
450,26
451,24
452,23
453,26
454,17
455,16
456,7
457,9
458,6
459,16
460,11
461,12
462,13
463,18
464,39
465,36
466,61
467,48
468,27
469,43
470,79
471,36
472,31
473,89
474,58
475,NA
476,42
477,80
478,34
479,28
480,27
481,69
482,93
483,73
484,82
485,70
486,108
487,57
488,104
489,141
490,48
491,61
492,39
493,39
494,103
495,79
496,77
497,83
498,63
499,52
500,53
501,17
502,23
503,8
504,4
505,5
506,8
507,4
508,6
509,4
510,6
511,5
512,1
513,1
514,7
515,3
516,10
517,9
518,9
519,6
520,7
521,14
522,5
523,5
524,35
525,14
526,14
527,46
528,22
529,NA
530,10
531,19
532,18
533,41
534,9
535,25
536,11
537,22
538,31
539,25
540,35
541,46
542,27
543,33
544,35
545,98
546,29
547,23
548,57
549,56
550,15
551,60
552,22
553,44
554,17
555,15
556,18
557,6
558,11
559,13
560,12
561,6
562,8
563,10
564,4
565,6
566,11
567,23
568,11
569,20
570,18
571,22
572,28
573,57
574,17
575,31
576,32
577,33
578,63
579,45
580,62
581,11
582,13
583,29
584,108
585,23
586,66
587,41
588,47
589,70
590,36
591,74
592,58
593,13
594,71
595,28
596,106
597,47
598,100
599,92
600,80
601,72
602,29
603,122
604,84
605,152
606,10
607,6
608,11
609,9
610,3
611,7
612,10
613,7
614,5
615,1
616,4
617,1
618,16
619,3
620,5
621,1
622,20
623,6
624,12
625,10
626,7
627,35
628,21
629,32
630,35
631,35
632,20
633,9
634,28
635,12
636,NA
637,28
638,27
639,4
640,9
641,96
642,35
643,54
644,16
645,14
646,33
647,20
648,15
649,17
650,15
651,10
652,25
653,289
654,6
655,3
656,16
657,22
658,13
659,NA
660,5
661,5
662,2
663,6
664,2
665,4
666,3
667,17
668,4
669,2
670,2
671,3
672,5
673,8
674,3
675,6
676,20
677,8
678,14
679,4
680,15
681,15
682,14
683,12
684,8
685,4
686,NA
687,15
688,18
689,7
690,7
691,14
692,6
693,21
694,16
695,10
696,13
697,25
698,18
699,8
700,15
701,5
702,6
703,25
704,5
705,5
706,4
707,20
708,15
709,29
710,7
711,1
712,8
713,6
714,3
715,2
716,4
717,1
718,1
719,1
720,1
721,1
722,3
723,2
724,4
725,3
726,3
727,6
728,4
729,4
730,4
731,5
732,5
733,4
734,6
735,12
736,NA
737,NA
738,1
739,2
740,4
741,4
742,4
743,6
744,5
745,12
746,NA
747,8
748,9
749,9
750,10
751,2
752,8
753,NA
754,10
755,NA
756,6
757,9
758,13
759,5
760,5
761,6
762,NA
763,1
764,1
765,4
766,5
767,NA
768,2
769,2
770,2
771,3
772,NA
773,NA
774,2
775,NA
776,2
777,4
778,NA
779,10
780,1
781,4
782,7
783,3
784,NA
785,8
786,4
787,3
788,NA
789,7
790,2
791,NA
792,2
793,2
794,7
795,4
796,4
797,2
798,1
799,NA
800,8
801,6
802,9
803,10
804,11
805,1
806,21
807,10
808,5
809,5
810,13
811,6
812,7
813,5
814,9
815,1
816,2
817,NA
818,NA
819,2
820,1
821,NA
822,NA
823,2
824,1
825,1
826,NA
827,2
828,2
829,3
830,1
831,3
832,2
833,2
834,NA
835,1
836,4
837,1
838,4
839,3
840,3
841,NA
842,NA
843,2
844,NA
845,4
846,1
847,1
848,5
849,5
850,4
851,6
852,NA
853,3
854,7
855,8
856,11
857,4
858,5
859,7
860,9
861,6
862,11
863,4
864,NA
865,6
866,3
867,NA
868,NA
869,NA
870,NA
871,1
872,2
873,1
874,NA
875,NA
876,NA
877,NA
878,NA
879,NA
880,5
881,1
882,1
883,7
884,4
885,NA
886,NA
887,2
888,NA
889,1
890,3
891,NA
892,11
893,2
894,6
895,6
896,3
897,4
898,8
899,4
900,9
901,8
902,3
903,3
904,NA
905,10
906,9
907,9
908,11
909,9
910,9
911,3
912,6
913,6
914,3
915,7
916,NA
917,3
918,5
919,3
920,1
921,NA
922,2
923,1
924,1
925,NA
926,NA
927,NA
928,1
929,NA
930,3
931,1
932,3
933,1
934,NA
935,2
936,NA
937,NA
938,NA
939,NA
940,2
941,NA
942,7
943,4
944,10
945,9
946,2
947,6
948,NA
949,NA
950,NA
951,6
952,6
953,2
954,23
955,3
956,4
957,13
958,9
959,10
960,1
961,3
962,6
963,1
964,12
965,5
966,11
967,NA
968,NA
969,6
970,3
971,NA
972,NA
973,1
974,2
975,NA
976,13
977,NA
978,NA
979,NA
980,1
981,NA
982,NA
983,2
984,2
985,2
986,2
987,NA
988,NA
989,2
990,8
991,NA
992,NA
993,2
994,4
995,7
996,11
997,4
998,NA
999,23
1000,NA
1001,6
1002,3
1003,4
1004,10
1005,24
1006,39
1007,9
1008,NA
1009,9
1010,14
1011,37
1012,87
1013,NA
1014,NA
1015,NA
1016,56
1017,8
1018,138
1019,106
1020,3
1021,125
1022,92
1023,89
1024,116
1025,110
1026,22
1027,197
1028,51
1029,102
1030,30
1031,27
1032,32
1033,104
1034,11
1035,8
1036,19
1037,215
1038,53
1039,8
1040,109
1041,34
1042,34
1043,29
1044,28
1045,84
1046,124
1047,24
1048,NA
1049,4
1050,NA
1051,25
1052,55
1053,152
1054,148
1055,245
1056,81
1057,98
1058,122
1059,76
1060,51
1061,223
1062,94
1063,95
1064,53
1065,155
1066,66
1067,90
1068,119
1069,58
1070,144
1071,66
1072,19
1073,84
1074,52
1075,7
1076,25
1077,NA
1078,5
1079,5
1080,2
1081,9
1082,4
1083,3
1084,3
1085,17
1086,4
1087,4
1088,9
1089,2
1090,7
1091,6
1092,14
1093,17
1094,7
1095,20
1096,11
1097,12
1098,11
1099,7
1100,18
1101,1
1102,NA
1103,NA
1104,NA
1105,1
1106,4
1107,NA
1108,1
1109,NA
1110,2
1111,2
1112,2
1113,4
1114,NA
1115,NA
1116,NA
1117,4
1118,NA
1119,NA
1120,NA
1121,29
1122,6
1123,1
1124,3
1125,11
1126,4
1127,5
1128,5
1129,NA
1130,NA
1131,NA
1132,4
1133,NA
1134,NA
1135,9
1136,5
1137,NA
1138,6
1139,1
1140,NA
1141,4
1142,8
1143,1
1144,2
1145,NA
1146,4
1147,NA
1148,2
1149,NA
1150,9
