,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,2
56,1
57,8
58,1
59,4
60,NA
61,1
62,2
63,1
64,NA
65,NA
66,1
67,1
68,NA
69,NA
70,NA
71,1
72,1
73,1
74,8
75,NA
76,2
77,1
78,3
79,NA
80,NA
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,3
88,NA
89,NA
90,NA
91,NA
92,1
93,1
94,6
95,1
96,2
97,NA
98,1
99,13
100,NA
101,NA
102,NA
103,NA
104,2
105,NA
106,2
107,NA
108,9
109,4
110,1
111,NA
112,NA
113,NA
114,1
115,NA
116,NA
117,6
118,NA
119,1
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,1
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,1
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,1
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,1
163,NA
164,NA
165,1
166,NA
167,1
168,NA
169,NA
170,2
171,NA
172,2
173,1
174,3
175,1
176,2
177,NA
178,2
179,1
180,2
181,NA
182,2
183,NA
184,NA
185,2
186,1
187,1
188,NA
189,NA
190,NA
191,2
192,NA
193,NA
194,1
195,1
196,NA
197,NA
198,8
199,NA
200,1
201,NA
202,NA
203,NA
204,NA
205,2
206,2
207,3
208,3
209,NA
210,NA
211,NA
212,NA
213,1
214,3
215,6
216,1
217,1
218,NA
219,NA
220,NA
221,NA
222,1
223,NA
224,8
225,37
226,NA
227,30
228,10
229,5
230,8
231,8
232,1
233,3
234,3
235,NA
236,3
237,1
238,1
239,NA
240,NA
241,NA
242,NA
243,1
244,NA
245,1
246,1
247,NA
248,NA
249,NA
250,NA
251,NA
252,2
253,NA
254,3
255,3
256,1
257,1
258,NA
259,NA
260,2
261,NA
262,5
263,6
264,NA
265,NA
266,NA
267,NA
268,2
269,16
270,9
271,3
272,11
273,20
274,5
275,5
276,14
277,14
278,10
279,3
280,24
281,18
282,12
283,2
284,28
285,19
286,7
287,17
288,8
289,16
290,19
291,3
292,4
293,1
294,8
295,2
296,NA
297,5
298,NA
299,4
300,1
301,6
302,NA
303,4
304,1
305,NA
306,5
307,1
308,NA
309,NA
310,2
311,NA
312,7
313,1
314,3
315,5
316,NA
317,NA
318,NA
319,2
320,NA
321,NA
322,NA
323,6
324,4
325,5
326,6
327,10
328,2
329,3
330,NA
331,8
332,2
333,1
334,1
335,NA
336,2
337,NA
338,NA
339,NA
340,NA
341,7
342,NA
343,6
344,NA
345,3
346,NA
347,3
348,1
349,5
350,5
351,2
352,NA
353,NA
354,8
355,NA
356,NA
357,NA
358,NA
359,NA
360,NA
361,NA
362,8
363,NA
364,NA
365,NA
366,NA
367,23
368,1
369,15
370,NA
371,20
372,NA
373,NA
374,NA
375,1
376,22
377,NA
378,NA
379,1
380,NA
381,17
382,2
383,1
384,15
385,NA
386,18
387,21
388,NA
389,3
390,17
391,1
392,19
393,NA
394,16
395,NA
396,4
397,NA
398,2
399,17
400,2
401,2
402,NA
403,2
404,NA
405,15
406,NA
407,1
408,NA
409,NA
410,NA
411,2
412,3
413,NA
414,8
415,NA
416,20
417,3
418,26
419,15
420,22
421,6
422,NA
423,18
424,6
425,24
426,11
427,27
428,18
429,14
430,2
431,14
432,3
433,NA
434,20
435,20
436,11
437,12
438,39
439,8
440,9
441,22
442,1
443,18
444,4
445,17
446,NA
447,2
448,2
449,1
450,6
451,2
452,2
453,1
454,NA
455,NA
456,NA
457,8
458,NA
459,NA
460,NA
461,3
462,NA
463,2
464,1
465,NA
466,NA
467,NA
468,1
469,NA
470,3
471,NA
472,NA
473,NA
474,NA
475,NA
476,NA
477,NA
478,NA
479,3
480,NA
481,NA
482,NA
483,2
484,1
485,NA
486,NA
487,NA
488,NA
489,NA
490,NA
491,NA
492,6
493,6
494,NA
495,NA
496,1
497,5
498,NA
499,1
500,NA
501,1
502,1
503,NA
504,NA
505,NA
506,2
507,NA
508,NA
509,NA
510,NA
511,NA
512,NA
513,NA
514,NA
515,NA
516,NA
517,1
518,2
519,NA
520,1
521,NA
522,NA
523,NA
524,1
525,1
526,7
527,NA
528,1
529,NA
530,NA
531,4
532,1
533,NA
534,NA
535,7
536,NA
537,1
538,2
539,4
540,NA
541,NA
542,NA
543,1
544,1
545,1
546,NA
547,NA
548,NA
549,1
550,NA
551,NA
552,NA
553,NA
554,NA
555,NA
556,NA
557,NA
558,3
559,1
560,NA
561,1
562,NA
563,1
564,1
565,1
566,NA
567,9
568,2
569,NA
570,5
571,NA
572,1
573,NA
574,NA
575,4
576,NA
577,NA
578,1
579,6
580,NA
581,NA
582,NA
583,NA
584,3
585,3
586,NA
587,2
588,3
589,8
590,NA
591,9
592,2
593,NA
594,6
595,1
596,NA
597,NA
598,6
599,NA
600,NA
601,5
602,NA
603,3
604,2
605,1
606,NA
607,2
608,2
609,2
610,NA
611,1
612,NA
613,NA
614,NA
615,2
616,NA
617,2
618,NA
619,NA
620,NA
621,NA
622,NA
623,NA
624,NA
625,NA
626,NA
627,NA
628,NA
629,NA
630,1
631,NA
632,1
633,NA
634,7
635,NA
636,NA
637,NA
638,NA
639,1
640,NA
641,2
642,NA
643,7
644,NA
645,6
646,NA
647,NA
648,7
649,NA
650,4
651,NA
652,NA
653,NA
654,NA
655,NA
656,NA
657,1
658,1
659,NA
660,1
661,NA
662,1
663,NA
664,NA
665,NA
666,NA
667,NA
668,NA
669,NA
670,NA
671,NA
672,NA
673,NA
674,NA
675,NA
676,NA
677,NA
678,NA
679,NA
680,NA
681,NA
682,NA
683,1
684,NA
685,NA
686,NA
687,NA
688,NA
689,1
690,1
691,2
692,3
693,2
694,6
695,1
696,2
697,4
698,NA
699,10
700,NA
701,3
702,4
703,NA
704,3
705,6
706,NA
707,5
708,NA
709,NA
710,1
711,1
712,NA
713,NA
714,NA
715,1
716,NA
717,NA
718,NA
719,NA
720,NA
721,NA
722,2
723,1
724,NA
725,NA
726,NA
727,NA
728,NA
729,NA
730,NA
731,NA
732,NA
733,NA
734,NA
735,NA
736,NA
737,1
738,NA
739,NA
740,NA
741,NA
742,3
743,NA
744,NA
745,NA
746,NA
747,NA
748,NA
749,NA
750,NA
751,NA
752,NA
753,NA
754,NA
755,NA
756,NA
757,NA
758,NA
759,NA
760,NA
761,NA
762,NA
763,NA
764,NA
765,1
766,NA
767,NA
768,NA
769,NA
770,NA
771,NA
772,NA
773,1
774,NA
775,NA
776,NA
777,NA
778,NA
779,NA
780,NA
781,NA
782,NA
783,NA
784,NA
785,NA
786,1
787,NA
788,NA
789,NA
790,NA
791,NA
792,NA
793,NA
794,NA
795,NA
796,NA
797,NA
798,NA
799,NA
800,NA
801,NA
802,1
803,NA
804,NA
805,NA
806,2
807,NA
808,NA
809,NA
810,NA
811,NA
812,NA
813,NA
814,NA
815,NA
816,NA
817,NA
818,NA
819,2
820,NA
821,NA
822,NA
823,NA
824,NA
825,1
826,NA
827,NA
828,NA
829,NA
830,NA
831,NA
832,NA
833,NA
834,NA
835,NA
836,NA
837,NA
838,NA
839,NA
840,NA
841,NA
842,NA
843,NA
844,NA
845,NA
846,NA
847,NA
848,NA
849,NA
850,NA
851,NA
852,NA
853,NA
854,NA
855,NA
856,NA
857,NA
858,NA
859,NA
860,NA
861,NA
862,NA
863,NA
864,NA
865,NA
866,NA
867,NA
868,NA
869,NA
870,NA
871,NA
872,NA
873,NA
874,45
875,NA
876,NA
877,NA
878,NA
879,NA
880,NA
881,NA
882,NA
883,NA
884,NA
885,NA
886,NA
887,NA
888,NA
889,NA
890,NA
891,NA
892,NA
893,NA
894,NA
895,NA
896,NA
897,NA
898,NA
899,NA
900,NA
901,NA
902,NA
903,NA
904,NA
905,NA
906,NA
907,NA
908,NA
909,NA
910,NA
911,NA
912,NA
913,NA
914,NA
915,NA
916,NA
917,NA
918,NA
919,NA
920,NA
921,NA
922,NA
923,NA
924,NA
925,NA
926,NA
927,NA
928,NA
929,NA
930,NA
931,NA
932,NA
933,NA
934,NA
935,NA
936,NA
937,NA
938,NA
939,NA
940,NA
941,NA
942,NA
943,NA
944,NA
945,NA
946,NA
947,NA
948,NA
949,NA
950,NA
951,NA
952,NA
953,NA
954,NA
955,NA
956,NA
957,NA
958,NA
959,NA
960,2
961,NA
962,NA
963,NA
964,NA
965,NA
966,NA
967,NA
968,NA
969,NA
970,NA
971,NA
972,NA
973,NA
974,NA
975,NA
976,NA
977,NA
978,NA
979,NA
980,NA
981,NA
982,NA
983,NA
984,NA
985,NA
986,NA
987,NA
988,NA
989,NA
990,NA
991,NA
992,NA
993,NA
994,NA
995,NA
996,NA
997,NA
998,NA
999,NA
1000,NA
1001,NA
1002,NA
1003,NA
1004,NA
1005,NA
1006,NA
1007,NA
1008,NA
1009,NA
1010,NA
1011,NA
1012,NA
1013,NA
1014,NA
1015,NA
1016,NA
1017,NA
1018,NA
1019,1
1020,1
1021,NA
1022,NA
1023,NA
1024,NA
1025,NA
1026,NA
1027,NA
1028,NA
1029,NA
1030,NA
1031,NA
1032,NA
1033,NA
1034,NA
1035,1
1036,NA
1037,NA
1038,NA
1039,NA
1040,NA
1041,NA
1042,NA
1043,NA
