,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,8
54,51
55,39
56,21
57,31
58,42
59,22
60,58
61,23
62,NA
63,23
64,52
65,34
66,40
67,33
68,21
69,48
70,35
71,29
72,40
73,43
74,27
75,19
76,35
77,29
78,3
79,15
80,27
81,17
82,15
83,17
84,6
85,5
86,9
87,6
88,6
89,13
90,7
91,6
92,8
93,11
94,1
95,10
96,7
97,16
98,6
99,14
100,16
101,18
102,6
103,28
104,4
105,23
106,13
107,16
108,15
109,11
110,12
111,9
112,9
113,10
114,10
115,NA
116,NA
117,19
118,15
119,11
120,18
121,18
122,32
123,26
124,12
125,12
126,8
127,24
128,25
129,9
130,9
131,8
132,5
133,25
134,8
135,2
136,4
137,5
138,12
139,6
140,9
141,4
142,7
143,3
144,5
145,11
146,5
147,9
148,9
149,8
150,6
151,4
152,7
153,8
154,10
155,16
156,8
157,15
158,NA
159,12
160,18
161,20
162,6
163,35
164,10
165,23
166,20
167,13
168,21
169,15
170,15
171,27
172,39
173,35
174,35
175,32
176,35
177,35
178,44
179,30
180,41
181,44
182,71
183,35
184,67
185,17
186,33
187,18
188,24
189,3
190,13
191,17
192,14
193,8
194,6
195,11
196,4
197,5
198,3
199,6
200,8
201,12
202,NA
203,18
204,17
205,19
206,21
207,15
208,38
209,21
210,11
211,32
212,32
213,22
214,31
215,43
216,27
217,15
218,NA
219,16
220,16
221,16
222,27
223,10
224,13
225,17
226,17
227,10
228,13
229,16
230,17
231,21
232,22
233,26
234,22
235,27
236,20
237,11
238,8
239,11
240,36
241,6
242,19
243,7
244,9
245,6
246,3
247,8
248,7
249,8
250,16
251,NA
252,1
253,14
254,9
255,2
256,6
257,5
258,16
259,2
260,11
261,13
262,16
263,10
264,NA
265,8
266,NA
267,18
268,12
269,5
270,12
271,4
272,5
273,NA
274,4
275,6
276,8
277,10
278,12
279,8
280,10
281,10
282,3
283,12
284,5
285,12
286,20
287,19
288,16
289,NA
290,19
291,7
292,9
293,7
294,11
295,5
296,7
297,12
298,NA
299,9
300,7
301,6
302,3
303,12
304,7
305,5
306,7
307,5
308,5
309,23
310,16
311,NA
312,15
313,13
314,7
315,12
316,NA
317,29
318,24
319,45
320,17
321,15
322,40
323,20
324,27
325,29
326,NA
327,27
328,19
329,27
330,43
331,11
332,33
333,16
334,16
335,16
336,19
337,22
338,23
339,13
340,12
341,14
342,17
343,10
344,10
345,20
346,2
347,5
348,4
349,6
350,6
351,7
352,3
353,2
354,1
355,3
356,NA
357,1
358,1
359,1
360,2
361,3
362,1
363,12
364,20
365,4
366,2
367,4
368,11
369,3
370,NA
371,1
372,2
373,2
374,3
375,5
376,NA
377,1
378,1
379,6
380,4
381,9
382,1
383,4
384,3
385,2
386,4
387,8
388,3
389,4
390,1
391,10
392,2
393,NA
394,2
395,4
396,1
397,1
398,1
399,3
400,1
401,1
402,3
403,5
404,5
405,NA
406,NA
407,2
408,NA
409,3
410,4
411,2
412,NA
413,1
414,1
415,NA
416,13
417,1
418,1
419,1
420,3
421,12
422,NA
423,3
424,2
425,NA
426,1
427,1
428,3
429,2
430,1
431,11
432,2
433,3
434,NA
435,3
436,NA
437,5
438,7
439,7
440,4
441,7
442,7
443,7
444,9
445,19
446,6
447,9
448,10
449,16
450,9
451,18
452,18
453,7
454,8
455,2
456,4
457,15
458,11
459,9
460,NA
461,10
462,5
463,1
464,14
465,7
466,12
467,14
468,14
469,20
470,27
471,16
472,32
473,31
474,17
475,NA
476,45
477,23
478,26
479,34
480,26
481,18
482,19
483,30
484,35
485,33
486,16
487,9
488,25
489,41
490,30
491,19
492,24
493,24
494,18
495,21
496,23
497,13
498,11
499,15
500,14
501,18
502,19
503,5
504,22
505,6
506,7
507,7
508,6
509,6
510,9
511,6
512,5
513,6
514,1
515,2
516,3
517,1
518,1
519,1
520,4
521,2
522,2
523,3
524,4
525,1
526,1
527,5
528,3
529,NA
530,1
531,2
532,3
533,1
534,NA
535,NA
536,NA
537,1
538,4
539,2
540,1
541,2
542,1
543,1
544,1
545,2
546,NA
547,1
548,1
549,10
550,NA
551,3
552,3
553,1
554,NA
555,NA
556,6
557,NA
558,1
559,4
560,3
561,1
562,1
563,2
564,NA
565,2
566,1
567,2
568,2
569,NA
570,1
571,1
572,NA
573,1
574,4
575,NA
576,3
577,4
578,3
579,1
580,11
581,NA
582,5
583,NA
584,4
585,1
586,1
587,2
588,NA
589,4
590,6
591,2
592,12
593,1
594,2
595,NA
596,3
597,1
598,1
599,NA
600,6
601,NA
602,NA
603,2
604,NA
605,2
606,NA
607,2
608,NA
609,3
610,1
611,1
612,3
613,NA
614,NA
615,1
616,NA
617,1
618,1
619,1
620,1
621,NA
622,NA
623,NA
624,1
625,1
626,8
627,NA
628,NA
629,2
630,1
631,NA
632,1
633,NA
634,NA
635,NA
636,1
637,NA
638,2
639,NA
640,7
641,2
642,4
643,3
644,1
645,5
646,1
647,2
648,1
649,2
650,1
651,2
652,6
653,3
654,2
655,13
656,1
657,7
658,5
659,7
660,12
661,31
662,2
663,13
664,NA
665,9
666,3
667,3
668,1
669,2
670,2
671,1
672,1
673,2
674,5
675,NA
676,2
677,NA
678,4
679,4
680,NA
681,7
682,3
683,9
684,9
685,NA
686,NA
687,6
688,33
689,13
690,NA
691,14
692,2
693,6
694,1
695,NA
696,30
697,11
698,7
699,2
700,3
701,6
702,36
703,2
704,26
705,2
706,26
707,16
708,13
709,1
710,14
711,4
712,1
713,7
714,10
715,2
716,4
717,7
718,2
719,NA
720,NA
721,NA
722,14
723,2
724,3
725,1
726,4
727,1
728,NA
729,NA
730,NA
731,3
732,NA
733,5
734,5
735,5
736,NA
737,3
738,NA
739,3
740,4
741,5
742,1
743,NA
744,3
745,5
746,5
747,NA
748,4
749,6
750,NA
751,3
752,NA
753,7
754,1
755,1
756,1
757,3
758,7
759,NA
760,6
761,4
762,NA
763,1
764,1
765,4
766,2
767,NA
768,2
769,1
770,NA
771,1
772,NA
773,1
774,NA
775,NA
776,2
777,1
778,NA
779,2
780,2
781,3
782,NA
783,NA
784,1
785,1
786,9
787,1
788,NA
789,NA
790,NA
791,1
792,NA
793,NA
794,NA
795,2
796,1
797,NA
798,NA
799,1
800,NA
801,3
802,NA
803,1
804,NA
805,1
806,NA
807,1
808,NA
809,2
810,NA
811,3
812,2
813,1
814,NA
815,NA
816,NA
817,NA
818,NA
819,1
820,1
821,1
822,NA
823,NA
824,NA
825,1
826,2
827,1
828,1
829,NA
830,NA
831,NA
832,1
833,NA
834,NA
835,NA
836,NA
837,2
838,1
839,1
840,NA
841,NA
842,NA
843,NA
844,1
845,NA
846,1
847,NA
848,1
849,1
850,NA
851,NA
852,4
853,NA
854,1
855,2
856,1
857,NA
858,2
859,1
860,NA
861,2
862,1
863,3
864,2
865,NA
866,NA
867,NA
868,NA
869,NA
870,NA
871,1
872,NA
873,NA
874,1
875,NA
876,NA
877,NA
878,1
879,1
880,3
881,NA
882,4
883,1
884,4
885,3
886,2
887,NA
888,NA
889,NA
890,NA
891,NA
892,1
893,1
894,2
895,1
896,1
897,NA
898,NA
899,2
900,2
901,1
902,1
903,4
904,2
905,NA
906,1
907,NA
908,NA
909,1
910,1
911,NA
912,NA
913,3
914,NA
915,NA
916,3
917,1
918,NA
919,1
920,NA
921,NA
922,NA
923,NA
924,NA
925,NA
926,2
927,NA
928,3
929,1
930,NA
931,NA
932,NA
933,NA
934,NA
935,NA
936,NA
937,NA
938,NA
939,NA
940,NA
941,NA
942,1
943,1
944,1
945,1
946,NA
947,NA
948,NA
949,NA
950,NA
951,1
952,4
953,NA
954,1
955,NA
956,2
957,2
958,NA
959,NA
960,1
961,1
962,1
963,2
964,1
965,1
966,2
967,NA
968,NA
969,1
970,NA
971,6
972,NA
973,NA
974,1
975,NA
976,1
977,NA
978,NA
979,NA
980,NA
981,NA
982,NA
983,NA
984,1
985,NA
986,NA
987,NA
988,4
989,1
990,NA
991,NA
992,NA
993,NA
994,3
995,NA
996,NA
997,NA
998,NA
999,NA
1000,NA
1001,NA
1002,NA
1003,NA
1004,1
1005,NA
1006,NA
1007,NA
1008,NA
1009,NA
1010,1
1011,NA
1012,NA
1013,NA
1014,2
1015,NA
1016,NA
1017,NA
1018,NA
1019,NA
1020,3
1021,1
1022,NA
1023,NA
1024,NA
1025,2
1026,NA
1027,1
1028,NA
1029,2
1030,NA
1031,NA
1032,NA
1033,2
1034,NA
1035,NA
1036,NA
1037,1
1038,NA
1039,NA
1040,1
1041,1
1042,NA
1043,4
1044,1
1045,1
1046,3
1047,1
1048,NA
1049,NA
1050,NA
1051,NA
1052,1
1053,1
1054,1
1055,2
1056,NA
1057,NA
1058,NA
1059,1
1060,NA
1061,1
1062,NA
1063,1
1064,NA
1065,NA
1066,NA
1067,NA
1068,1
1069,3
1070,1
1071,NA
1072,4
1073,NA
1074,NA
1075,1
1076,1
1077,NA
1078,NA
1079,NA
1080,NA
1081,NA
1082,NA
1083,1
1084,NA
1085,NA
1086,1
1087,NA
1088,2
1089,NA
1090,NA
1091,NA
1092,1
1093,NA
1094,NA
1095,2
1096,NA
1097,NA
1098,2
1099,NA
1100,1
1101,2
1102,NA
1103,NA
1104,NA
1105,NA
1106,NA
1107,NA
1108,1
1109,1
1110,NA
1111,NA
1112,NA
1113,NA
1114,4
1115,NA
1116,NA
