,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,152
54,56
55,293
56,75
57,115
58,63
59,33
60,121
61,71
62,49
63,162
64,81
65,36
66,113
67,52
68,229
69,142
70,89
71,39
72,37
73,68
74,48
75,23
76,27
77,53
78,67
79,18
80,31
81,13
82,16
83,17
84,12
85,37
86,17
87,8
88,4
89,4
90,7
91,10
92,20
93,17
94,26
95,31
96,36
97,36
98,34
99,30
100,51
101,30
102,80
103,60
104,35
105,31
106,40
107,55
108,45
109,39
110,65
111,36
112,40
113,39
114,27
115,NA
116,71
117,67
118,72
119,52
120,27
121,44
122,18
123,71
124,38
125,41
126,65
127,43
128,162
129,52
130,21
131,77
132,46
133,16
134,15
135,20
136,5
137,8
138,15
139,9
140,5
141,11
142,2
143,3
144,16
145,26
146,20
147,16
148,16
149,36
150,30
151,74
152,54
153,55
154,43
155,92
156,40
157,69
158,NA
159,33
160,59
161,25
162,62
163,119
164,137
165,123
166,86
167,108
168,118
169,147
170,97
171,129
172,110
173,261
174,52
175,140
176,170
177,184
178,92
179,132
180,235
181,164
182,131
183,61
184,54
185,235
186,32
187,59
188,66
189,51
190,39
191,28
192,33
193,15
194,26
195,21
196,29
197,25
198,31
199,57
200,36
201,54
202,NA
203,167
204,116
205,180
206,72
207,149
208,169
209,136
210,48
211,92
212,71
213,180
214,430
215,542
216,198
217,130
218,NA
219,252
220,252
221,252
222,225
223,239
224,232
225,337
226,444
227,837
228,182
229,245
230,513
231,404
232,260
233,237
234,117
235,383
236,114
237,327
238,70
239,57
240,67
241,64
242,12
243,65
244,15
245,29
246,29
247,14
248,16
249,6
250,5
251,21
252,29
253,24
254,86
255,59
256,41
257,87
258,167
259,99
260,143
261,100
262,50
263,121
264,NA
265,67
266,NA
267,105
268,57
269,177
270,51
271,181
272,73
273,31
274,92
275,131
276,90
277,45
278,85
279,59
280,82
281,75
282,53
283,151
284,33
285,31
286,65
287,86
288,35
289,101
290,25
291,18
292,21
293,2
294,13
295,12
296,8
297,24
298,NA
299,3
300,7
301,5
302,11
303,2
304,7
305,2
306,18
307,3
308,19
309,22
310,52
311,37
312,42
313,49
314,70
315,132
316,NA
317,85
318,22
319,41
320,47
321,89
322,97
323,86
324,88
325,47
326,58
327,83
328,256
329,78
330,86
331,217
332,118
333,154
334,154
335,115
336,232
337,48
338,115
339,65
340,156
341,102
342,39
343,16
344,7
345,41
346,19
347,7
348,17
349,9
350,9
351,17
352,5
353,3
354,1
355,5
356,NA
357,8
358,6
359,6
360,35
361,10
362,17
363,19
364,116
365,13
366,45
367,85
368,74
369,24
370,77
371,77
372,200
373,104
374,101
375,107
376,110
377,172
378,100
379,144
380,170
381,54
382,200
383,262
384,53
385,103
386,115
387,58
388,116
389,112
390,52
391,55
392,8
393,NA
394,98
395,31
396,180
397,22
398,20
399,84
400,18
401,14
402,6
403,21
404,6
405,8
406,14
407,8
408,NA
409,9
410,1
411,20
412,5
413,23
414,8
415,13
416,58
417,71
418,31
419,78
420,81
421,32
422,11
423,52
424,64
425,17
426,40
427,84
428,27
429,201
430,18
431,44
432,75
433,43
434,72
435,57
436,62
437,66
438,37
439,146
440,82
441,54
442,93
443,86
444,114
445,136
446,88
447,155
448,56
449,58
450,21
451,44
452,17
453,NA
454,12
455,28
456,24
457,6
458,18
459,12
460,25
461,17
462,22
463,11
464,22
465,19
466,22
467,38
468,27
469,55
470,53
471,29
472,129
473,59
474,33
475,NA
476,101
477,41
478,54
479,51
480,57
481,81
482,38
483,143
484,46
485,133
486,72
487,84
488,58
489,49
490,89
491,61
492,125
493,125
494,97
495,66
496,30
497,89
498,48
499,73
500,63
501,65
502,29
503,NA
504,18
505,6
506,9
507,8
508,6
509,NA
510,4
511,7
512,NA
513,21
514,1
515,12
516,1
517,9
518,18
519,6
520,28
521,4
522,53
523,3
524,19
525,68
526,38
527,4
528,12
529,NA
530,36
531,46
532,14
533,3
534,37
535,58
536,42
537,38
538,47
539,41
540,19
541,2
542,29
543,15
544,10
545,21
546,15
547,24
548,29
549,15
550,7
551,17
552,23
553,7
554,NA
555,5
556,3
557,2
558,9
559,3
560,2
561,NA
562,3
563,4
564,1
565,NA
566,2
567,7
568,5
569,5
570,9
571,5
572,4
573,19
574,30
575,8
576,29
577,13
578,47
579,12
580,11
581,10
582,14
583,7
584,7
585,13
586,19
587,19
588,13
589,16
590,14
591,12
592,47
593,22
594,5
595,12
596,36
597,41
598,24
599,46
600,10
601,31
602,46
603,62
604,57
605,20
606,96
607,26
608,30
609,16
610,20
611,63
612,1
613,16
614,22
615,32
616,2
617,1
618,4
619,5
620,21
621,25
622,4
623,10
624,22
625,72
626,48
627,29
628,65
629,63
630,28
631,37
632,52
633,2
634,11
635,16
636,64
637,36
638,48
639,72
640,118
641,32
642,48
643,20
644,108
645,125
646,115
647,70
648,6
649,78
650,31
651,178
652,13
653,32
654,136
655,26
656,156
657,79
658,14
659,8
660,29
661,5
662,10
663,16
664,36
665,5
666,15
667,2
668,7
669,13
670,3
671,7
672,NA
673,22
674,5
675,NA
676,24
677,3
678,27
679,2
680,13
681,47
682,53
683,61
684,9
685,NA
686,42
687,23
688,38
689,23
690,30
691,73
692,52
693,51
694,70
695,100
696,21
697,52
698,22
699,57
700,46
701,31
702,83
703,73
704,18
705,51
706,27
707,24
708,19
709,44
710,18
711,3
712,10
713,3
714,NA
715,3
716,3
717,2
718,NA
719,6
720,1
721,3
722,1
723,1
724,3
725,6
726,3
727,3
728,22
729,14
730,2
731,5
732,12
733,34
734,6
735,18
736,NA
737,38
738,1
739,1
740,13
741,1
742,10
743,7
744,6
745,4
746,3
747,3
748,1
749,1
750,4
751,2
752,2
753,4
754,15
755,6
756,3
757,2
758,17
759,2
760,4
761,NA
762,NA
763,3
764,2
765,2
766,5
767,1
768,2
769,3
770,2
771,2
772,NA
773,4
774,1
775,NA
776,5
777,6
778,1
779,13
780,5
781,17
782,38
783,30
784,30
785,97
786,43
787,62
788,NA
789,84
790,NA
791,24
792,9
793,27
794,NA
795,63
796,NA
797,96
798,45
799,45
800,109
801,151
802,149
803,131
804,44
805,61
806,94
807,125
808,27
809,64
810,99
811,87
812,13
813,38
814,27
815,11
816,5
817,7
818,4
819,5
820,NA
821,2
822,2
823,NA
824,NA
825,NA
826,6
827,1
828,3
829,10
830,1
831,15
832,2
833,4
834,6
835,28
836,6
837,62
838,31
839,14
840,14
841,NA
842,NA
843,4
844,35
845,45
846,10
847,36
848,6
849,17
850,16
851,62
852,35
853,21
854,13
855,NA
856,17
857,12
858,39
859,NA
860,6
861,46
862,NA
863,8
864,60
865,16
866,13
867,4
868,3
869,NA
870,2
871,NA
872,NA
873,7
874,NA
875,2
876,1
877,NA
878,1
879,NA
880,1
881,NA
882,NA
883,1
884,3
885,7
886,2
887,1
888,NA
889,8
890,2
891,14
892,5
893,NA
894,2
895,3
896,7
897,NA
898,10
899,3
900,10
901,5
902,25
903,3
904,9
905,2
906,29
907,6
908,19
909,10
910,7
911,30
912,7
913,28
914,NA
915,24
916,18
917,NA
918,43
919,7
920,19
921,3
922,5
923,NA
924,1
925,4
926,2
927,3
928,NA
929,3
930,2
931,NA
932,6
933,10
934,NA
935,NA
936,10
937,3
938,NA
939,8
940,NA
941,15
942,5
943,12
944,11
945,2
946,3
947,12
948,10
949,NA
950,6
951,5
952,11
953,2
954,4
955,7
956,8
957,88
958,9
959,NA
960,NA
961,6
962,1
963,6
964,4
965,10
966,NA
967,6
968,2
969,3
970,2
971,2
972,18
973,2
974,3
975,NA
976,NA
977,4
978,1
979,NA
980,6
981,1
982,2
983,3
984,2
985,1
986,3
987,2
988,NA
989,5
990,3
991,8
992,4
993,NA
994,8
995,10
996,3
997,4
998,NA
999,NA
1000,9
1001,NA
1002,14
1003,8
1004,1
1005,2
1006,2
1007,2
1008,2
1009,3
1010,2
1011,4
1012,4
1013,NA
1014,4
1015,1
1016,NA
1017,20
1018,4
1019,3
1020,NA
1021,3
1022,1
1023,NA
1024,3
1025,NA
1026,4
1027,NA
1028,3
1029,NA
1030,NA
1031,1
1032,NA
1033,NA
1034,NA
1035,NA
1036,8
1037,1
1038,NA
1039,7
1040,NA
1041,6
1042,5
1043,1
1044,NA
1045,4
1046,3
1047,1
1048,NA
1049,4
1050,NA
1051,4
1052,NA
1053,NA
1054,11
1055,9
1056,NA
1057,NA
1058,8
1059,NA
1060,NA
1061,NA
1062,NA
1063,NA
1064,NA
1065,9
1066,4
1067,NA
1068,1
1069,11
1070,3
1071,3
1072,NA
1073,NA
1074,7
1075,1
1076,5
1077,1
1078,NA
1079,NA
1080,NA
1081,3
1082,1
1083,NA
1084,1
1085,1
1086,1
1087,NA
1088,NA
1089,NA
1090,NA
1091,4
1092,NA
1093,5
1094,NA
1095,12
1096,8
1097,NA
1098,NA
1099,NA
1100,NA
1101,26
1102,4
1103,NA
1104,NA
1105,NA
1106,NA
1107,15
1108,4
1109,NA
1110,NA
1111,14
1112,3
1113,NA
1114,NA
1115,NA
1116,13
1117,NA
1118,NA
1119,NA
1120,14
1121,5
1122,NA
1123,NA
1124,NA
1125,NA
1126,20
1127,NA
1128,6
1129,2
1130,NA
1131,NA
1132,1
1133,NA
1134,NA
1135,NA
1136,NA
1137,NA
1138,NA
1139,NA
1140,11
1141,1
1142,NA
1143,4
1144,NA
1145,NA
