,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,81
54,248
55,181
56,285
57,311
58,421
59,353
60,332
61,443
62,440
63,373
64,530
65,516
66,545
67,438
68,492
69,434
70,409
71,353
72,438
73,322
74,249
75,342
76,251
77,207
78,145
79,121
80,126
81,NA
82,89
83,101
84,100
85,77
86,NA
87,59
88,42
89,61
90,43
91,59
92,52
93,73
94,74
95,59
96,90
97,116
98,122
99,80
100,50
101,172
102,228
103,NA
104,103
105,185
106,211
107,225
108,293
109,223
110,212
111,270
112,291
113,372
114,272
115,NA
116,371
117,303
118,280
119,221
120,288
121,314
122,232
123,270
124,251
125,228
126,200
127,120
128,268
129,137
130,94
131,96
132,77
133,87
134,75
135,72
136,39
137,42
138,55
139,62
140,46
141,56
142,34
143,22
144,30
145,41
146,57
147,62
148,62
149,100
150,75
151,112
152,83
153,127
154,81
155,155
156,159
157,38
158,NA
159,143
160,118
161,158
162,185
163,201
164,155
165,142
166,170
167,152
168,139
169,249
170,120
171,224
172,199
173,206
174,170
175,198
176,180
177,119
178,186
179,90
180,151
181,143
182,109
183,82
184,84
185,92
186,95
187,45
188,64
189,76
190,39
191,73
192,63
193,2
194,63
195,60
196,39
197,35
198,72
199,69
200,78
201,66
202,NA
203,84
204,100
205,97
206,117
207,154
208,154
209,91
210,71
211,143
212,102
213,227
214,236
215,226
216,159
217,187
218,NA
219,307
220,307
221,307
222,339
223,264
224,393
225,267
226,361
227,424
228,287
229,334
230,369
231,352
232,308
233,65
234,510
235,191
236,225
237,136
238,151
239,135
240,192
241,53
242,100
243,49
244,52
245,38
246,47
247,36
248,48
249,60
250,58
251,60
252,48
253,69
254,82
255,156
256,117
257,101
258,122
259,78
260,121
261,114
262,126
263,55
264,NA
265,152
266,NA
267,134
268,168
269,187
270,137
271,206
272,129
273,144
274,134
275,144
276,136
277,186
278,102
279,174
280,158
281,112
282,125
283,166
284,188
285,107
286,89
287,138
288,155
289,101
290,88
291,70
292,65
293,51
294,36
295,64
296,53
297,26
298,NA
299,35
300,26
301,34
302,24
303,21
304,54
305,78
306,42
307,69
308,35
309,73
310,39
311,76
312,46
313,116
314,133
315,NA
316,NA
317,123
318,81
319,93
320,173
321,119
322,56
323,144
324,157
325,141
326,124
327,139
328,75
329,58
330,109
331,69
332,84
333,69
334,69
335,68
336,95
337,113
338,67
339,43
340,61
341,38
342,50
343,72
344,30
345,94
346,64
347,31
348,46
349,39
350,39
351,30
352,NA
353,26
354,22
355,26
356,NA
357,33
358,56
359,47
360,57
361,58
362,53
363,117
364,58
365,79
366,67
367,60
368,84
369,NA
370,NA
371,22
372,96
373,108
374,89
375,74
376,61
377,132
378,81
379,75
380,NA
381,105
382,86
383,NA
384,120
385,37
386,NA
387,NA
388,NA
389,160
390,46
391,164
392,39
393,NA
394,61
395,70
396,28
397,41
398,36
399,49
400,6
401,50
402,39
403,9
404,NA
405,19
406,10
407,28
408,NA
409,32
410,39
411,37
412,46
413,14
414,53
415,84
416,93
417,93
418,68
419,73
420,244
421,84
422,62
423,71
424,104
425,77
426,95
427,84
428,84
429,77
430,136
431,92
432,120
433,102
434,231
435,97
436,160
437,296
438,NA
439,103
440,197
441,178
442,155
443,120
444,55
445,216
446,65
447,132
448,98
449,29
450,58
451,41
452,33
453,37
454,17
455,17
456,12
457,27
458,13
459,27
460,18
461,23
462,12
463,36
464,NA
465,31
466,29
467,43
468,24
469,80
470,22
471,30
472,53
473,33
474,NA
475,NA
476,49
477,65
478,47
479,44
480,39
481,35
482,75
483,32
484,56
485,73
486,88
487,31
488,54
489,47
490,59
491,28
492,44
493,44
494,43
495,62
496,87
497,64
498,54
499,97
500,40
501,37
502,29
503,19
504,16
505,29
506,14
507,10
508,18
509,10
510,11
511,13
512,11
513,14
514,7
515,12
516,15
517,6
518,14
519,10
520,28
521,5
522,12
523,8
524,12
525,19
526,32
527,3
528,8
529,NA
530,14
531,37
532,17
533,24
534,47
535,74
536,26
537,26
538,30
539,23
540,16
541,19
542,29
543,16
544,18
545,26
546,30
547,39
548,27
549,31
550,34
551,22
552,31
553,23
554,26
555,16
556,20
557,14
558,11
559,9
560,4
561,10
562,3
563,11
564,6
565,6
566,8
567,4
568,5
569,4
570,5
571,12
572,8
573,8
574,10
575,12
576,16
577,13
578,18
579,28
580,13
581,7
582,33
583,42
584,20
585,40
586,27
587,27
588,31
589,48
590,60
591,38
592,81
593,23
594,26
595,33
596,27
597,28
598,50
599,31
600,19
601,11
602,29
603,42
604,95
605,27
606,17
607,21
608,5
609,8
610,13
611,14
612,6
613,6
614,13
615,7
616,4
617,7
618,6
619,5
620,6
621,11
622,14
623,20
624,20
625,38
626,41
627,17
628,33
629,30
630,78
631,31
632,161
633,12
634,19
635,13
636,45
637,23
638,20
639,52
640,13
641,25
642,25
643,29
644,85
645,59
646,38
647,23
648,37
649,14
650,30
651,23
652,22
653,12
654,10
655,74
656,19
657,35
658,5
659,12
660,18
661,6
662,NA
663,5
664,7
665,2
666,NA
667,4
668,1
669,9
670,4
671,1
672,5
673,4
674,1
675,3
676,1
677,6
678,3
679,13
680,12
681,3
682,7
683,7
684,10
685,1
686,5
687,20
688,4
689,5
690,5
691,5
692,3
693,2
694,4
695,6
696,5
697,9
698,6
699,4
700,3
701,3
702,6
703,5
704,13
705,4
706,6
707,1
708,3
709,10
710,2
711,1
712,NA
713,1
714,7
715,3
716,3
717,1
718,5
719,5
720,NA
721,2
722,2
723,1
724,3
725,3
726,1
727,8
728,NA
729,3
730,6
731,NA
732,7
733,1
734,3
735,2
736,NA
737,4
738,1
739,8
740,9
741,2
742,2
743,2
744,5
745,6
746,3
747,6
748,4
749,20
750,9
751,8
752,NA
753,5
754,6
755,8
756,8
757,8
758,7
759,10
760,3
761,3
762,NA
763,1
764,3
765,3
766,3
767,NA
768,NA
769,2
770,2
771,1
772,5
773,5
774,4
775,NA
776,5
777,6
778,3
779,2
780,7
781,3
782,4
783,NA
784,3
785,7
786,4
787,NA
788,NA
789,NA
790,1
791,1
792,3
793,5
794,4
795,6
796,1
797,17
798,5
799,1
800,3
801,3
802,6
803,6
804,4
805,12
806,5
807,13
808,6
809,6
810,5
811,3
812,9
813,2
814,1
815,3
816,3
817,1
818,5
819,4
820,2
821,4
822,4
823,1
824,1
825,4
826,4
827,3
828,5
829,6
830,5
831,15
832,3
833,2
834,1
835,3
836,10
837,2
838,26
839,6
840,NA
841,NA
842,NA
843,10
844,2
845,9
846,6
847,12
848,8
849,11
850,7
851,9
852,4
853,7
854,5
855,1
856,1
857,3
858,7
859,4
860,8
861,5
862,1
863,9
864,4
865,1
866,3
867,2
868,2
869,NA
870,1
871,1
872,1
873,1
874,3
875,2
876,2
877,4
878,3
879,1
880,4
881,4
882,2
883,5
884,8
885,4
886,7
887,6
888,NA
889,1
890,6
891,5
892,4
893,1
894,NA
895,NA
896,1
897,4
898,2
899,1
900,6
901,7
902,4
903,11
904,6
905,5
906,1
907,NA
908,4
909,1
910,4
911,9
912,5
913,6
914,5
915,4
916,3
917,6
918,3
919,2
920,NA
921,NA
922,1
923,2
924,NA
925,2
926,2
927,NA
928,2
929,1
930,NA
931,5
932,5
933,NA
934,4
935,4
936,6
937,3
938,11
939,4
940,7
941,3
942,8
943,4
944,3
945,4
946,NA
947,1
948,4
949,6
950,4
951,3
952,2
953,12
954,12
955,14
956,12
957,9
958,10
959,5
960,18
961,14
962,9
963,3
964,26
965,6
966,6
967,6
968,6
969,NA
970,4
971,4
972,2
973,4
974,1
975,1
976,4
977,2
978,8
979,1
980,1
981,2
982,1
983,6
984,6
985,4
986,7
987,3
988,12
989,10
990,3
991,6
992,5
993,8
994,10
995,6
996,2
997,4
998,NA
999,NA
1000,1
1001,1
1002,6
1003,5
1004,8
1005,3
1006,5
1007,6
1008,3
1009,9
1010,6
1011,9
1012,2
1013,5
1014,9
1015,6
1016,6
1017,4
1018,8
1019,8
1020,5
1021,6
1022,2
1023,5
1024,NA
1025,NA
1026,2
1027,1
1028,4
1029,2
1030,1
1031,4
1032,1
1033,NA
1034,2
1035,2
1036,5
1037,8
1038,11
1039,3
1040,6
1041,3
1042,6
1043,6
1044,6
1045,3
1046,4
1047,7
1048,NA
1049,1
1050,NA
1051,NA
1052,2
1053,NA
1054,4
1055,7
1056,10
1057,12
1058,14
1059,5
1060,14
1061,4
1062,8
1063,3
1064,11
1065,9
1066,8
1067,9
1068,7
1069,9
1070,19
1071,7
1072,31
1073,NA
1074,8
1075,NA
1076,2
1077,5
1078,4
1079,1
1080,NA
1081,2
1082,NA
1083,4
1084,2
1085,NA
1086,2
1087,3
1088,3
1089,3
1090,5
1091,8
1092,NA
1093,5
1094,9
1095,3
1096,4
1097,14
1098,8
1099,14
1100,8
1101,3
1102,4
1103,NA
1104,2
1105,1
1106,1
1107,5
1108,7
1109,5
1110,5
1111,6
1112,13
1113,1
1114,5
1115,12
1116,7
1117,NA
1118,8
1119,6
1120,3
1121,8
1122,4
1123,1
1124,6
1125,10
1126,3
1127,4
1128,1
1129,7
1130,4
1131,3
1132,1
1133,NA
1134,3
1135,NA
1136,NA
1137,NA
1138,1
1139,1
1140,3
1141,4
1142,3
1143,10
1144,10
1145,4
1146,4
1147,NA
1148,6
1149,6
1150,10
1151,9
1152,8
1153,66
1154,7
1155,2
1156,1
1157,7
1158,10
