,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,NA
63,NA
64,NA
65,NA
66,NA
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,4
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,NA
361,NA
362,NA
363,NA
364,NA
365,NA
366,NA
367,NA
368,NA
369,NA
370,NA
371,20
372,37
373,15
374,13
375,13
376,31
377,11
378,40
379,33
380,24
381,24
382,39
383,54
384,13
385,10
386,57
387,23
388,19
389,59
390,39
391,24
392,18
393,NA
394,20
395,NA
396,34
397,36
398,12
399,23
400,16
401,12
402,9
403,6
404,5
405,7
406,NA
407,6
408,NA
409,7
410,5
411,6
412,9
413,20
414,12
415,4
416,9
417,22
418,6
419,105
420,21
421,17
422,49
423,2
424,101
425,23
426,20
427,26
428,28
429,44
430,20
431,27
432,37
433,52
434,15
435,43
436,27
437,29
438,28
439,27
440,52
441,31
442,22
443,26
444,22
445,59
446,32
447,14
448,13
449,45
450,2
451,7
452,13
453,6
454,4
455,15
456,5
457,NA
458,5
459,3
460,6
461,4
462,3
463,1
464,NA
465,3
466,3
467,63
468,NA
469,12
470,25
471,8
472,89
473,14
474,48
475,NA
476,5
477,16
478,11
479,6
480,14
481,15
482,33
483,12
484,23
485,12
486,16
487,16
488,13
489,9
490,39
491,12
492,14
493,14
494,5
495,6
496,14
497,9
498,4
499,3
500,3
501,6
502,15
503,4
504,7
505,16
506,1
507,2
508,6
509,2
510,4
511,3
512,4
513,4
514,2
515,3
516,4
517,2
518,2
519,3
520,4
521,NA
522,2
523,1
524,1
525,20
526,2
527,5
528,22
529,NA
530,15
531,6
532,3
533,6
534,5
535,5
536,6
537,1
538,4
539,11
540,4
541,11
542,9
543,8
544,4
545,6
546,10
547,10
548,10
549,9
550,23
551,10
552,20
553,16
554,28
555,13
556,12
557,5
558,2
559,3
560,3
561,1
562,NA
563,1
564,1
565,2
566,NA
567,5
568,1
569,NA
570,9
571,NA
572,11
573,4
574,8
575,6
576,8
577,9
578,5
579,13
580,6
581,3
582,3
583,14
584,8
585,5
586,9
587,NA
588,12
589,NA
590,5
591,7
592,7
593,3
594,3
595,8
596,5
597,8
598,8
599,5
600,8
601,6
602,9
603,12
604,5
605,20
606,2
607,7
608,2
609,NA
610,4
611,5
612,3
613,1
614,1
615,3
616,2
617,1
618,2
619,6
620,NA
621,1
622,8
623,3
624,1
625,1
626,8
627,2
628,2
629,10
630,4
631,6
632,2
633,7
634,1
635,4
636,8
637,1
638,4
639,2
640,2
641,7
642,3
643,6
644,1
645,2
646,12
647,8
648,4
649,4
650,2
651,5
652,4
653,5
654,NA
655,2
656,30
657,10
658,3
659,5
660,4
661,2
662,4
663,3
664,2
665,1
666,NA
667,1
668,NA
669,NA
670,NA
671,1
672,3
673,3
674,1
675,1
676,4
677,2
678,4
679,5
680,1
681,2
682,2
683,2
684,4
685,NA
686,3
687,1
688,1
689,5
690,3
691,5
692,1
693,4
694,4
695,1
696,3
697,6
698,3
699,10
700,9
701,4
702,2
703,4
704,2
705,4
706,2
707,1
708,3
709,3
710,2
711,2
712,NA
713,2
714,3
715,5
716,1
717,1
718,1
719,3
720,9
721,1
722,NA
723,3
724,2
725,4
726,3
727,4
728,4
729,6
730,4
731,3
732,3
733,7
734,4
735,9
736,NA
737,4
738,3
739,2
740,2
741,4
742,3
743,3
744,NA
745,5
746,1
747,NA
748,1
749,6
750,1
751,3
752,7
753,3
754,7
755,1
756,4
757,1
758,3
759,6
760,8
761,1
762,NA
763,1
764,6
765,1
766,NA
767,6
768,1
769,6
770,5
771,1
772,1
773,1
774,3
775,NA
776,2
777,6
778,2
779,6
780,NA
781,7
782,3
783,3
784,6
785,2
786,4
787,1
788,NA
789,4
790,NA
791,3
792,1
793,2
794,5
795,4
796,1
797,1
798,NA
799,1
800,2
801,1
802,1
803,5
804,1
805,2
806,3
807,2
808,1
809,NA
810,NA
811,4
812,2
813,NA
814,3
815,2
816,1
817,3
818,2
819,1
820,NA
821,1
822,1
823,NA
824,1
825,2
826,2
827,NA
828,NA
829,5
830,2
831,1
832,3
833,5
834,2
835,3
836,3
837,3
838,3
839,3
840,2
841,NA
842,NA
843,NA
844,1
845,2
846,NA
847,3
848,2
849,4
850,4
851,3
852,6
853,1
854,9
855,NA
856,4
857,3
858,1
859,2
860,1
861,NA
862,3
863,NA
864,3
865,3
866,1
867,3
868,1
869,1
870,1
871,NA
872,4
873,NA
874,3
875,2
876,2
877,1
878,1
879,NA
880,1
881,5
882,1
883,1
884,3
885,4
886,4
887,1
888,NA
889,1
890,2
891,2
892,4
893,1
894,2
895,NA
896,4
897,NA
898,5
899,1
900,4
901,3
902,2
903,2
904,2
905,1
906,3
907,1
908,2
909,1
910,3
911,NA
912,NA
913,1
914,3
915,NA
916,1
917,5
918,2
919,2
920,1
921,1
922,3
923,NA
924,5
925,NA
926,NA
927,NA
928,5
929,1
930,2
931,3
932,3
933,1
934,3
935,5
936,1
937,NA
938,1
939,2
940,4
941,3
942,2
943,3
944,NA
945,4
946,NA
947,NA
948,3
949,19
950,4
951,14
952,3
953,2
954,1
955,7
956,7
957,4
958,10
959,4
960,4
961,2
962,2
963,3
964,NA
965,2
966,3
967,3
968,3
969,6
970,4
971,3
972,1
973,2
974,1
975,NA
976,1
977,1
978,NA
979,NA
980,NA
981,6
982,1
983,2
984,NA
985,NA
986,10
987,3
988,3
989,2
990,7
991,2
992,NA
993,5
994,5
995,5
996,3
997,NA
998,NA
999,2
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,6
1009,1
1010,2
1011,2
1012,NA
1013,2
1014,NA
1015,NA
1016,2
1017,1
1018,2
1019,NA
1020,1
1021,3
1022,NA
1023,2
1024,2
1025,1
1026,5
1027,1
1028,1
1029,1
1030,NA
1031,NA
1032,1
1033,1
1034,NA
1035,NA
1036,1
1037,NA
1038,2
1039,1
1040,NA
1041,NA
1042,2
1043,NA
1044,2
1045,1
1046,2
1047,5
1048,NA
1049,1
1050,NA
1051,1
1052,1
1053,1
1054,1
1055,1
1056,2
1057,NA
1058,1
1059,1
1060,1
1061,NA
1062,6
1063,1
1064,3
1065,2
1066,2
1067,1
1068,8
1069,NA
1070,6
1071,4
1072,1
1073,4
1074,10
1075,NA
1076,1
1077,1
1078,NA
1079,2
1080,NA
1081,3
1082,1
1083,NA
1084,3
1085,2
1086,NA
1087,NA
1088,NA
1089,3
1090,5
1091,NA
