,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,22
54,27
55,101
56,29
57,29
58,38
59,60
60,19
61,31
62,130
63,30
64,60
65,61
66,31
67,30
68,22
69,54
70,10
71,41
72,36
73,17
74,29
75,50
76,30
77,22
78,52
79,17
80,4
81,17
82,7
83,9
84,2
85,16
86,8
87,1
88,2
89,8
90,2
91,7
92,4
93,2
94,12
95,6
96,5
97,5
98,17
99,11
100,7
101,7
102,9
103,5
104,14
105,2
106,6
107,20
108,14
109,NA
110,25
111,12
112,21
113,19
114,10
115,NA
116,29
117,34
118,25
119,18
120,43
121,25
122,25
123,18
124,24
125,44
126,20
127,27
128,44
129,49
130,26
131,13
132,14
133,31
134,10
135,38
136,9
137,13
138,3
139,7
140,5
141,12
142,9
143,7
144,10
145,7
146,10
147,50
148,50
149,18
150,82
151,25
152,27
153,107
154,82
155,36
156,58
157,28
158,NA
159,22
160,30
161,51
162,51
163,67
164,52
165,85
166,30
167,45
168,41
169,113
170,42
171,86
172,77
173,114
174,72
175,98
176,136
177,81
178,103
179,52
180,46
181,52
182,54
183,97
184,29
185,62
186,27
187,43
188,35
189,29
190,18
191,12
192,20
193,17
194,6
195,10
196,12
197,12
198,7
199,7
200,12
201,NA
202,NA
203,8
204,35
205,17
206,10
207,31
208,16
209,45
210,11
211,35
212,29
213,14
214,22
215,23
216,46
217,14
218,NA
219,30
220,30
221,30
222,53
223,27
224,26
225,33
226,20
227,14
228,31
229,31
230,52
231,29
232,28
233,28
234,42
235,45
236,28
237,28
238,39
239,9
240,17
241,25
242,22
243,3
244,16
245,8
246,2
247,6
248,8
249,3
250,8
251,6
252,4
253,3
254,1
255,6
256,8
257,6
258,18
259,5
260,11
261,6
262,13
263,12
264,NA
265,15
266,NA
267,33
268,7
269,34
270,10
271,20
272,19
273,37
274,28
275,12
276,44
277,75
278,41
279,9
280,10
281,35
282,63
283,31
284,78
285,45
286,77
287,12
288,24
289,67
290,61
291,42
292,95
293,21
294,13
295,24
296,6
297,24
298,NA
299,4
300,11
301,NA
302,NA
303,6
304,7
305,4
306,6
307,7
308,4
309,18
310,12
311,14
312,38
313,20
314,21
315,27
316,NA
317,7
318,28
319,6
320,7
321,12
322,58
323,8
324,21
325,10
326,8
327,23
328,21
329,25
330,19
331,46
332,40
333,39
334,39
335,23
336,18
337,46
338,13
339,33
340,32
341,15
342,29
343,11
344,43
345,8
346,11
347,1
348,1
349,12
350,12
351,6
352,NA
353,7
354,6
355,1
356,NA
357,4
358,3
359,2
360,5
361,1
362,4
363,7
364,10
365,6
366,6
367,18
368,11
369,3
370,2
371,NA
372,16
373,15
374,19
375,12
376,5
377,9
378,19
379,6
380,14
381,27
382,12
383,2
384,32
385,36
386,4
387,34
388,21
389,25
390,27
391,39
392,11
393,NA
394,10
395,15
396,2
397,24
398,5
399,8
400,19
401,14
402,7
403,29
404,2
405,4
406,1
407,NA
408,NA
409,7
410,3
411,6
412,15
413,18
414,NA
415,8
416,28
417,31
418,3
419,18
420,36
421,11
422,20
423,9
424,19
425,5
426,19
427,25
428,25
429,23
430,19
431,30
432,8
433,37
434,12
435,45
436,27
437,25
438,40
439,29
440,36
441,49
442,43
443,27
444,25
445,16
446,26
447,15
448,8
449,15
450,7
451,7
452,17
453,13
454,1
455,4
456,18
457,29
458,2
459,6
460,2
461,4
462,NA
463,5
464,4
465,3
466,NA
467,6
468,3
469,8
470,9
471,2
472,5
473,35
474,4
475,NA
476,7
477,4
478,11
479,8
480,10
481,29
482,23
483,15
484,8
485,2
486,2
487,2
488,8
489,16
490,2
491,7
492,2
493,2
494,5
495,2
496,1
497,4
498,5
499,2
500,1
501,2
502,NA
503,4
504,6
505,NA
506,NA
507,4
508,1
509,4
510,NA
511,NA
512,NA
513,NA
514,3
515,1
516,1
517,NA
518,1
519,1
520,3
521,NA
522,NA
523,3
524,7
525,NA
526,2
527,6
528,NA
529,NA
530,5
531,8
532,5
533,2
534,5
535,2
536,5
537,3
538,2
539,NA
540,NA
541,1
542,2
543,NA
544,1
545,4
546,2
547,4
548,6
549,2
550,9
551,NA
552,11
553,NA
554,1
555,NA
556,2
557,1
558,NA
559,1
560,3
561,NA
562,1
563,3
564,1
565,2
566,NA
567,NA
568,4
569,1
570,2
571,1
572,6
573,1
574,NA
575,NA
576,4
577,2
578,5
579,4
580,2
581,1
582,13
583,5
584,1
585,8
586,5
587,1
588,1
589,3
590,3
591,5
592,3
593,NA
594,3
595,NA
596,3
597,18
598,4
599,6
600,3
601,NA
602,4
603,1
604,1
605,18
606,NA
607,3
608,1
609,4
610,1
611,4
612,6
613,2
614,1
615,1
616,NA
617,1
618,NA
619,32
620,NA
621,4
622,NA
623,4
624,NA
625,1
626,6
627,1
628,1
629,5
630,1
631,3
632,2
633,4
634,NA
635,2
636,6
637,4
638,2
639,4
640,3
641,1
642,9
643,NA
644,4
645,NA
646,2
647,7
648,3
649,4
650,2
651,2
652,NA
653,2
654,NA
655,5
656,NA
657,4
658,2
659,1
660,1
661,NA
662,1
663,2
664,1
665,NA
666,NA
667,1
668,1
669,NA
670,2
671,NA
672,1
673,NA
674,NA
675,1
676,1
677,1
678,3
679,NA
680,3
681,2
682,2
683,6
684,NA
685,NA
686,2
687,1
688,7
689,NA
690,3
691,4
692,1
693,2
694,3
695,2
696,4
697,5
698,2
699,3
700,1
701,3
702,1
703,NA
704,1
705,NA
706,1
707,1
708,NA
709,NA
710,NA
711,NA
712,NA
713,NA
714,2
715,NA
716,4
717,1
718,1
719,1
720,5
721,3
722,NA
723,NA
724,2
725,NA
726,NA
727,2
728,3
729,NA
730,3
731,NA
732,NA
733,NA
734,4
735,8
736,NA
737,NA
738,NA
739,2
740,6
741,3
742,1
743,13
744,5
745,3
746,2
747,6
748,4
749,4
750,1
751,NA
752,2
753,5
754,2
755,1
756,1
757,2
758,NA
759,NA
760,17
761,NA
762,NA
763,25
764,NA
765,2
766,2
767,3
768,2
769,1
770,NA
771,NA
772,NA
773,NA
774,2
775,NA
776,NA
777,NA
778,NA
779,3
780,NA
781,NA
782,NA
783,NA
784,2
785,1
786,5
787,NA
788,NA
789,1
790,1
791,NA
792,2
793,1
794,3
795,NA
796,2
797,1
798,3
799,1
800,1
801,1
802,1
803,2
804,2
805,1
806,NA
807,1
808,4
809,1
810,1
811,1
812,NA
813,NA
814,NA
815,NA
816,NA
817,NA
818,NA
819,1
820,1
821,NA
822,NA
823,1
824,NA
825,NA
826,NA
827,NA
828,1
829,1
830,1
831,1
832,1
833,NA
834,NA
835,NA
836,1
837,NA
838,2
839,1
840,2
841,NA
842,NA
843,NA
844,2
845,NA
846,1
847,NA
848,2
849,NA
850,NA
851,NA
852,1
853,NA
854,3
855,2
856,5
857,NA
858,NA
859,1
860,NA
861,NA
862,NA
863,NA
864,NA
865,NA
866,1
867,2
868,2
869,NA
870,NA
871,NA
872,3
873,1
874,NA
875,1
876,NA
877,NA
878,NA
879,NA
880,1
881,NA
882,NA
883,NA
884,1
885,NA
886,1
887,1
888,NA
889,NA
890,1
891,NA
892,1
893,NA
894,NA
895,1
896,NA
897,NA
898,NA
899,1
900,NA
901,NA
902,NA
903,1
904,NA
905,1
906,1
907,NA
908,1
909,NA
910,1
911,1
912,NA
913,NA
914,NA
915,NA
916,2
917,1
918,1
919,NA
920,NA
921,1
922,1
923,1
924,NA
925,1
926,NA
927,NA
928,NA
929,1
930,NA
931,NA
932,1
933,NA
934,NA
935,NA
936,NA
937,NA
938,NA
939,NA
940,NA
941,1
942,NA
943,1
944,NA
945,NA
946,3
947,NA
948,1
949,NA
950,1
951,1
952,NA
953,NA
954,NA
955,4
956,NA
957,1
958,NA
959,1
960,NA
961,3
962,1
963,2
964,3
965,NA
966,NA
967,NA
968,NA
969,4
970,3
971,NA
972,1
973,NA
974,2
975,NA
976,4
977,1
978,NA
979,1
980,4
981,NA
982,NA
983,1
984,NA
985,NA
986,NA
987,1
988,NA
989,2
990,1
991,NA
992,1
993,NA
994,1
995,1
996,NA
997,NA
998,2
999,1
1000,NA
1001,1
1002,NA
1003,1
1004,NA
1005,NA
1006,NA
1007,1
1008,NA
1009,NA
1010,3
1011,NA
1012,NA
1013,3
1014,3
1015,NA
1016,2
1017,NA
1018,NA
1019,1
1020,2
1021,3
1022,1
1023,1
1024,NA
1025,NA
1026,2
1027,NA
1028,2
1029,NA
1030,3
1031,2
1032,NA
1033,NA
1034,NA
1035,NA
1036,1
1037,2
1038,NA
1039,1
1040,NA
1041,3
1042,NA
1043,NA
1044,2
1045,1
1046,1
1047,NA
1048,NA
1049,NA
1050,NA
1051,NA
1052,NA
1053,NA
1054,NA
1055,NA
1056,NA
1057,NA
1058,NA
1059,1
1060,NA
1061,NA
1062,2
1063,1
1064,3
1065,1
1066,NA
1067,NA
1068,40
1069,NA
1070,NA
1071,3
1072,NA
1073,NA
1074,5
1075,NA
1076,5
1077,3
1078,1
1079,1
1080,NA
1081,1
1082,NA
1083,1
1084,NA
1085,NA
1086,1
1087,NA
1088,NA
1089,1
1090,NA
1091,2
1092,1
1093,NA
1094,NA
1095,1
1096,NA
1097,6
1098,NA
1099,3
1100,4
1101,2
1102,NA
1103,NA
1104,1
1105,NA
1106,2
1107,NA
1108,1
1109,NA
1110,NA
1111,NA
1112,NA
1113,NA
1114,NA
1115,12
1116,10
