,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,234
54,259
55,258
56,255
57,356
58,203
59,319
60,335
61,NA
62,199
63,193
64,249
65,201
66,195
67,245
68,182
69,274
70,279
71,231
72,132
73,263
74,173
75,69
76,86
77,10
78,17
79,12
80,5
81,12
82,5
83,8
84,18
85,5
86,NA
87,5
88,4
89,29
90,NA
91,45
92,47
93,66
94,52
95,55
96,NA
97,115
98,108
99,119
100,168
101,122
102,153
103,172
104,17
105,14
106,NA
107,107
108,167
109,83
110,75
111,174
112,122
113,NA
114,188
115,NA
116,176
117,174
118,92
119,119
120,182
121,219
122,189
123,63
124,132
125,140
126,144
127,116
128,49
129,29
130,7
131,7
132,10
133,5
134,12
135,11
136,6
137,9
138,5
139,1
140,1
141,15
142,15
143,24
144,27
145,46
146,63
147,50
148,50
149,NA
150,34
151,210
152,106
153,94
154,50
155,481
156,186
157,123
158,NA
159,81
160,147
161,182
162,158
163,117
164,176
165,176
166,65
167,208
168,180
169,128
170,239
171,143
172,163
173,263
174,258
175,202
176,137
177,356
178,181
179,63
180,140
181,199
182,45
183,33
184,3
185,26
186,26
187,5
188,34
189,27
190,15
191,5
192,11
193,7
194,2
195,31
196,24
197,57
198,62
199,89
200,84
201,58
202,NA
203,141
204,177
205,118
206,237
207,185
208,233
209,111
210,21
211,153
212,210
213,293
214,258
215,332
216,63
217,274
218,NA
219,220
220,220
221,220
222,244
223,207
224,264
225,272
226,86
227,143
228,211
229,149
230,245
231,205
232,261
233,234
234,109
235,198
236,122
237,53
238,16
239,22
240,13
241,17
242,13
243,3
244,6
245,NA
246,7
247,5
248,12
249,27
250,60
251,29
252,43
253,105
254,73
255,NA
256,173
257,136
258,201
259,186
260,111
261,119
262,60
263,80
264,NA
265,169
266,NA
267,56
268,76
269,67
270,92
271,223
272,186
273,101
274,142
275,142
276,167
277,88
278,140
279,99
280,115
281,416
282,196
283,220
284,191
285,117
286,139
287,83
288,48
289,53
290,20
291,9
292,10
293,17
294,7
295,5
296,2
297,14
298,NA
299,2
300,4
301,9
302,28
303,33
304,19
305,21
306,18
307,51
308,23
309,43
310,48
311,42
312,45
313,51
314,68
315,22
316,NA
317,10
318,36
319,52
320,29
321,39
322,18
323,43
324,31
325,61
326,59
327,73
328,50
329,33
330,31
331,38
332,32
333,49
334,49
335,82
336,52
337,72
338,55
339,37
340,49
341,13
342,27
343,4
344,2
345,4
346,6
347,4
348,1
349,NA
350,NA
351,NA
352,3
353,NA
354,1
355,1
356,NA
357,23
358,30
359,10
360,21
361,26
362,NA
363,43
364,38
365,67
366,12
367,53
368,54
369,30
370,33
371,22
372,34
373,124
374,57
375,60
376,10
377,151
378,77
379,37
380,112
381,59
382,77
383,65
384,55
385,21
386,16
387,66
388,92
389,48
390,64
391,29
392,59
393,NA
394,31
395,43
396,8
397,9
398,5
399,2
400,7
401,4
402,3
403,NA
404,3
405,NA
406,5
407,3
408,NA
409,16
410,13
411,16
412,19
413,7
414,55
415,21
416,77
417,53
418,78
419,91
420,60
421,90
422,59
423,28
424,79
425,114
426,104
427,108
428,172
429,70
430,179
431,162
432,163
433,129
434,163
435,232
436,129
437,159
438,176
439,61
440,190
441,150
442,78
443,152
444,344
445,155
446,117
447,115
448,58
449,11
450,4
451,48
452,14
453,11
454,2
455,2
456,1
457,7
458,1
459,2
460,18
461,11
462,40
463,10
464,47
465,53
466,NA
467,107
468,68
469,93
470,143
471,50
472,111
473,77
474,38
475,NA
476,12
477,59
478,43
479,94
480,84
481,NA
482,84
483,40
484,33
485,57
486,34
487,19
488,33
489,17
490,7
491,21
492,26
493,26
494,27
495,14
496,12
497,19
498,22
499,4
500,7
501,7
502,3
503,NA
504,3
505,NA
506,NA
507,4
508,1
509,1
510,NA
511,NA
512,3
513,NA
514,3
515,5
516,7
517,1
518,4
519,7
520,6
521,7
522,11
523,6
524,10
525,2
526,3
527,6
528,14
529,NA
530,7
531,9
532,7
533,13
534,5
535,2
536,9
537,17
538,10
539,14
540,6
541,16
542,10
543,9
544,10
545,14
546,16
547,11
548,12
549,5
550,14
551,10
552,7
553,NA
554,NA
555,1
556,1
557,NA
558,NA
559,1
560,NA
561,NA
562,3
563,2
564,NA
565,7
566,5
567,3
568,1
569,6
570,6
571,5
572,6
573,4
574,3
575,5
576,8
577,9
578,7
579,12
580,5
581,NA
582,5
583,1
584,14
585,5
586,NA
587,12
588,13
589,10
590,13
591,9
592,10
593,6
594,3
595,2
596,5
597,10
598,12
599,8
600,5
601,5
602,3
603,4
604,3
605,1
606,NA
607,NA
608,1
609,NA
610,NA
611,NA
612,NA
613,NA
614,NA
615,2
616,2
617,NA
618,3
619,4
620,5
621,7
622,1
623,1
624,1
625,2
626,4
627,2
628,5
629,3
630,5
631,2
632,3
633,1
634,12
635,2
636,6
637,10
638,1
639,32
640,8
641,10
642,3
643,16
644,17
645,10
646,2
647,5
648,7
649,2
650,2
651,2
652,7
653,4
654,10
655,2
656,3
657,2
658,1
659,NA
660,3
661,NA
662,NA
663,2
664,NA
665,1
666,NA
667,NA
668,NA
669,NA
670,3
671,4
672,1
673,5
674,NA
675,2
676,3
677,16
678,6
679,NA
680,12
681,NA
682,11
683,NA
684,NA
685,NA
686,5
687,7
688,NA
689,1
690,NA
691,1
692,2
693,18
694,3
695,3
696,8
697,4
698,6
699,2
700,6
701,3
702,4
703,2
704,7
705,NA
706,6
707,4
708,NA
709,1
710,1
711,1
712,3
713,1
714,NA
715,2
716,2
717,NA
718,3
719,NA
720,2
721,NA
722,NA
723,NA
724,2
725,3
726,NA
727,1
728,1
729,2
730,2
731,NA
732,1
733,3
734,4
735,3
736,NA
737,1
738,9
739,3
740,14
741,2
742,8
743,1
744,16
745,2
746,6
747,10
748,11
749,NA
750,3
751,2
752,3
753,3
754,5
755,5
756,8
757,2
758,4
759,2
760,5
761,4
762,NA
763,NA
764,2
765,1
766,1
767,1
768,NA
769,3
770,NA
771,1
772,NA
773,3
774,1
775,NA
776,1
777,1
778,2
779,3
780,1
781,2
782,5
783,NA
784,1
785,3
786,1
787,1
788,NA
789,NA
790,1
791,7
792,1
793,3
794,3
795,NA
796,2
797,NA
798,1
799,5
800,5
801,5
802,1
803,3
804,2
805,NA
806,1
807,3
808,NA
809,4
810,1
811,7
812,2
813,1
814,NA
815,1
816,1
817,1
818,NA
819,NA
820,NA
821,NA
822,NA
823,NA
824,NA
825,NA
826,3
827,NA
828,NA
829,NA
830,NA
831,2
832,2
833,3
834,5
835,3
836,NA
837,NA
838,20
839,3
840,NA
841,NA
842,NA
843,1
844,NA
845,1
846,1
847,1
848,1
849,2
850,NA
851,1
852,5
853,2
854,2
855,1
856,1
857,1
858,2
859,1
860,1
861,1
862,4
863,NA
864,2
865,1
866,1
867,2
868,NA
869,NA
870,NA
871,NA
872,NA
873,NA
874,NA
875,NA
876,NA
877,NA
878,NA
879,2
880,NA
881,NA
882,2
883,1
884,NA
885,NA
886,NA
887,2
888,NA
889,1
890,2
891,1
892,1
893,1
894,NA
895,3
896,1
897,8
898,NA
899,NA
900,NA
901,NA
902,2
903,1
904,1
905,3
906,1
907,NA
908,NA
909,2
910,1
911,3
912,1
913,1
914,NA
915,3
916,3
917,NA
918,3
919,2
920,NA
921,NA
922,2
923,NA
924,NA
925,2
926,NA
927,NA
928,NA
929,1
930,1
931,1
932,1
933,2
934,3
935,1
936,3
937,NA
938,NA
939,1
940,1
941,1
942,NA
943,1
944,NA
945,2
946,NA
947,1
948,NA
949,NA
950,1
951,NA
952,NA
953,NA
954,NA
955,NA
956,2
957,1
958,4
959,NA
960,NA
961,2
962,NA
963,1
964,NA
965,NA
966,1
967,1
968,3
969,4
970,2
971,NA
972,NA
973,NA
974,2
975,NA
976,1
977,NA
978,NA
979,NA
980,NA
981,NA
982,1
983,1
984,NA
985,2
986,NA
987,1
988,NA
989,1
990,NA
991,NA
992,NA
993,NA
994,NA
995,NA
996,4
997,1
998,NA
999,NA
1000,NA
1001,NA
1002,NA
1003,NA
1004,1
1005,2
1006,1
1007,NA
1008,NA
1009,NA
1010,NA
1011,NA
1012,NA
1013,1
1014,NA
1015,NA
1016,NA
1017,NA
1018,NA
1019,2
1020,NA
1021,NA
1022,NA
1023,NA
1024,NA
1025,NA
1026,NA
1027,NA
1028,NA
1029,NA
1030,NA
1031,NA
1032,NA
1033,1
1034,NA
1035,NA
1036,NA
1037,2
1038,NA
1039,NA
1040,4
1041,1
1042,1
1043,1
1044,1
1045,NA
1046,1
1047,2
1048,NA
1049,1
1050,NA
1051,2
1052,NA
1053,1
1054,NA
1055,2
1056,NA
1057,1
1058,1
1059,NA
1060,5
1061,3
1062,2
1063,NA
1064,2
1065,4
1066,3
1067,2
1068,NA
1069,NA
1070,NA
1071,NA
1072,NA
1073,2
1074,2
1075,NA
1076,2
1077,1
1078,2
1079,1
1080,1
1081,2
1082,NA
1083,3
1084,NA
1085,NA
1086,1
1087,NA
1088,1
1089,NA
1090,NA
1091,NA
1092,1
1093,3
1094,4
1095,3
1096,NA
1097,NA
1098,6
1099,1
1100,3
1101,3
1102,2
1103,NA
1104,2
1105,1
1106,NA
1107,NA
1108,NA
1109,NA
1110,1
1111,3
1112,1
1113,NA
1114,NA
1115,1
1116,1
1117,NA
1118,1
1119,NA
1120,2
1121,2
1122,NA
1123,NA
1124,2
