,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,129
54,351
55,160
56,116
57,156
58,140
59,97
60,80
61,89
62,100
63,97
64,148
65,124
66,96
67,55
68,75
69,72
70,48
71,65
72,51
73,51
74,38
75,66
76,42
77,45
78,33
79,19
80,25
81,39
82,16
83,35
84,24
85,23
86,15
87,11
88,24
89,10
90,13
91,33
92,14
93,55
94,40
95,24
96,33
97,47
98,74
99,73
100,54
101,50
102,115
103,63
104,30
105,32
106,23
107,40
108,35
109,54
110,44
111,61
112,48
113,70
114,91
115,NA
116,111
117,97
118,59
119,65
120,133
121,62
122,44
123,119
124,77
125,79
126,60
127,105
128,120
129,23
130,39
131,21
132,55
133,38
134,34
135,28
136,31
137,21
138,18
139,16
140,5
141,14
142,12
143,25
144,18
145,47
146,43
147,70
148,70
149,42
150,50
151,65
152,58
153,63
154,102
155,71
156,69
157,41
158,NA
159,98
160,86
161,103
162,97
163,55
164,43
165,74
166,108
167,82
168,70
169,83
170,56
171,93
172,94
173,59
174,64
175,85
176,34
177,42
178,69
179,43
180,67
181,101
182,36
183,46
184,35
185,41
186,42
187,41
188,29
189,18
190,18
191,37
192,25
193,8
194,10
195,16
196,25
197,29
198,13
199,34
200,61
201,31
202,NA
203,20
204,51
205,18
206,46
207,20
208,45
209,10
210,24
211,63
212,40
213,65
214,49
215,61
216,38
217,98
218,NA
219,111
220,111
221,111
222,64
223,154
224,81
225,53
226,24
227,44
228,73
229,55
230,64
231,66
232,61
233,100
234,79
235,37
236,31
237,32
238,31
239,23
240,23
241,22
242,8
243,17
244,17
245,11
246,12
247,17
248,10
249,14
250,18
251,29
252,22
253,40
254,47
255,33
256,58
257,67
258,108
259,66
260,52
261,123
262,66
263,42
264,NA
265,111
266,NA
267,82
268,140
269,87
270,107
271,100
272,72
273,89
274,94
275,56
276,85
277,93
278,86
279,112
280,94
281,65
282,105
283,60
284,72
285,137
286,69
287,48
288,NA
289,38
290,20
291,27
292,15
293,16
294,19
295,17
296,9
297,5
298,NA
299,10
300,8
301,11
302,6
303,9
304,15
305,16
306,23
307,42
308,NA
309,24
310,21
311,37
312,52
313,28
314,NA
315,50
316,NA
317,82
318,32
319,89
320,60
321,59
322,84
323,95
324,82
325,74
326,110
327,91
328,110
329,84
330,97
331,89
332,81
333,93
334,93
335,65
336,53
337,90
338,76
339,74
340,96
341,69
342,46
343,47
344,30
345,46
346,33
347,24
348,23
349,24
350,24
351,5
352,5
353,13
354,NA
355,14
356,NA
357,6
358,13
359,11
360,23
361,55
362,32
363,48
364,34
365,44
366,32
367,46
368,NA
369,42
370,29
371,41
372,48
373,44
374,80
375,95
376,61
377,101
378,84
379,197
380,218
381,180
382,163
383,152
384,140
385,146
386,115
387,125
388,174
389,120
390,150
391,63
392,93
393,NA
394,37
395,42
396,35
397,14
398,10
399,17
400,16
401,15
402,8
403,6
404,12
405,9
406,9
407,6
408,NA
409,8
410,13
411,9
412,13
413,37
414,10
415,25
416,28
417,142
418,28
419,127
420,32
421,20
422,7
423,30
424,27
425,26
426,37
427,26
428,20
429,39
430,31
431,62
432,26
433,50
434,65
435,39
436,79
437,76
438,64
439,27
440,31
441,39
442,37
443,33
444,36
445,15
446,14
447,14
448,9
449,5
450,8
451,18
452,10
453,10
454,7
455,10
456,3
457,5
458,12
459,3
460,14
461,6
462,6
463,17
464,9
465,53
466,14
467,91
468,46
469,35
470,32
471,16
472,41
473,32
474,17
475,NA
476,37
477,34
478,15
479,31
480,14
481,37
482,13
483,19
484,27
485,42
486,24
487,16
488,56
489,31
490,20
491,40
492,35
493,35
494,43
495,23
496,26
497,30
498,21
499,21
500,22
501,16
502,13
503,8
504,6
505,7
506,7
507,3
508,1
509,2
510,6
511,2
512,3
513,4
514,4
515,4
516,3
517,7
518,5
519,8
520,7
521,7
522,8
523,3
524,10
525,6
526,8
527,20
528,2
529,NA
530,3
531,4
532,8
533,3
534,3
535,14
536,7
537,6
538,5
539,4
540,8
541,2
542,5
543,9
544,3
545,7
546,6
547,11
548,7
549,3
550,4
551,3
552,NA
553,3
554,3
555,1
556,5
557,1
558,NA
559,1
560,NA
561,4
562,NA
563,1
564,2
565,6
566,5
567,3
568,7
569,2
570,6
571,7
572,12
573,1
574,2
575,1
576,6
577,4
578,2
579,2
580,1
581,1
582,4
583,NA
584,3
585,6
586,2
587,8
588,8
589,3
590,3
591,2
592,5
593,5
594,17
595,4
596,2
597,4
598,NA
599,1
600,5
601,NA
602,2
603,8
604,NA
605,2
606,2
607,1
608,1
609,1
610,6
611,1
612,3
613,1
614,1
615,1
616,NA
617,2
618,1
619,4
620,NA
621,2
622,1
623,3
624,NA
625,2
626,2
627,NA
628,1
629,2
630,3
631,NA
632,4
633,3
634,1
635,2
636,1
637,2
638,3
639,1
640,8
641,5
642,6
643,2
644,5
645,5
646,9
647,2
648,NA
649,4
650,3
651,2
652,3
653,NA
654,3
655,1
656,6
657,NA
658,NA
659,2
660,3
661,1
662,1
663,NA
664,1
665,1
666,2
667,1
668,1
669,NA
670,NA
671,NA
672,4
673,NA
674,2
675,NA
676,NA
677,3
678,3
679,1
680,14
681,4
682,NA
683,3
684,3
685,NA
686,2
687,6
688,1
689,3
690,NA
691,9
692,2
693,4
694,6
695,26
696,3
697,6
698,NA
699,1
700,2
701,NA
702,4
703,NA
704,5
705,NA
706,NA
707,2
708,1
709,NA
710,2
711,1
712,NA
713,NA
714,4
715,2
716,1
717,1
718,NA
719,3
720,3
721,1
722,3
723,4
724,2
725,7
726,3
727,1
728,4
729,5
730,3
731,NA
732,NA
733,3
734,1
735,1
736,NA
737,1
738,6
739,2
740,1
741,6
742,1
743,1
744,1
745,4
746,1
747,1
748,3
749,1
750,4
751,4
752,1
753,4
754,3
755,2
756,1
757,4
758,NA
759,3
760,2
761,NA
762,NA
763,NA
764,2
765,3
766,1
767,1
768,3
769,2
770,1
771,3
772,1
773,2
774,1
775,NA
776,1
777,1
778,NA
779,1
780,1
781,5
782,11
783,5
784,NA
785,7
786,3
787,3
788,NA
789,2
790,6
791,1
792,14
793,4
794,1
795,3
796,4
797,2
798,12
799,5
800,5
801,1
802,3
803,1
804,3
805,4
806,2
807,1
808,NA
809,1
810,NA
811,1
812,NA
813,NA
814,NA
815,1
816,NA
817,NA
818,1
819,NA
820,3
821,2
822,2
823,NA
824,NA
825,NA
826,1
827,NA
828,1
829,2
830,2
831,1
832,NA
833,1
834,NA
835,NA
836,1
837,4
838,16
839,NA
840,1
841,NA
842,NA
843,3
844,NA
845,NA
846,3
847,NA
848,NA
849,NA
850,NA
851,2
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,3
861,1
862,1
863,1
864,2
865,NA
866,1
867,2
868,NA
869,NA
870,2
871,1
872,1
873,NA
874,1
875,1
876,3
877,NA
878,1
879,2
880,2
881,1
882,NA
883,2
884,NA
885,2
886,4
887,NA
888,NA
889,1
890,1
891,3
892,1
893,NA
894,NA
895,1
896,1
897,1
898,1
899,1
900,1
901,NA
902,2
903,2
904,3
905,1
906,1
907,2
908,1
909,1
910,NA
911,NA
912,2
913,1
914,1
915,NA
916,1
917,3
918,NA
919,NA
920,NA
921,NA
922,NA
923,1
924,NA
925,NA
926,NA
927,2
928,4
929,NA
930,NA
931,NA
932,NA
933,NA
934,NA
935,2
936,NA
937,NA
938,1
939,NA
940,NA
941,NA
942,NA
943,2
944,1
945,NA
946,1
947,NA
948,NA
949,NA
950,2
951,NA
952,2
953,2
954,6
955,5
956,3
957,3
958,NA
959,1
960,2
961,2
962,1
963,2
964,4
965,2
966,1
967,NA
968,3
969,3
970,2
971,NA
972,3
973,NA
974,1
975,NA
976,1
977,NA
978,NA
979,NA
980,NA
981,NA
982,1
983,1
984,1
985,NA
986,2
987,3
988,1
989,NA
990,3
991,2
992,2
993,1
994,2
995,NA
996,NA
997,NA
998,1
999,4
1000,2
1001,NA
1002,NA
1003,7
1004,1
1005,1
1006,1
1007,2
1008,1
1009,2
1010,1
1011,NA
1012,2
1013,1
1014,NA
1015,1
1016,1
1017,1
1018,1
1019,NA
1020,1
1021,1
1022,NA
1023,1
1024,1
1025,NA
1026,1
1027,NA
1028,1
1029,1
1030,NA
1031,NA
1032,NA
1033,NA
1034,NA
1035,1
1036,1
1037,1
1038,2
1039,1
1040,3
1041,NA
1042,NA
1043,NA
1044,NA
1045,NA
1046,1
1047,NA
1048,NA
1049,NA
1050,NA
1051,NA
1052,NA
1053,NA
1054,1
1055,2
1056,1
1057,NA
1058,1
1059,NA
1060,NA
1061,3
1062,3
1063,NA
1064,NA
1065,1
1066,1
1067,1
1068,1
1069,1
1070,2
1071,3
1072,2
1073,2
1074,NA
1075,NA
1076,NA
1077,1
1078,NA
1079,NA
1080,1
1081,1
1082,NA
1083,NA
1084,NA
1085,NA
1086,NA
1087,1
1088,NA
1089,1
1090,1
1091,1
1092,1
1093,NA
1094,2
1095,NA
1096,NA
1097,NA
1098,1
1099,NA
1100,1
1101,NA
1102,NA
1103,NA
1104,NA
1105,NA
1106,NA
1107,NA
1108,NA
1109,1
1110,1
1111,NA
1112,NA
1113,NA
1114,NA
1115,NA
1116,1
1117,1
1118,NA
1119,NA
1120,1
1121,NA
1122,1
1123,NA
1124,NA
1125,NA
1126,NA
1127,NA
1128,NA
1129,1
1130,NA
1131,NA
1132,NA
