,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,NA
63,NA
64,NA
65,NA
66,NA
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,17
361,10
362,27
363,NA
364,7
365,8
366,9
367,8
368,6
369,4
370,17
371,12
372,7
373,6
374,8
375,6
376,3
377,2
378,3
379,4
380,5
381,1
382,6
383,11
384,7
385,2
386,3
387,6
388,6
389,4
390,3
391,8
392,6
393,6
394,2
395,7
396,6
397,4
398,5
399,7
400,5
401,6
402,6
403,4
404,6
405,6
406,2
407,1
408,7
409,4
410,2
411,4
412,6
413,5
414,0
415,3
416,4
417,1
418,1
419,2
420,1
421,3
422,1
423,2
424,3
425,2
426,2
427,0
428,3
429,8
430,0
431,1
432,0
433,1
434,1
435,1
436,2
437,4
438,3
439,3
440,3
441,4
442,4
443,3
444,4
445,6
446,5
447,4
448,1
449,4
450,7
451,11
452,7
453,4
454,6
455,5
456,6
457,2
458,4
459,5
460,0
461,1
462,3
463,3
464,3
465,2
466,2
467,1
468,1
469,1
470,2
471,NA
472,2
473,1
474,7
475,0
476,1
477,0
478,2
479,3
480,3
481,2
482,2
483,4
484,3
485,0
486,3
487,4
488,11
489,14
490,11
491,15
492,31
493,36
494,51
495,77
496,88
497,99
498,98
499,89
500,89
501,56
502,51
503,62
504,49
505,53
506,56
507,66
508,65
509,68
510,57
511,87
512,72
513,61
514,49
515,44
516,24
517,27
518,12
519,15
520,19
521,12
522,16
523,5
524,10
525,7
526,6
527,6
528,6
529,6
530,3
531,12
532,2
533,1
534,2
535,2
536,4
537,4
538,7
539,4
540,1
541,4
542,3
543,3
544,9
545,5
546,6
547,4
548,5
549,6
550,3
551,4
552,3
553,9
554,2
555,3
556,6
557,8
558,7
559,8
560,10
561,4
562,6
563,7
564,6
565,2
566,3
567,5
568,5
569,2
570,5
571,3
572,2
573,1
574,5
575,3
576,2
577,2
578,1
579,3
580,2
581,3
582,3
583,5
584,6
585,3
586,0
587,4
588,0
589,3
590,5
591,2
592,2
593,4
594,2
595,1
596,3
597,1
598,2
599,5
600,4
601,3
602,2
603,4
604,6
605,4
606,5
607,6
608,2
609,9
610,4
611,3
612,3
613,5
614,5
615,3
616,4
617,4
618,5
619,6
620,2
621,1
622,8
623,2
624,3
625,2
626,0
627,3
628,1
629,2
630,3
631,1
632,1
633,1
634,0
635,0
636,2
637,1
638,3
639,2
640,3
641,3
642,3
643,0
644,1
645,1
646,4
647,2
648,0
649,2
650,1
651,4
652,4
653,3
654,3
655,5
656,4
657,5
658,3
659,1
660,3
661,2
662,3
663,4
664,4
665,5
666,4
667,4
668,8
669,5
670,4
671,5
672,4
673,4
674,4
675,7
676,6
677,1
678,2
679,2
680,8
681,4
682,4
683,3
684,9
685,3
686,5
687,4
688,2
689,6
690,7
691,3
692,6
693,6
694,10
695,11
696,13
697,20
698,36
699,92
700,163
701,273
702,273
703,340
704,297
705,266
706,207
707,154
708,120
709,85
710,107
711,75
712,63
713,44
714,49
715,69
716,53
717,45
718,51
719,42
720,38
721,31
722,11
723,26
724,21
725,23
726,24
727,21
728,14
729,6
730,26
731,13
732,13
733,15
734,11
735,13
736,8
737,13
738,10
739,11
740,13
741,9
742,5
743,7
744,5
745,6
746,2
747,3
748,3
749,7
750,3
751,6
752,3
753,9
754,20
755,32
756,33
757,32
758,29
759,35
760,21
761,19
762,20
763,34
764,24
765,24
766,24
767,19
768,27
769,26
770,29
771,26
772,20
773,21
774,11
775,8
776,12
777,14
778,4
779,6
780,7
781,9
782,4
783,5
784,7
785,1
786,1
787,0
788,2
789,9
790,1
791,3
792,1
793,4
794,5
795,3
796,1
797,4
798,4
799,3
800,0
801,4
802,5
803,4
804,5
805,3
806,2
807,6
808,7
809,7
810,8
811,7
812,15
813,16
814,9
815,8
816,11
817,12
818,25
819,13
820,15
821,18
822,18
823,10
824,13
825,8
826,4
827,11
828,8
829,11
830,9
831,7
832,13
833,6
834,4
835,4
836,3
837,3
838,1
839,2
840,2
841,0
842,0
843,0
844,3
845,1
846,0
847,0
848,3
849,4
850,4
851,2
852,2
853,5
854,3
855,2
856,5
857,6
858,4
859,6
860,9
861,7
862,8
863,19
864,21
865,34
866,33
867,36
868,25
869,44
870,38
871,37
872,46
873,35
874,30
875,17
876,25
877,17
878,14
879,24
880,14
881,12
882,11
883,9
884,3
885,5
886,0
887,5
888,2
889,2
890,1
891,4
892,3
893,2
894,2
895,1
896,2
897,1
898,6
899,0
900,0
901,1
902,2
903,0
904,0
905,0
906,0
907,2
908,2
909,2
910,1
911,1
912,2
913,1
914,4
915,4
916,8
917,5
918,NA
919,5
920,11
921,NA
922,3
923,5
924,2
925,2
926,7
927,1
928,4
929,2
930,0
931,1
932,0
933,1
934,0
935,2
936,4
937,1
938,1
939,0
940,0
941,3
942,1
943,NA
944,0
945,2
946,0
947,0
948,2
949,1
950,1
951,0
952,0
953,0
954,3
955,1
956,4
957,3
958,3
959,3
960,2
961,17
962,4
963,13
964,14
965,16
966,18
967,45
968,51
969,46
970,57
971,NA
972,55
973,50
974,50
975,45
976,42
977,NA
978,57
979,42
980,30
981,34
982,35
983,20
984,22
985,NA
986,24
987,15
988,21
989,7
990,8
991,NA
992,8
993,16
994,NA
995,10
996,9
997,2
998,3
999,3
1000,4
1001,2
1002,2
1003,3
1004,3
1005,4
1006,2
1007,2
1008,3
1009,NA
1010,5
1011,4
1012,9
1013,9
1014,15
1015,11
1016,15
1017,36
1018,14
1019,27
1020,15
1021,18
1022,20
1023,12
1024,23
1025,13
1026,13
1027,21
1028,14
1029,9
1030,NA
1031,8
1032,10
1033,10
1034,NA
1035,9
1036,2
1037,1
1038,5
1039,2
1040,5
1041,3
1042,NA
1043,2
1044,2
1045,0
1046,1
1047,2
1048,1
1049,2
1050,3
1051,NA
1052,1
1053,1
1054,1
1055,2
1056,1
1057,1
1058,NA
1059,1
1060,1
1061,3
1062,3
1063,2
1064,5
1065,7
1066,5
1067,6
1068,7
1069,7
1070,3
1071,8
1072,1
1073,9
1074,8
1075,7
1076,NA
1077,16
1078,6
1079,7
1080,8
1081,10
1082,10
1083,5
1084,8
1085,6
1086,5
1087,5
1088,5
1089,2
1090,3
1091,8
1092,2
1093,2
1094,3
1095,1
1096,3
1097,2
1098,4
1099,1
1100,2
1101,1
1102,3
1103,3
1104,2
1105,NA
1106,1
1107,2
1108,5
1109,0
1110,0
