,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,NA
63,NA
64,NA
65,NA
66,NA
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,0
361,2
362,2
363,NA
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,2
374,0
375,1
376,0
377,0
378,0
379,0
380,1
381,0
382,0
383,1
384,0
385,0
386,0
387,2
388,1
389,1
390,0
391,0
392,2
393,0
394,1
395,0
396,1
397,0
398,0
399,0
400,2
401,0
402,0
403,1
404,NA
405,1
406,1
407,0
408,0
409,0
410,0
411,0
412,0
413,2
414,0
415,1
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,1
427,1
428,1
429,0
430,1
431,0
432,4
433,4
434,5
435,4
436,1
437,0
438,1
439,0
440,2
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,2
451,2
452,0
453,0
454,0
455,0
456,1
457,1
458,0
459,0
460,0
461,0
462,0
463,2
464,0
465,0
466,0
467,0
468,1
469,0
470,0
471,NA
472,1
473,0
474,1
475,0
476,0
477,0
478,0
479,2
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,2
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,2
509,2
510,0
511,1
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,1
521,0
522,0
523,0
524,1
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,1
538,0
539,0
540,1
541,0
542,0
543,0
544,0
545,0
546,0
547,1
548,0
549,1
550,0
551,0
552,1
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,1
561,3
562,0
563,1
564,1
565,1
566,0
567,1
568,0
569,1
570,0
571,0
572,1
573,1
574,0
575,0
576,0
577,1
578,0
579,0
580,0
581,1
582,1
583,0
584,0
585,0
586,0
587,1
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,2
617,0
618,0
619,0
620,0
621,0
622,0
623,1
624,0
625,0
626,1
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,1
637,1
638,0
639,0
640,1
641,0
642,0
643,0
644,0
645,1
646,0
647,1
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,2
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,1
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,1
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,2
688,0
689,1
690,0
691,0
692,2
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,6
704,1
705,0
706,1
707,0
708,0
709,0
710,1
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,1
724,0
725,0
726,0
727,0
728,0
729,0
730,2
731,0
732,1
733,0
734,0
735,0
736,0
737,1
738,0
739,1
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,1
750,1
751,0
752,1
753,1
754,0
755,0
756,0
757,2
758,0
759,0
760,1
761,0
762,2
763,1
764,1
765,0
766,0
767,0
768,0
769,1
770,0
771,0
772,0
773,1
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,1
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,1
801,0
802,0
803,0
804,0
805,0
806,2
807,0
808,2
809,1
810,0
811,0
812,0
813,0
814,0
815,3
816,0
817,4
818,2
819,0
820,1
821,0
822,9
823,1
824,3
825,1
826,1
827,2
828,1
829,2
830,2
831,0
832,0
833,1
834,1
835,2
836,0
837,0
838,0
839,0
840,0
841,2
842,0
843,2
844,2
845,0
846,0
847,0
848,2
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,1
857,0
858,0
859,0
860,1
861,0
862,0
863,0
864,0
865,1
866,0
867,2
868,3
869,1
870,2
871,4
872,1
873,2
874,0
875,2
876,1
877,0
878,0
879,1
880,1
881,3
882,0
883,0
884,0
885,1
886,0
887,1
888,0
889,1
890,0
891,1
892,0
893,0
894,2
895,1
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,1
905,1
906,1
907,3
908,1
909,3
910,1
911,0
912,1
913,1
914,0
915,1
916,1
917,1
918,NA
919,2
920,0
921,NA
922,1
923,0
924,1
925,0
926,0
927,0
928,1
929,1
930,0
931,0
932,0
933,1
934,0
935,0
936,0
937,0
938,1
939,1
940,0
941,1
942,0
943,NA
944,0
945,1
946,0
947,1
948,0
949,0
950,1
951,2
952,1
953,1
954,0
955,1
956,0
957,3
958,6
959,1
960,1
961,1
962,3
963,1
964,1
965,0
966,4
967,3
968,3
969,2
970,1
971,NA
972,3
973,2
974,7
975,1
976,4
977,NA
978,0
979,0
980,0
981,1
982,1
983,0
984,2
985,NA
986,0
987,0
988,0
989,0
990,0
991,NA
992,0
993,0
994,NA
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,1
1005,1
1006,0
1007,0
1008,0
1009,NA
1010,0
1011,0
1012,1
1013,0
1014,1
1015,1
1016,0
1017,0
1018,1
1019,0
1020,0
1021,1
1022,1
1023,0
1024,2
1025,2
1026,3
1027,0
1028,2
1029,0
1030,NA
1031,1
1032,1
1033,1
1034,NA
1035,1
1036,1
1037,1
1038,0
1039,2
1040,2
1041,3
1042,NA
1043,0
1044,3
1045,1
1046,1
1047,2
1048,2
1049,2
1050,1
1051,NA
1052,2
1053,3
1054,3
1055,6
1056,2
1057,5
1058,NA
1059,1
1060,2
1061,1
1062,6
1063,1
1064,10
1065,5
1066,3
1067,3
1068,15
1069,10
1070,6
1071,11
1072,13
1073,16
1074,27
1075,13
1076,NA
1077,14
1078,16
1079,4
1080,4
1081,6
1082,9
1083,7
1084,6
1085,3
1086,1
1087,7
1088,0
1089,4
1090,2
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,1
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,1
1105,NA
1106,0
1107,0
1108,0
1109,0
