,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,NA
63,NA
64,NA
65,NA
66,NA
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,4
361,3
362,7
363,NA
364,3
365,3
366,2
367,1
368,2
369,4
370,3
371,2
372,1
373,1
374,1
375,3
376,1
377,2
378,0
379,1
380,1
381,0
382,0
383,1
384,0
385,1
386,0
387,1
388,2
389,0
390,0
391,1
392,0
393,4
394,3
395,3
396,3
397,1
398,5
399,6
400,8
401,4
402,4
403,6
404,1
405,7
406,3
407,4
408,6
409,2
410,4
411,2
412,2
413,2
414,2
415,1
416,0
417,0
418,0
419,2
420,2
421,3
422,1
423,0
424,0
425,1
426,1
427,1
428,0
429,2
430,2
431,0
432,1
433,0
434,1
435,1
436,1
437,1
438,3
439,0
440,1
441,0
442,0
443,2
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,3
452,4
453,6
454,1
455,4
456,3
457,2
458,5
459,12
460,3
461,3
462,2
463,3
464,0
465,1
466,0
467,0
468,0
469,1
470,2
471,NA
472,2
473,0
474,0
475,2
476,1
477,2
478,2
479,3
480,2
481,0
482,0
483,1
484,0
485,0
486,0
487,0
488,0
489,0
490,2
491,0
492,1
493,1
494,0
495,3
496,5
497,3
498,2
499,6
500,47
501,11
502,14
503,8
504,19
505,19
506,36
507,27
508,43
509,23
510,27
511,19
512,28
513,17
514,19
515,15
516,6
517,11
518,9
519,5
520,6
521,4
522,6
523,3
524,9
525,4
526,4
527,4
528,3
529,0
530,1
531,2
532,4
533,1
534,0
535,1
536,1
537,1
538,0
539,1
540,3
541,1
542,1
543,1
544,0
545,1
546,0
547,2
548,4
549,2
550,3
551,12
552,15
553,15
554,26
555,36
556,38
557,42
558,39
559,51
560,62
561,51
562,61
563,35
564,32
565,37
566,33
567,27
568,17
569,8
570,20
571,13
572,6
573,2
574,1
575,5
576,6
577,5
578,5
579,10
580,4
581,3
582,3
583,0
584,0
585,0
586,1
587,1
588,1
589,3
590,1
591,3
592,0
593,2
594,1
595,2
596,1
597,3
598,3
599,1
600,4
601,3
602,4
603,6
604,10
605,10
606,6
607,5
608,6
609,11
610,8
611,7
612,8
613,8
614,7
615,5
616,8
617,6
618,4
619,6
620,5
621,3
622,1
623,3
624,0
625,1
626,2
627,2
628,1
629,2
630,1
631,1
632,1
633,0
634,2
635,0
636,1
637,1
638,1
639,0
640,0
641,2
642,3
643,0
644,0
645,3
646,1
647,0
648,1
649,1
650,1
651,3
652,4
653,3
654,3
655,7
656,7
657,7
658,6
659,16
660,17
661,14
662,8
663,21
664,12
665,15
666,12
667,12
668,6
669,5
670,5
671,1
672,2
673,1
674,1
675,0
676,1
677,4
678,3
679,1
680,0
681,1
682,1
683,2
684,1
685,1
686,1
687,1
688,0
689,1
690,0
691,2
692,0
693,2
694,2
695,1
696,1
697,1
698,0
699,2
700,1
701,2
702,1
703,1
704,5
705,3
706,5
707,4
708,7
709,10
710,10
711,17
712,14
713,17
714,9
715,9
716,9
717,12
718,8
719,11
720,10
721,15
722,2
723,4
724,3
725,3
726,2
727,0
728,0
729,2
730,1
731,0
732,0
733,0
734,0
735,1
736,1
737,2
738,0
739,1
740,2
741,1
742,0
743,1
744,1
745,1
746,0
747,1
748,1
749,0
750,0
751,0
752,1
753,1
754,2
755,0
756,2
757,2
758,5
759,2
760,4
761,10
762,13
763,13
764,9
765,19
766,22
767,18
768,12
769,14
770,23
771,16
772,7
773,12
774,5
775,6
776,3
777,7
778,6
779,1
780,4
781,3
782,3
783,0
784,0
785,5
786,0
787,0
788,0
789,1
790,1
791,0
792,0
793,3
794,2
795,0
796,1
797,0
798,0
799,0
800,0
801,0
802,1
803,1
804,0
805,5
806,1
807,4
808,3
809,2
810,8
811,2
812,7
813,12
814,11
815,9
816,15
817,19
818,30
819,52
820,48
821,75
822,70
823,94
824,53
825,45
826,39
827,25
828,25
829,9
830,8
831,6
832,4
833,1
834,1
835,4
836,3
837,0
838,1
839,2
840,1
841,0
842,0
843,1
844,1
845,2
846,2
847,3
848,2
849,0
850,1
851,0
852,1
853,1
854,1
855,1
856,1
857,0
858,1
859,0
860,1
861,2
862,2
863,8
864,11
865,26
866,28
867,32
868,54
869,46
870,106
871,130
872,81
873,66
874,72
875,37
876,16
877,10
878,16
879,18
880,4
881,4
882,2
883,6
884,2
885,0
886,0
887,4
888,1
889,1
890,0
891,3
892,0
893,1
894,0
895,1
896,1
897,2
898,1
899,3
900,0
901,0
902,2
903,2
904,2
905,0
906,0
907,1
908,1
909,0
910,2
911,3
912,1
913,4
914,2
915,2
916,1
917,3
918,NA
919,8
920,7
921,NA
922,3
923,10
924,3
925,6
926,6
927,3
928,1
929,2
930,1
931,2
932,0
933,1
934,0
935,0
936,1
937,1
938,0
939,3
940,3
941,1
942,0
943,NA
944,2
945,0
946,1
947,1
948,1
949,1
950,0
951,2
952,1
953,3
954,1
955,0
956,1
957,0
958,2
959,2
960,1
961,2
962,1
963,1
964,2
965,2
966,0
967,5
968,6
969,7
970,4
971,NA
972,13
973,14
974,9
975,13
976,16
977,NA
978,13
979,7
980,7
981,5
982,8
983,6
984,2
985,NA
986,3
987,1
988,1
989,1
990,1
991,NA
992,0
993,0
994,NA
995,1
996,2
997,0
998,1
999,1
1000,1
1001,0
1002,0
1003,0
1004,1
1005,2
1006,0
1007,0
1008,0
1009,NA
1010,1
1011,0
1012,0
1013,0
1014,2
1015,1
1016,1
1017,3
1018,1
1019,0
1020,1
1021,4
1022,7
1023,4
1024,7
1025,21
1026,20
1027,40
1028,59
1029,62
1030,NA
1031,27
1032,43
1033,42
1034,NA
1035,31
1036,28
1037,21
1038,26
1039,16
1040,5
1041,8
1042,NA
1043,3
1044,3
1045,4
1046,2
1047,2
1048,0
1049,2
1050,2
1051,NA
1052,1
1053,1
1054,0
1055,0
1056,1
1057,0
1058,NA
1059,0
1060,0
1061,0
1062,0
1063,1
1064,1
1065,0
1066,3
1067,3
1068,7
1069,0
1070,5
1071,9
1072,5
1073,4
1074,13
1075,8
1076,NA
1077,23
1078,31
1079,21
1080,25
1081,25
1082,31
1083,18
1084,25
1085,16
1086,12
1087,20
1088,15
1089,12
1090,5
1091,6
1092,4
1093,5
1094,6
1095,2
1096,3
1097,0
1098,1
1099,2
1100,1
1101,2
1102,0
1103,1
1104,1
1105,NA
1106,1
1107,1
1108,2
1109,0
1110,0
