,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,NA
63,NA
64,NA
65,NA
66,NA
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,1
361,4
362,2
363,NA
364,1
365,1
366,0
367,1
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,0
377,0
378,1
379,2
380,1
381,0
382,1
383,1
384,2
385,0
386,2
387,1
388,0
389,1
390,1
391,0
392,1
393,2
394,2
395,1
396,4
397,6
398,4
399,8
400,8
401,11
402,25
403,34
404,14
405,14
406,10
407,8
408,8
409,2
410,4
411,9
412,2
413,5
414,2
415,2
416,0
417,0
418,0
419,0
420,1
421,0
422,1
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,1
435,2
436,0
437,0
438,1
439,0
440,0
441,1
442,0
443,0
444,2
445,0
446,3
447,2
448,0
449,0
450,1
451,0
452,3
453,0
454,3
455,1
456,0
457,0
458,3
459,0
460,2
461,1
462,1
463,0
464,0
465,0
466,0
467,0
468,1
469,0
470,0
471,NA
472,0
473,1
474,0
475,0
476,0
477,1
478,0
479,0
480,0
481,2
482,0
483,0
484,0
485,0
486,0
487,0
488,1
489,0
490,0
491,1
492,0
493,2
494,0
495,0
496,10
497,6
498,10
499,16
500,10
501,15
502,25
503,12
504,19
505,11
506,28
507,18
508,17
509,17
510,13
511,20
512,13
513,45
514,26
515,11
516,8
517,2
518,7
519,2
520,7
521,3
522,2
523,0
524,2
525,2
526,1
527,2
528,1
529,0
530,3
531,0
532,0
533,0
534,0
535,2
536,0
537,0
538,0
539,0
540,1
541,0
542,2
543,2
544,0
545,2
546,1
547,1
548,0
549,1
550,1
551,3
552,10
553,13
554,29
555,31
556,39
557,50
558,48
559,76
560,62
561,56
562,58
563,60
564,37
565,30
566,30
567,27
568,20
569,4
570,13
571,8
572,9
573,1
574,1
575,3
576,0
577,1
578,0
579,0
580,0
581,0
582,1
583,0
584,1
585,0
586,1
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,3
600,2
601,2
602,1
603,3
604,3
605,6
606,5
607,8
608,7
609,11
610,9
611,8
612,2
613,9
614,5
615,4
616,4
617,3
618,3
619,1
620,1
621,0
622,1
623,0
624,0
625,0
626,2
627,1
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,1
649,1
650,0
651,2
652,0
653,1
654,3
655,10
656,10
657,4
658,11
659,17
660,18
661,31
662,25
663,28
664,36
665,23
666,27
667,19
668,13
669,11
670,12
671,4
672,0
673,2
674,3
675,0
676,0
677,0
678,1
679,1
680,1
681,1
682,1
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,1
692,0
693,0
694,1
695,0
696,0
697,0
698,0
699,1
700,0
701,0
702,0
703,0
704,1
705,1
706,1
707,0
708,1
709,6
710,1
711,10
712,1
713,8
714,4
715,8
716,1
717,4
718,4
719,9
720,4
721,1
722,6
723,6
724,4
725,2
726,3
727,0
728,0
729,1
730,1
731,0
732,0
733,2
734,2
735,0
736,0
737,1
738,0
739,0
740,1
741,1
742,0
743,1
744,1
745,1
746,0
747,0
748,2
749,0
750,0
751,0
752,1
753,1
754,2
755,0
756,0
757,1
758,0
759,0
760,0
761,1
762,0
763,4
764,3
765,5
766,5
767,8
768,6
769,2
770,4
771,3
772,3
773,0
774,1
775,0
776,1
777,4
778,1
779,0
780,0
781,1
782,0
783,0
784,0
785,0
786,0
787,1
788,0
789,0
790,0
791,0
792,1
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,1
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,4
814,0
815,0
816,1
817,2
818,0
819,1
820,3
821,3
822,3
823,2
824,2
825,1
826,0
827,1
828,2
829,2
830,1
831,0
832,1
833,1
834,0
835,0
836,0
837,1
838,3
839,0
840,0
841,0
842,1
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,2
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,1
861,0
862,0
863,1
864,1
865,1
866,9
867,5
868,10
869,14
870,18
871,30
872,52
873,53
874,28
875,17
876,20
877,20
878,12
879,10
880,4
881,2
882,2
883,4
884,4
885,2
886,3
887,2
888,1
889,0
890,0
891,1
892,0
893,0
894,0
895,0
896,1
897,0
898,0
899,1
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,1
909,0
910,0
911,0
912,0
913,0
914,0
915,1
916,0
917,0
918,NA
919,4
920,5
921,NA
922,1
923,3
924,6
925,4
926,0
927,3
928,1
929,1
930,0
931,0
932,0
933,0
934,1
935,0
936,0
937,1
938,0
939,0
940,1
941,0
942,0
943,NA
944,0
945,1
946,0
947,1
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,1
963,0
964,1
965,0
966,0
967,6
968,1
969,4
970,4
971,NA
972,39
973,38
974,60
975,46
976,60
977,NA
978,34
979,40
980,31
981,20
982,13
983,15
984,8
985,NA
986,9
987,3
988,3
989,8
990,1
991,NA
992,1
993,1
994,NA
995,2
996,0
997,0
998,1
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,1
1008,0
1009,NA
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,1
1017,2
1018,1
1019,0
1020,0
1021,0
1022,2
1023,1
1024,5
1025,8
1026,6
1027,12
1028,9
1029,16
1030,NA
1031,23
1032,20
1033,18
1034,NA
1035,18
1036,12
1037,11
1038,11
1039,5
1040,2
1041,2
1042,NA
1043,1
1044,1
1045,2
1046,0
1047,0
1048,0
1049,1
1050,1
1051,NA
1052,0
1053,0
1054,0
1055,1
1056,0
1057,0
1058,NA
1059,1
1060,0
1061,0
1062,0
1063,0
1064,1
1065,0
1066,0
1067,0
1068,2
1069,1
1070,2
1071,6
1072,1
1073,5
1074,3
1075,12
1076,NA
1077,14
1078,21
1079,23
1080,24
1081,24
1082,16
1083,15
1084,19
1085,11
1086,15
1087,5
1088,10
1089,2
1090,8
1091,1
1092,2
1093,2
1094,1
1095,4
1096,0
1097,0
1098,1
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,NA
1106,1
1107,0
1108,0
1109,0
1110,0
