,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,NA
63,NA
64,NA
65,NA
66,NA
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,2
361,2
362,1
363,NA
364,2
365,1
366,0
367,0
368,0
369,0
370,2
371,0
372,1
373,2
374,0
375,0
376,NA
377,0
378,0
379,1
380,1
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,1
393,0
394,0
395,1
396,2
397,0
398,1
399,0
400,0
401,0
402,0
403,1
404,1
405,1
406,0
407,0
408,1
409,0
410,0
411,0
412,1
413,1
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,1
422,0
423,1
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,1
441,0
442,0
443,0
444,0
445,1
446,0
447,1
448,1
449,0
450,0
451,0
452,0
453,0
454,0
455,1
456,0
457,0
458,0
459,0
460,0
461,1
462,0
463,1
464,0
465,0
466,0
467,0
468,0
469,0
470,1
471,NA
472,0
473,0
474,0
475,0
476,2
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,2
490,0
491,0
492,1
493,0
494,0
495,0
496,1
497,3
498,0
499,1
500,1
501,0
502,1
503,1
504,2
505,1
506,0
507,0
508,2
509,2
510,2
511,0
512,0
513,0
514,3
515,1
516,3
517,0
518,2
519,1
520,1
521,0
522,0
523,0
524,1
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,1
534,0
535,0
536,0
537,1
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,1
553,1
554,0
555,NA
556,1
557,0
558,1
559,0
560,2
561,1
562,4
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,1
574,0
575,1
576,1
577,0
578,1
579,0
580,1
581,0
582,1
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,1
610,1
611,1
612,1
613,0
614,1
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,1
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,1
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,1
660,0
661,1
662,0
663,0
664,1
665,1
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,1
674,1
675,0
676,0
677,1
678,0
679,1
680,0
681,0
682,0
683,0
684,0
685,0
686,1
687,0
688,1
689,0
690,1
691,1
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,1
704,0
705,0
706,0
707,0
708,3
709,1
710,0
711,0
712,0
713,0
714,0
715,2
716,1
717,3
718,0
719,0
720,0
721,0
722,0
723,0
724,1
725,0
726,1
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,1
740,0
741,0
742,0
743,0
744,0
745,0
746,1
747,0
748,1
749,0
750,0
751,0
752,0
753,0
754,0
755,1
756,0
757,0
758,0
759,0
760,1
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,1
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,1
778,1
779,0
780,1
781,1
782,0
783,0
784,0
785,1
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,1
805,1
806,0
807,0
808,0
809,0
810,0
811,0
812,1
813,0
814,0
815,0
816,0
817,1
818,2
819,0
820,4
821,4
822,1
823,2
824,2
825,1
826,3
827,0
828,1
829,1
830,0
831,1
832,3
833,0
834,0
835,0
836,0
837,1
838,0
839,1
840,0
841,0
842,0
843,0
844,0
845,0
846,1
847,0
848,1
849,1
850,0
851,1
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,1
863,0
864,2
865,0
866,0
867,2
868,1
869,1
870,0
871,1
872,3
873,1
874,0
875,0
876,2
877,2
878,0
879,2
880,1
881,0
882,0
883,0
884,1
885,0
886,0
887,0
888,0
889,0
890,1
891,0
892,0
893,0
894,0
895,2
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,1
907,0
908,0
909,NA
910,0
911,0
912,0
913,0
914,0
915,1
916,1
917,0
918,NA
919,0
920,0
921,NA
922,0
923,1
924,1
925,1
926,0
927,0
928,0
929,1
930,0
931,0
932,0
933,0
934,0
935,0
936,1
937,0
938,0
939,0
940,0
941,0
942,0
943,NA
944,0
945,1
946,0
947,1
948,1
949,1
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,1
964,0
965,1
966,0
967,1
968,1
969,0
970,1
971,NA
972,1
973,3
974,2
975,3
976,8
977,NA
978,10
979,8
980,19
981,9
982,7
983,3
984,3
985,NA
986,1
987,2
988,0
989,1
990,1
991,NA
992,0
993,0
994,NA
995,0
996,0
997,0
998,0
999,0
1000,NA
1001,0
1002,0
1003,1
1004,0
1005,0
1006,0
1007,0
1008,0
1009,NA
1010,0
1011,0
1012,0
1013,0
1014,1
1015,0
1016,0
1017,1
1018,0
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,2
1026,2
1027,1
1028,2
1029,1
1030,NA
1031,1
1032,0
1033,2
1034,NA
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,1
1042,NA
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,1
1050,0
1051,NA
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,NA
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,1
1070,0
1071,0
1072,1
1073,1
1074,0
1075,0
1076,NA
1077,0
1078,0
1079,1
1080,1
1081,0
1082,0
1083,1
1084,0
1085,0
1086,0
1087,1
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,1
1101,0
1102,0
1103,0
1104,0
1105,NA
1106,0
1107,0
1108,0
1109,0
