,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,1
30,NA
31,NA
32,NA
33,NA
34,NA
35,39
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,NA
63,NA
64,2
65,NA
66,NA
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,2
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,6
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,12
361,19
362,6
363,NA
364,5
365,4
366,9
367,6
368,4
369,7
370,8
371,3
372,2
373,4
374,4
375,5
376,0
377,9
378,5
379,1
380,1
381,1
382,0
383,2
384,4
385,6
386,2
387,1
388,2
389,6
390,2
391,7
392,3
393,8
394,20
395,21
396,51
397,56
398,94
399,NA
400,88
401,101
402,87
403,70
404,63
405,32
406,39
407,27
408,20
409,17
410,10
411,9
412,6
413,5
414,4
415,8
416,5
417,2
418,5
419,0
420,1
421,3
422,2
423,4
424,1
425,3
426,0
427,2
428,1
429,1
430,0
431,3
432,2
433,4
434,1
435,1
436,3
437,3
438,1
439,1
440,3
441,5
442,2
443,3
444,4
445,12
446,13
447,10
448,11
449,25
450,32
451,30
452,26
453,36
454,43
455,33
456,42
457,34
458,27
459,31
460,14
461,14
462,10
463,9
464,8
465,0
466,4
467,6
468,0
469,1
470,2
471,NA
472,0
473,3
474,0
475,4
476,3
477,2
478,2
479,1
480,4
481,1
482,2
483,0
484,1
485,2
486,1
487,2
488,6
489,1
490,0
491,2
492,0
493,2
494,4
495,4
496,1
497,10
498,12
499,15
500,13
501,25
502,48
503,72
504,29
505,47
506,60
507,61
508,65
509,50
510,51
511,50
512,19
513,18
514,20
515,16
516,11
517,4
518,8
519,4
520,3
521,1
522,4
523,3
524,7
525,0
526,1
527,0
528,4
529,3
530,2
531,1
532,0
533,0
534,2
535,2
536,5
537,2
538,3
539,1
540,5
541,4
542,4
543,4
544,1
545,5
546,6
547,7
548,5
549,36
550,57
551,204
552,433
553,676
554,600
555,555
556,612
557,554
558,430
559,430
560,327
561,275
562,239
563,160
564,184
565,92
566,74
567,52
568,42
569,16
570,17
571,11
572,15
573,7
574,17
575,9
576,5
577,1
578,7
579,5
580,6
581,5
582,10
583,1
584,1
585,2
586,2
587,0
588,1
589,1
590,2
591,0
592,1
593,1
594,2
595,4
596,3
597,2
598,3
599,7
600,4
601,3
602,9
603,4
604,6
605,12
606,17
607,27
608,22
609,20
610,20
611,20
612,18
613,16
614,17
615,13
616,9
617,7
618,5
619,4
620,5
621,4
622,0
623,6
624,1
625,0
626,6
627,1
628,0
629,0
630,3
631,2
632,1
633,1
634,2
635,1
636,0
637,1
638,3
639,0
640,0
641,2
642,0
643,1
644,2
645,0
646,1
647,2
648,2
649,0
650,2
651,1
652,7
653,4
654,13
655,27
656,45
657,73
658,100
659,137
660,133
661,164
662,123
663,133
664,84
665,77
666,59
667,40
668,31
669,29
670,18
671,13
672,10
673,6
674,5
675,8
676,7
677,2
678,2
679,2
680,2
681,0
682,2
683,0
684,2
685,1
686,0
687,1
688,1
689,1
690,0
691,0
692,3
693,1
694,0
695,1
696,4
697,2
698,0
699,2
700,1
701,3
702,8
703,8
704,3
705,7
706,9
707,11
708,9
709,6
710,9
711,6
712,12
713,14
714,10
715,14
716,19
717,12
718,6
719,11
720,6
721,7
722,1
723,2
724,4
725,1
726,3
727,3
728,1
729,2
730,1
731,1
732,2
733,0
734,0
735,0
736,3
737,1
738,1
739,2
740,3
741,0
742,0
743,0
744,0
745,0
746,0
747,1
748,0
749,0
750,1
751,2
752,1
753,3
754,1
755,12
756,8
757,11
758,18
759,21
760,44
761,104
762,158
763,244
764,291
765,460
766,414
767,285
768,198
769,150
770,106
771,71
772,84
773,45
774,23
775,25
776,22
777,28
778,17
779,10
780,8
781,8
782,2
783,4
784,0
785,5
786,1
787,1
788,1
789,0
790,0
791,1
792,1
793,3
794,1
795,0
796,1
797,2
798,1
799,0
800,2
801,1
802,3
803,0
804,1
805,3
806,2
807,1
808,3
809,3
810,4
811,4
812,6
813,6
814,8
815,7
816,11
817,10
818,20
819,11
820,12
821,16
822,6
823,9
824,14
825,10
826,6
827,6
828,7
829,4
830,3
831,2
832,0
833,2
834,0
835,0
836,2
837,0
838,1
839,0
840,1
841,1
842,0
843,0
844,1
845,0
846,1
847,0
848,1
849,2
850,3
851,0
852,0
853,1
854,0
855,1
856,0
857,4
858,0
859,2
860,3
861,2
862,6
863,10
864,8
865,11
866,17
867,22
868,39
869,64
870,52
871,91
872,91
873,61
874,45
875,43
876,20
877,29
878,14
879,10
880,5
881,7
882,7
883,4
884,2
885,0
886,0
887,1
888,1
889,1
890,2
891,1
892,1
893,0
894,0
895,1
896,0
897,2
898,3
899,2
900,1
901,4
902,0
903,0
904,0
905,2
906,0
907,1
908,1
909,0
910,1
911,6
912,1
913,2
914,10
915,2
916,2
917,5
918,NA
919,9
920,9
921,NA
922,14
923,9
924,8
925,5
926,7
927,2
928,5
929,5
930,1
931,3
932,3
933,2
934,1
935,3
936,2
937,0
938,1
939,0
940,0
941,0
942,0
943,NA
944,1
945,2
946,0
947,0
948,1
949,0
950,0
951,0
952,1
953,3
954,0
955,6
956,0
957,2
958,1
959,0
960,1
961,2
962,2
963,2
964,1
965,3
966,4
967,6
968,7
969,11
970,13
971,NA
972,39
973,60
974,100
975,88
976,116
977,NA
978,109
979,77
980,61
981,63
982,42
983,23
984,23
985,NA
986,14
987,16
988,6
989,9
990,1
991,NA
992,4
993,1
994,NA
995,0
996,1
997,2
998,1
999,0
1000,2
1001,1
1002,1
1003,0
1004,0
1005,0
1006,1
1007,0
1008,2
1009,NA
1010,0
1011,0
1012,1
1013,0
1014,3
1015,1
1016,0
1017,1
1018,0
1019,1
1020,4
1021,3
1022,2
1023,4
1024,7
1025,14
1026,20
1027,17
1028,14
1029,18
1030,NA
1031,6
1032,8
1033,13
1034,NA
1035,9
1036,7
1037,6
1038,3
1039,2
1040,2
1041,1
1042,NA
1043,2
1044,11
1045,4
1046,2
1047,2
1048,1
1049,0
1050,3
1051,NA
1052,1
1053,0
1054,0
1055,0
1056,0
1057,0
1058,NA
1059,0
1060,0
1061,0
1062,3
1063,0
1064,1
1065,1
1066,3
1067,2
1068,0
1069,4
1070,3
1071,2
1072,6
1073,11
1074,12
1075,30
1076,NA
1077,66
1078,69
1079,71
1080,109
1081,113
1082,115
1083,87
1084,79
1085,55
1086,57
1087,67
1088,39
1089,28
1090,15
1091,17
1092,16
1093,8
1094,7
1095,6
1096,6
1097,0
1098,6
1099,2
1100,3
1101,1
1102,2
1103,5
1104,1
1105,NA
1106,1
1107,0
1108,2
1109,2
1110,2
