,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,NA
63,NA
64,NA
65,NA
66,NA
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,1
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,10
361,13
362,8
363,NA
364,4
365,2
366,0
367,3
368,2
369,2
370,0
371,4
372,1
373,1
374,2
375,0
376,1
377,3
378,0
379,1
380,1
381,2
382,2
383,0
384,3
385,1
386,1
387,1
388,1
389,1
390,3
391,1
392,0
393,0
394,3
395,1
396,4
397,10
398,3
399,12
400,9
401,10
402,14
403,11
404,11
405,33
406,5
407,7
408,8
409,9
410,11
411,3
412,4
413,4
414,1
415,1
416,3
417,3
418,NA
419,0
420,1
421,0
422,1
423,0
424,4
425,0
426,1
427,1
428,0
429,2
430,0
431,1
432,0
433,0
434,2
435,0
436,2
437,2
438,0
439,1
440,2
441,1
442,2
443,0
444,0
445,1
446,0
447,1
448,5
449,8
450,14
451,6
452,13
453,9
454,11
455,12
456,7
457,14
458,18
459,11
460,9
461,12
462,3
463,1
464,5
465,9
466,3
467,1
468,1
469,NA
470,3
471,NA
472,1
473,0
474,0
475,0
476,0
477,0
478,2
479,2
480,0
481,0
482,0
483,1
484,1
485,1
486,2
487,2
488,0
489,0
490,1
491,0
492,2
493,2
494,2
495,1
496,1
497,1
498,1
499,5
500,1
501,8
502,9
503,8
504,7
505,9
506,8
507,12
508,10
509,15
510,9
511,10
512,4
513,5
514,5
515,7
516,5
517,1
518,1
519,1
520,5
521,1
522,3
523,2
524,4
525,2
526,1
527,1
528,2
529,1
530,0
531,0
532,0
533,2
534,1
535,0
536,0
537,1
538,1
539,0
540,0
541,3
542,1
543,0
544,1
545,1
546,2
547,0
548,1
549,3
550,1
551,7
552,1
553,1
554,8
555,10
556,9
557,20
558,14
559,25
560,49
561,50
562,40
563,28
564,23
565,27
566,17
567,15
568,14
569,10
570,3
571,7
572,9
573,2
574,2
575,1
576,3
577,3
578,0
579,1
580,0
581,1
582,0
583,1
584,0
585,0
586,1
587,2
588,3
589,3
590,0
591,1
592,0
593,0
594,1
595,2
596,1
597,1
598,0
599,0
600,0
601,4
602,4
603,5
604,19
605,17
606,71
607,88
608,136
609,113
610,136
611,145
612,156
613,110
614,61
615,0
616,32
617,32
618,20
619,9
620,10
621,6
622,4
623,3
624,6
625,5
626,2
627,2
628,2
629,0
630,0
631,0
632,0
633,0
634,0
635,1
636,0
637,0
638,1
639,1
640,1
641,1
642,1
643,1
644,5
645,1
646,0
647,0
648,0
649,2
650,0
651,1
652,3
653,0
654,6
655,5
656,8
657,4
658,27
659,26
660,29
661,50
662,25
663,35
664,26
665,30
666,28
667,18
668,10
669,10
670,7
671,7
672,15
673,8
674,6
675,4
676,1
677,2
678,1
679,0
680,0
681,3
682,1
683,0
684,0
685,2
686,0
687,0
688,1
689,0
690,0
691,0
692,2
693,1
694,0
695,1
696,0
697,1
698,1
699,1
700,1
701,0
702,3
703,1
704,0
705,2
706,2
707,3
708,2
709,7
710,10
711,5
712,8
713,13
714,3
715,8
716,6
717,4
718,5
719,8
720,5
721,4
722,5
723,6
724,3
725,0
726,2
727,0
728,2
729,2
730,1
731,2
732,1
733,3
734,1
735,1
736,1
737,1
738,0
739,2
740,0
741,0
742,0
743,2
744,1
745,0
746,0
747,1
748,0
749,1
750,0
751,0
752,0
753,2
754,0
755,0
756,3
757,0
758,0
759,1
760,4
761,2
762,8
763,12
764,11
765,13
766,9
767,38
768,12
769,15
770,12
771,1
772,13
773,1
774,19
775,3
776,2
777,13
778,2
779,5
780,4
781,2
782,5
783,0
784,3
785,2
786,1
787,0
788,2
789,0
790,1
791,1
792,1
793,1
794,1
795,1
796,0
797,0
798,1
799,2
800,1
801,2
802,1
803,3
804,1
805,2
806,0
807,0
808,1
809,1
810,0
811,1
812,3
813,1
814,3
815,5
816,1
817,6
818,5
819,7
820,8
821,1
822,11
823,7
824,8
825,4
826,9
827,7
828,6
829,4
830,7
831,3
832,1
833,0
834,0
835,0
836,0
837,1
838,0
839,1
840,1
841,0
842,1
843,0
844,1
845,0
846,0
847,2
848,0
849,0
850,1
851,0
852,0
853,0
854,1
855,1
856,1
857,0
858,1
859,1
860,0
861,1
862,0
863,1
864,0
865,6
866,11
867,14
868,21
869,22
870,19
871,37
872,40
873,66
874,31
875,18
876,7
877,6
878,8
879,3
880,4
881,0
882,2
883,2
884,2
885,0
886,1
887,1
888,0
889,0
890,1
891,1
892,0
893,0
894,0
895,2
896,1
897,0
898,1
899,0
900,2
901,0
902,0
903,2
904,0
905,2
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,1
917,0
918,NA
919,1
920,5
921,NA
922,3
923,8
924,5
925,8
926,3
927,11
928,0
929,0
930,2
931,6
932,2
933,4
934,7
935,0
936,0
937,2
938,0
939,0
940,0
941,0
942,0
943,NA
944,0
945,1
946,0
947,0
948,1
949,1
950,0
951,0
952,0
953,1
954,0
955,0
956,1
957,0
958,0
959,0
960,0
961,0
962,1
963,1
964,1
965,0
966,0
967,0
968,5
969,4
970,3
971,NA
972,15
973,10
974,44
975,20
976,41
977,NA
978,36
979,28
980,35
981,28
982,16
983,13
984,13
985,NA
986,7
987,10
988,3
989,5
990,2
991,NA
992,2
993,0
994,NA
995,0
996,0
997,0
998,2
999,3
1000,0
1001,1
1002,2
1003,1
1004,1
1005,1
1006,0
1007,1
1008,1
1009,NA
1010,1
1011,2
1012,1
1013,1
1014,0
1015,1
1016,0
1017,0
1018,2
1019,0
1020,1
1021,0
1022,0
1023,1
1024,3
1025,7
1026,13
1027,11
1028,14
1029,11
1030,NA
1031,11
1032,13
1033,7
1034,NA
1035,8
1036,6
1037,8
1038,4
1039,5
1040,1
1041,1
1042,NA
1043,0
1044,0
1045,1
1046,1
1047,2
1048,0
1049,1
1050,0
1051,NA
1052,0
1053,0
1054,0
1055,0
1056,0
1057,1
1058,NA
1059,0
1060,1
1061,0
1062,1
1063,1
1064,0
1065,0
1066,1
1067,3
1068,1
1069,1
1070,4
1071,7
1072,6
1073,8
1074,15
1075,17
1076,NA
1077,82
1078,65
1079,66
1080,63
1081,70
1082,66
1083,51
1084,42
1085,30
1086,16
1087,14
1088,6
1089,8
1090,16
1091,3
1092,2
1093,3
1094,1
1095,4
1096,2
1097,1
1098,0
1099,3
1100,1
1101,2
1102,0
1103,0
1104,1
1105,NA
1106,1
1107,0
1108,0
1109,0
