,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,NA
63,NA
64,NA
65,NA
66,NA
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,7
361,3
362,0
363,NA
364,0
365,1
366,1
367,1
368,1
369,0
370,1
371,4
372,2
373,1
374,0
375,0
376,0
377,2
378,1
379,0
380,3
381,1
382,0
383,1
384,3
385,1
386,0
387,0
388,1
389,1
390,0
391,0
392,1
393,0
394,1
395,1
396,2
397,1
398,2
399,2
400,1
401,2
402,2
403,2
404,1
405,0
406,0
407,0
408,0
409,1
410,1
411,1
412,1
413,0
414,0
415,1
416,2
417,0
418,1
419,0
420,1
421,0
422,0
423,0
424,0
425,2
426,0
427,1
428,0
429,0
430,1
431,0
432,1
433,0
434,0
435,0
436,1
437,0
438,1
439,1
440,0
441,0
442,1
443,0
444,1
445,0
446,1
447,1
448,0
449,1
450,0
451,0
452,0
453,1
454,0
455,1
456,0
457,0
458,0
459,0
460,0
461,0
462,1
463,2
464,0
465,0
466,1
467,0
468,0
469,0
470,0
471,NA
472,0
473,0
474,0
475,1
476,1
477,1
478,0
479,0
480,0
481,0
482,0
483,1
484,0
485,0
486,1
487,0
488,0
489,0
490,1
491,0
492,1
493,1
494,0
495,2
496,0
497,0
498,1
499,0
500,1
501,1
502,1
503,3
504,5
505,9
506,8
507,8
508,20
509,14
510,16
511,15
512,8
513,13
514,7
515,13
516,5
517,3
518,4
519,2
520,12
521,1
522,2
523,1
524,3
525,0
526,1
527,0
528,0
529,0
530,0
531,3
532,3
533,1
534,0
535,0
536,1
537,1
538,1
539,1
540,1
541,1
542,0
543,1
544,0
545,1
546,0
547,0
548,2
549,3
550,6
551,6
552,11
553,10
554,24
555,26
556,61
557,69
558,83
559,74
560,70
561,47
562,49
563,53
564,37
565,21
566,23
567,10
568,14
569,6
570,3
571,5
572,0
573,1
574,1
575,0
576,1
577,3
578,2
579,1
580,1
581,0
582,1
583,0
584,1
585,0
586,0
587,2
588,1
589,0
590,0
591,1
592,1
593,2
594,0
595,1
596,0
597,0
598,2
599,2
600,2
601,0
602,0
603,2
604,4
605,1
606,1
607,2
608,1
609,1
610,1
611,3
612,2
613,2
614,2
615,1
616,2
617,3
618,1
619,1
620,1
621,0
622,0
623,0
624,2
625,0
626,0
627,1
628,0
629,0
630,0
631,0
632,0
633,0
634,2
635,2
636,0
637,0
638,1
639,0
640,0
641,1
642,0
643,2
644,0
645,0
646,0
647,2
648,1
649,0
650,0
651,0
652,1
653,0
654,0
655,0
656,0
657,0
658,2
659,1
660,2
661,1
662,0
663,4
664,2
665,7
666,3
667,2
668,5
669,1
670,7
671,4
672,2
673,3
674,2
675,1
676,1
677,2
678,2
679,1
680,0
681,0
682,1
683,0
684,0
685,0
686,0
687,0
688,1
689,1
690,0
691,1
692,0
693,1
694,0
695,0
696,0
697,0
698,0
699,1
700,0
701,0
702,1
703,1
704,1
705,1
706,1
707,0
708,1
709,2
710,3
711,2
712,3
713,8
714,6
715,9
716,6
717,10
718,20
719,7
720,16
721,17
722,4
723,1
724,4
725,0
726,2
727,6
728,2
729,1
730,0
731,0
732,0
733,0
734,1
735,0
736,0
737,1
738,0
739,0
740,0
741,2
742,0
743,0
744,0
745,2
746,0
747,0
748,0
749,2
750,1
751,1
752,0
753,0
754,1
755,1
756,1
757,1
758,2
759,1
760,1
761,0
762,1
763,1
764,10
765,4
766,4
767,8
768,3
769,4
770,2
771,0
772,1
773,1
774,1
775,1
776,2
777,2
778,0
779,1
780,1
781,0
782,0
783,0
784,0
785,0
786,0
787,1
788,0
789,0
790,0
791,0
792,1
793,0
794,2
795,0
796,1
797,0
798,0
799,0
800,0
801,1
802,1
803,0
804,0
805,1
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,1
818,1
819,4
820,4
821,4
822,6
823,7
824,3
825,0
826,3
827,1
828,1
829,0
830,0
831,0
832,0
833,1
834,0
835,0
836,1
837,1
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,1
852,0
853,0
854,0
855,0
856,1
857,0
858,0
859,1
860,1
861,0
862,1
863,0
864,2
865,2
866,6
867,10
868,6
869,13
870,23
871,19
872,45
873,44
874,34
875,15
876,26
877,13
878,11
879,7
880,4
881,1
882,1
883,5
884,2
885,0
886,0
887,1
888,0
889,1
890,2
891,0
892,1
893,0
894,0
895,0
896,0
897,0
898,0
899,1
900,0
901,0
902,1
903,0
904,2
905,1
906,0
907,0
908,0
909,2
910,0
911,0
912,0
913,0
914,1
915,0
916,0
917,0
918,NA
919,2
920,1
921,NA
922,7
923,2
924,2
925,6
926,0
927,2
928,0
929,0
930,0
931,1
932,1
933,1
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,1
942,0
943,NA
944,0
945,0
946,0
947,0
948,0
949,1
950,1
951,0
952,0
953,0
954,0
955,0
956,1
957,0
958,0
959,0
960,0
961,1
962,0
963,0
964,0
965,0
966,0
967,2
968,0
969,0
970,0
971,NA
972,0
973,6
974,7
975,5
976,2
977,NA
978,8
979,10
980,9
981,7
982,3
983,3
984,5
985,NA
986,7
987,3
988,3
989,1
990,3
991,NA
992,6
993,1
994,NA
995,0
996,1
997,1
998,3
999,5
1000,3
1001,4
1002,1
1003,1
1004,0
1005,1
1006,0
1007,0
1008,0
1009,NA
1010,1
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,5
1018,1
1019,1
1020,5
1021,1
1022,0
1023,0
1024,2
1025,12
1026,19
1027,30
1028,31
1029,27
1030,NA
1031,36
1032,25
1033,29
1034,NA
1035,36
1036,23
1037,11
1038,18
1039,17
1040,17
1041,13
1042,NA
1043,5
1044,17
1045,1
1046,4
1047,2
1048,0
1049,3
1050,2
1051,NA
1052,0
1053,0
1054,1
1055,0
1056,0
1057,3
1058,NA
1059,0
1060,1
1061,0
1062,0
1063,0
1064,0
1065,0
1066,2
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,3
1075,1
1076,NA
1077,2
1078,3
1079,6
1080,6
1081,1
1082,8
1083,2
1084,5
1085,4
1086,4
1087,5
1088,12
1089,4
1090,3
1091,1
1092,1
1093,0
1094,1
1095,0
1096,2
1097,0
1098,0
1099,1
1100,0
1101,0
1102,1
1103,0
1104,1
1105,NA
1106,0
1107,1
1108,0
1109,0
1110,0
