"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",9
"10",10
"11",11
"12",12
"13",13
"14",14
"15",15
"16",16
"17",17
"18",18
"19",19
"20",20
"21",21
"22",22
"23",23
"24",24
"25",25
"26",26
"27",27
"28",28
"29",29
"30",30
"31",31
"32",32
"33",33
"34",34
"35",35
"36",36
"37",37
"38",38
"39",39
"40",40
"41",41
"42",42
"43",43
"44",44
"45",45
"46",46
"47",47
"48",48
"49",49
"50",50
"51",51
"52",52
"53",1
"54",2
"55",3
"56",4
"57",5
"58",6
"59",7
"60",8
"61",9
"62",10
"63",11
"64",12
"65",13
"66",14
"67",15
"68",16
"69",17
"70",18
"71",19
"72",20
"73",21
"74",22
"75",23
"76",24
"77",25
"78",26
"79",27
"80",28
"81",29
"82",30
"83",31
"84",32
"85",33
"86",34
"87",35
"88",36
"89",37
"90",38
"91",39
"92",40
"93",41
"94",42
"95",43
"96",44
"97",45
"98",46
"99",47
"100",48
"101",49
"102",50
"103",51
"104",52
"105",1
"106",2
"107",3
"108",4
"109",5
"110",6
"111",7
"112",8
"113",9
"114",10
"115",11
"116",12
"117",13
"118",14
"119",15
"120",16
"121",17
"122",18
"123",19
"124",20
"125",21
"126",22
"127",23
"128",24
"129",25
"130",26
"131",27
"132",28
"133",29
"134",30
"135",31
"136",32
"137",33
"138",34
"139",35
"140",36
"141",37
"142",38
"143",39
"144",40
"145",41
"146",42
"147",43
"148",44
"149",45
"150",46
"151",47
"152",48
"153",49
"154",50
"155",51
"156",52
"157",1
"158",2
"159",3
"160",4
"161",5
"162",6
"163",7
"164",8
"165",9
"166",10
"167",11
"168",12
"169",13
"170",14
"171",15
"172",16
"173",17
"174",18
"175",19
"176",20
"177",21
"178",22
"179",23
"180",24
"181",25
"182",26
"183",27
"184",28
"185",29
"186",30
"187",31
"188",32
"189",33
"190",34
"191",35
"192",36
"193",37
"194",38
"195",39
"196",40
"197",41
"198",42
"199",43
"200",44
"201",45
"202",46
"203",47
"204",48
"205",49
"206",50
"207",51
"208",52
"209",1
"210",2
"211",3
"212",4
"213",5
"214",6
"215",7
"216",8
"217",9
"218",10
"219",11
"220",12
"221",13
"222",14
"223",15
"224",16
"225",17
"226",18
"227",19
"228",20
"229",21
"230",22
"231",23
"232",24
"233",25
"234",26
"235",27
"236",28
"237",29
"238",30
"239",31
"240",32
"241",33
"242",34
"243",35
"244",36
"245",37
"246",38
"247",39
"248",40
"249",41
"250",42
"251",43
"252",44
"253",45
"254",46
"255",47
"256",48
"257",49
"258",50
"259",51
"260",52
"261",53
"262",1
"263",2
"264",3
"265",4
"266",5
"267",6
"268",7
"269",8
"270",9
"271",10
"272",11
"273",12
"274",13
"275",14
"276",15
"277",16
"278",17
"279",18
"280",19
"281",20
"282",21
"283",22
"284",23
"285",24
"286",25
"287",26
"288",27
"289",28
"290",29
"291",30
"292",31
"293",32
"294",33
"295",34
"296",35
"297",36
"298",37
"299",38
"300",39
"301",40
"302",41
"303",42
"304",43
"305",44
"306",45
"307",46
"308",47
"309",48
"310",49
"311",50
"312",51
"313",52
"314",1
"315",2
"316",3
"317",4
"318",5
"319",6
"320",7
"321",8
"322",9
"323",10
"324",11
"325",12
"326",13
"327",14
"328",15
"329",16
"330",17
"331",18
"332",19
"333",20
"334",21
"335",22
"336",23
"337",24
"338",25
"339",26
"340",27
"341",28
"342",29
"343",30
"344",31
"345",32
"346",33
"347",34
"348",35
"349",36
"350",37
"351",38
"352",39
"353",40
"354",41
"355",42
"356",43
"357",44
"358",45
"359",46
"360",47
"361",48
"362",49
"363",50
"364",51
"365",52
"366",1
"367",2
"368",3
"369",4
"370",5
"371",6
"372",7
"373",8
"374",9
"375",10
"376",11
"377",12
"378",13
"379",14
"380",15
"381",16
"382",17
"383",18
"384",19
"385",20
"386",21
"387",22
"388",23
"389",24
"390",25
"391",26
"392",27
"393",28
"394",29
"395",30
"396",31
"397",32
"398",33
"399",34
"400",35
"401",36
"402",37
"403",38
"404",39
"405",40
"406",41
"407",42
"408",43
"409",44
"410",45
"411",46
"412",47
"413",48
"414",49
"415",50
"416",51
"417",52
"418",1
"419",2
"420",3
"421",4
"422",5
"423",6
"424",7
"425",8
"426",9
"427",10
"428",11
"429",12
"430",13
"431",14
"432",15
"433",16
"434",17
"435",18
"436",19
"437",20
"438",21
"439",22
"440",23
"441",24
"442",25
"443",26
"444",27
"445",28
"446",29
"447",30
"448",31
"449",32
"450",33
"451",34
"452",35
